Random Seed: 1531369427
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.8298,0.036055,0.761,0.813,0.829,0.839,1.065
4, 0.99608,0.0495933,0.924,0.972,0.986,0.998,1.206
5, 1.33662,0.116051,1.251,1.283,1.299,1.322,1.87
6, 1.33878,0.124511,1.247,1.285,1.295,1.327,1.991
7, 1.34217,0.114593,1.25,1.284,1.301,1.329,1.879
8, 1.3284,0.0863838,1.237,1.287,1.304,1.327,1.782
9, 1.33629,0.104263,1.239,1.287,1.297,1.322,1.734
10, 1.4006,0.124252,1.245,1.336,1.364,1.395,1.971
11, 1.38988,0.104099,1.246,1.303,1.369,1.445,1.754
12, 1.46096,0.127841,1.259,1.344,1.463,1.529,1.851
13, 1.66518,0.166866,1.291,1.533,1.73,1.78,2.083
14, 2.00299,0.380049,1.314,1.552,2.192,2.32,2.537
15, 2.68942,0.862084,1.367,1.736,3.103,3.438,4.107
16, 4.09885,1.87271,1.56,1.797,5.342,5.747,6.596
17, 5.84623,3.42949,1.815,2.214,6.746,7.113,13.633
18, 6.02721,4.63966,2.151,2.549,4.544,5.137,21.332
19, 10.3188,9.76871,2.858,4.278,4.941,13.485,40.632
20, 34.8108,23.1304,4.599,14.724,29.021,55.54,83.078
21, 158.442,45.6983,61.604,128.282,158.017,193.391,244.694
22, 307.465,32.5889,249.221,278.944,307.367,334.957,367.982
23, 784,59.7836,577.027,765.238,791.301,819.562,874.732
24, 1407.49,33.8479,1334.26,1382.18,1409.24,1435.22,1473.9

>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.47824,0.240024,0.445,0.448,0.45,0.457,2.864
4, 0.45522,0.0173514,0.443,0.447,0.45,0.458,0.59
5, 0.45578,0.0169638,0.446,0.449,0.45,0.456,0.592
6, 0.45164,0.0165997,0.441,0.444,0.447,0.453,0.585
7, 0.45195,0.0163318,0.444,0.446,0.447,0.45,0.584
8, 0.45336,0.0244092,0.441,0.445,0.447,0.455,0.677
