Random Seed: 1531399603
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.8614,0.0355868,0.799,0.843,0.86,0.874,1.109
4, 1.02122,0.0585501,0.963,0.985,1.006,1.028,1.316
5, 1.34083,0.118282,1.26,1.294,1.305,1.329,1.924
6, 1.33774,0.112444,1.251,1.292,1.306,1.327,1.895
7, 1.34847,0.116824,1.259,1.3,1.31,1.331,1.846
8, 1.3391,0.100352,1.262,1.297,1.307,1.329,1.81
9, 1.34273,0.115432,1.266,1.295,1.304,1.325,1.931
10, 1.41689,0.135233,1.279,1.348,1.367,1.412,1.941
11, 1.41268,0.115081,1.253,1.355,1.402,1.463,1.968
12, 1.46449,0.137024,1.269,1.358,1.46,1.528,1.93
13, 1.67752,0.173432,1.304,1.537,1.744,1.787,2.116
14, 2.01483,0.384492,1.335,1.576,2.208,2.322,2.589
15, 2.77596,0.860272,1.399,1.792,3.177,3.492,3.829
16, 4.12617,1.88788,1.627,1.848,5.356,5.751,6.395
17, 2.44964,1.61145,1.684,1.793,1.871,2.076,10.807
18, 4.14392,3.77499,2.075,2.254,2.375,3.465,19.397
19, 7.73751,8.22434,3.076,3.195,3.34,8.481,36.135
20, 28.4383,23.2737,4.297,5.279,25.425,50.004,74.243
21, 92.5478,38.4749,39.312,66.885,85.412,118.207,245.698
22, 315.323,32.1213,249.727,288.863,315.782,339.576,379.952
23, 766.007,75.4797,589.829,715.939,788.066,817.091,890.518
24, 1414.58,40.1996,1311.43,1375.9,1425.85,1446.79,1479.16

>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.488,0.239901,0.454,0.458,0.46,0.466,2.873
4, 0.46512,0.0186222,0.452,0.456,0.458,0.466,0.603
5, 0.46648,0.018429,0.456,0.458,0.461,0.466,0.612
