Random Seed: 1531837821
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.0377,0.0150436,0.035,0.036,0.036,0.037,0.187
4, 0.07434,0.0138746,0.071,0.072,0.073,0.073,0.21
5, 0.07474,0.0139274,0.071,0.072,0.073,0.073,0.202
6, 0.11097,0.0130472,0.107,0.109,0.109,0.11,0.238
7, 0.11056,0.0128057,0.107,0.108,0.109,0.109,0.236
8, 0.14831,0.0227568,0.143,0.145,0.146,0.146,0.373
9, 0.1495,0.0224813,0.145,0.146,0.147,0.147,0.371
10, 0.18932,0.0225716,0.184,0.186,0.187,0.188,0.413
11, 0.19542,0.0238915,0.19,0.192,0.193,0.194,0.432
12, 0.23152,0.0248932,0.223,0.224,0.225,0.228,0.467
13, 0.25433,0.0225571,0.249,0.25,0.251,0.252,0.475
14, 0.35392,0.0220766,0.345,0.35,0.351,0.352,0.571
15, 0.46939,0.0219585,0.463,0.466,0.467,0.468,0.686
16, 0.76093,0.0414054,0.724,0.727,0.73,0.793,1.01
17, 1.20157,0.0213309,1.173,1.198,1.199,1.2,1.41
18, 2.14837,0.136257,1.971,2.166,2.169,2.171,3.125
19, 3.67124,0.209264,3.361,3.62,3.628,3.914,4.152
20, 7.42783,0.0222468,7.399,7.42,7.424,7.43,7.63
21, 14.2791,0.0259157,14.244,14.266,14.276,14.285,14.492
22, 30.263,0.0428383,30.202,30.243,30.259,30.277,30.612
23, 58.1651,0.0842658,58.053,58.13,58.153,58.187,58.886
24, 126.182,0.157413,126.014,126.122,126.16,126.214,127.612
25, 249.438,0.300789,249.042,249.337,249.413,249.475,252.14
26, 538.931,0.649844,537.949,538.651,538.885,539.11,544.321
27, 1077.08,1.21887,1074.74,1076.73,1076.97,1077.21,1087.97
28, 2338.86,3.32101,2332.76,2336.86,2338.62,2340.65,2358.37

>>> 'test_x_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 1.67101,2.17365,0.406,0.408,0.412,1.676,8.383
4, 0.4141,0.0171292,0.405,0.407,0.408,0.413,0.544
5, 0.41453,0.0150801,0.406,0.408,0.409,0.414,0.529
6, 0.41172,0.0157728,0.401,0.404,0.405,0.415,0.525
7, 0.41151,0.0160751,0.403,0.405,0.406,0.41,0.53
8, 0.4131,0.0239167,0.402,0.405,0.407,0.412,0.63
9, 0.41381,0.0236028,0.404,0.406,0.407,0.414,0.631
10, 0.4149,0.0248723,0.406,0.407,0.408,0.413,0.642
11, 0.42489,0.0233195,0.409,0.414,0.421,0.426,0.625
12, 0.42608,0.0230433,0.417,0.419,0.42,0.424,0.637
13, 0.43378,0.023058,0.423,0.425,0.427,0.435,0.638
14, 0.43955,0.0252188,0.425,0.428,0.435,0.439,0.656
