Random Seed: 1531365666
############ QEngineOCLMulti ############
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60
OpenCL device #1: Tesla M60
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 2.77709,0.64745,1.628,2.3,2.675,3.175,4.75
4, 4.32207,0.796483,2.937,3.739,4.318,4.64,7.615
5, 8.48115,1.28566,5.633,7.532,8.382,9.304,11.657
6, 12.2759,1.80399,8.12,11.208,12.181,13.332,17.285
7, 14.2312,1.96763,9.318,12.837,14.022,15.027,19.679
8, 11.996,1.94276,8.466,10.663,11.656,12.742,19.83
9, 13.8793,1.82653,9.659,12.551,13.955,15.342,17.522
10, 12.6813,1.48794,9.299,11.707,12.433,13.47,18.714
11, 13.3715,1.76838,10.272,11.976,13.267,14.671,17.886
12, 12.9482,1.35425,9.781,12.115,13.009,13.675,17.692
13, 13.4821,1.66046,9.432,12.368,13.415,14.66,17.719
14, 13.3848,1.32185,10.862,12.408,13.266,14.09,17.357
15, 13.5538,1.75789,9.678,12.363,13.445,14.533,18.103
16, 14.5791,1.62504,10.848,13.526,14.469,15.586,19.565
17, 16.5664,2.30115,11.733,14.907,16.263,18.252,22.92
18, 24.523,3.28105,12.425,22.873,25.014,26.408,31.3
19, 40.4686,5.065,16.349,39.482,41.149,43.09,54.05
20, 75.8069,15.5219,26.396,72.868,81.69,85.295,97.758
21, 127.705,27.4089,68.174,102.322,131.277,153.516,170.519
22, 299.494,29.7086,224.314,277.458,303.038,318.32,373.528
23, 624.096,27.5837,549.205,603.448,623.444,643.099,702.656
24, 1386.8,45.6737,1281.48,1353.93,1383.82,1416.36,1475.84

>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 1.00308,0.0916916,0.822,0.948,1.005,1.033,1.646
4, 1.00739,0.0777753,0.888,0.943,1.007,1.044,1.519
5, 1.01911,0.0766827,0.902,0.981,1.017,1.042,1.523
6, 1.02021,0.156104,0.073,0.996,1.039,1.065,1.528
7, 0.98863,0.13169,0.087,0.928,1.003,1.036,1.502
8, 1.01854,0.108113,0.765,0.939,1.008,1.054,1.629
9, 1.01606,0.12378,0.491,0.984,1.016,1.045,1.761
10, 0.99574,0.143781,0.075,0.93,1.01,1.048,1.734
11, 1.0024,0.140848,0.116,0.952,1.011,1.047,1.799
12, 1.05391,0.0983826,0.78,1.016,1.054,1.075,1.758
13, 1.03935,0.147673,0.074,1.019,1.051,1.087,1.756
14, 1.08616,0.119933,0.8,1.043,1.094,1.128,1.796
15, 1.13087,0.206656,0.077,1.115,1.175,1.204,1.886
16, 1.33505,0.14713,0.977,1.304,1.364,1.391,2.092
17, 1.66018,0.258847,0.713,1.555,1.686,1.838,2.397
18, 2.9645,0.194601,2.737,2.813,2.862,3.153,3.604
19, 4.53405,0.341242,4.165,4.259,4.44,4.538,5.511
20, 7.63224,0.452354,7.269,7.313,7.619,7.678,9.637
21, 14.4096,0.979515,13.557,13.766,14.281,14.469,18.491
22, 28.4869,2.37364,25.617,27.439,28.348,28.6,42.622
23, 86.7439,2.15152,78.98,85.525,86.58,87.884,94.622
24, 173.069,5.57145,146.1,170.171,173.282,175.933,193.472

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 11.9119,0.15784,11.532,11.823,11.917,11.993,12.854
4, 26.7834,1.12259,25.573,25.867,26.391,27.967,29.029
5, 50.1897,0.516508,49.455,49.977,50.149,50.312,54.696
6, 69.9004,0.259734,69.23,69.732,69.91,70.067,70.49
7, 91.4214,0.488547,90.742,91.152,91.34,91.581,94.979
8, 128.512,1.89214,125.703,127.005,127.804,130.447,135.387
9, 173.937,0.835017,172.669,173.462,173.747,174.231,179.086
10, 251.965,0.820351,250.522,251.385,251.904,252.313,255.962
11, 356.644,7.83436,330.144,355.624,359.459,361.162,368.874
12, 507.517,17.6189,484.085,488.512,516.553,523.849,532.168
13, 757.657,23.1998,717.746,729.051,768.148,772.509,803.549
14, 1243.33,40.5248,1157.39,1233.09,1236.91,1246.81,1319.36
15, 2024.73,49.2053,1953.32,1984.97,1992.83,2088.39,2101.57
16, 4028.82,40.0036,3926.29,3999.29,4037.64,4059.52,4093.02

Passed all 3 test cases with 1400 assertions.

############ QUnit -> QEngine -> OpenCL Multi ############
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03579,0.138926,0.019,0.02,0.02,0.021,1.415
4, 0.07061,0.268238,0.038,0.039,0.04,0.044,2.737
5, 0.06744,0.266952,0.038,0.039,0.039,0.04,2.723
6, 0.10737,0.396204,0.057,0.059,0.066,0.067,4.046
7, 0.1043,0.398337,0.056,0.058,0.064,0.066,4.066
8, 0.1398,0.530737,0.076,0.077,0.087,0.088,5.419
9, 0.14396,0.528127,0.076,0.086,0.087,0.089,5.395
10, 0.17754,0.66193,0.094,0.096,0.108,0.11,6.76
11, 0.18285,0.663475,0.095,0.103,0.114,0.116,6.781
12, 0.23443,0.829434,0.12,0.145,0.146,0.147,8.482
13, 0.22966,0.820995,0.117,0.124,0.146,0.148,8.394
14, 0.26479,0.970878,0.138,0.142,0.17,0.173,9.919
15, 0.27546,0.973249,0.139,0.169,0.171,0.173,9.954
16, 0.30939,1.10264,0.157,0.192,0.195,0.198,11.276
17, 0.31046,1.10221,0.158,0.194,0.195,0.198,11.273
18, 0.35238,1.23354,0.178,0.218,0.22,0.225,12.621
19, 0.34575,1.23196,0.177,0.215,0.218,0.221,12.598
20, 0.38911,1.38334,0.196,0.241,0.244,0.248,14.148
21, 0.39342,1.39155,0.198,0.244,0.246,0.25,14.235
22, 0.43257,1.51051,0.219,0.269,0.27,0.288,15.458
23, 0.41948,1.52579,0.22,0.225,0.271,0.275,15.596
24, 0.46813,1.65241,0.239,0.292,0.295,0.301,16.905

>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.13386,0.0065008,0.131,0.132,0.133,0.134,0.188
4, 0.17777,0.0085777,0.173,0.175,0.176,0.177,0.245
5, 0.22221,0.00891437,0.218,0.219,0.22,0.221,0.297
6, 0.26583,0.00990561,0.259,0.263,0.264,0.265,0.352
7, 0.30888,0.0113633,0.304,0.305,0.306,0.308,0.411
8, 0.35262,0.0123157,0.346,0.349,0.351,0.352,0.468
9, 0.3985,0.0139725,0.392,0.395,0.396,0.397,0.524
10, 0.44398,0.0152669,0.436,0.439,0.441,0.443,0.585
11, 0.48822,0.0158975,0.479,0.484,0.485,0.487,0.636
12, 0.52988,0.0186683,0.52,0.525,0.527,0.529,0.709
13, 0.57457,0.0192355,0.566,0.57,0.571,0.573,0.758
14, 0.6185,0.0207072,0.608,0.612,0.614,0.617,0.807
15, 0.66472,0.022371,0.655,0.659,0.661,0.663,0.877
16, 0.71417,0.0233834,0.704,0.708,0.71,0.713,0.939
17, 0.76034,0.0284275,0.749,0.754,0.756,0.758,1.038
18, 0.80338,0.0262727,0.791,0.797,0.799,0.802,1.057
19, 0.84777,0.0281804,0.835,0.841,0.843,0.845,1.121
20, 0.89381,0.031713,0.881,0.886,0.888,0.892,1.198
21, 0.94023,0.0313652,0.929,0.933,0.935,0.939,1.246
22, 0.98493,0.0357307,0.974,0.977,0.979,0.984,1.334
23, 1.02847,0.0370398,1.016,1.02,1.023,1.027,1.39
24, 1.07477,0.0373933,1.061,1.066,1.069,1.075,1.441

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 26.186,0.844005,22.451,26.257,26.406,26.58,27.192
4, 46.0483,3.83163,41.411,43.33,44.046,49.887,52.885
5, 70.3645,1.62108,64.272,69.56,70.546,71.208,73.467
6, 105.749,2.40302,99.81,104.158,105.936,107.749,111.482
7, 151.244,4.99114,138.437,148.025,151.332,155.233,162.557
8, 219.355,4.79877,207.962,215.812,219.264,222.586,228.607
9, 306.295,5.8521,289.64,301.911,307.009,310.55,318.593
10, 445.479,6.24199,429.851,441.272,445.86,449.083,462.546
11, 739.252,42.8578,644.435,684.414,761.118,768.763,783.36
12, 1394.35,107.202,1096.99,1281.58,1438.68,1468.42,1512.82
13, 2664.22,141.23,2298.37,2667.53,2712.38,2738.04,2818.83
14, 4755.94,773.11,4076.17,4143.17,4335.81,5825.56,6008.4
15, 7630.81,625.809,6504.21,6671.77,7979.61,8019.91,8122.49
16, 10558,1135.63,9265.45,9478.72,9644.23,11737.9,11955.8

Passed all 3 test cases with 1400 assertions.

