############ QEngine -> CPU ############
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.24484,0.0405866,0.198,0.202,0.251,0.279,0.389
4, 0.40639,0.0552615,0.331,0.349,0.416,0.426,0.574
5, 0.70123,0.0734663,0.62,0.642,0.706,0.713,1.077
6, 0.69867,0.0583937,0.632,0.647,0.702,0.715,0.918
7, 0.71915,0.103136,0.632,0.655,0.702,0.715,1.156
8, 0.69857,0.0453771,0.632,0.687,0.699,0.71,0.95
9, 0.69881,0.0693576,0.648,0.676,0.684,0.693,1.218
10, 0.72909,0.04776,0.643,0.69,0.725,0.76,0.933
11, 0.72977,0.116679,0.639,0.654,0.692,0.744,1.142
12, 0.81812,0.100342,0.661,0.728,0.844,0.896,1.126
13, 1.02155,0.18999,0.665,0.808,1.08,1.188,1.365
14, 1.25011,0.416985,0.67,0.776,1.472,1.646,1.807
15, 2.70557,0.72395,0.82,2.465,2.963,3.156,3.913
16, 3.68561,1.80823,0.898,1.764,4.684,5.35,6.543
17, 4.86988,2.8068,0.79,0.957,5.663,5.962,12.119
18, 4.24178,4.1926,0.882,1.44,3.191,3.495,20.172
19, 8.97071,10.4585,0.933,2.906,3.594,10.807,42.986
20, 23.6934,24.2253,1.031,5.749,10.421,35.915,83.54
21, 165.195,52.9878,53.557,131.798,165.086,208.876,253.949
22, 298.797,35.4252,234.889,270.545,295.81,325.991,358.774
23, 807.634,35.884,738.984,777.319,809.391,836.461,872.88
24, 1352.74,36.8064,1292.02,1317.58,1350.3,1387.47,1414.84

>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.23347,0.0358891,0.197,0.203,0.211,0.261,0.365
4, 0.37921,0.0398899,0.329,0.343,0.365,0.413,0.521
5, 0.69258,0.0446323,0.578,0.647,0.704,0.72,0.843
6, 0.70467,0.0445203,0.628,0.679,0.705,0.716,0.843
7, 0.70819,0.0682792,0.623,0.695,0.701,0.711,1.119
8, 0.74655,0.140775,0.622,0.696,0.699,0.714,1.212
9, 0.72089,0.122752,0.627,0.661,0.685,0.706,1.189
10, 0.69598,0.0436525,0.634,0.676,0.686,0.695,0.953
11, 0.74999,0.107514,0.633,0.654,0.744,0.783,1.203
12, 0.80908,0.0983593,0.639,0.779,0.813,0.831,1.253
13, 0.85849,0.124285,0.654,0.756,0.877,0.91,1.265
14, 0.9905,0.163593,0.66,0.843,1.057,1.081,1.709
15, 1.19045,0.386195,0.683,0.794,1.326,1.482,2.838
16, 1.93255,0.80628,0.681,0.955,2.267,2.387,5.317
17, 3.55006,1.92071,0.736,1.178,4.46,4.798,11.223
18, 2.28244,3.67774,0.799,0.898,1.048,1.154,26.331
19, 6.73089,11.2348,0.797,0.989,1.234,9.703,83.282
20, 13.2944,18.7993,0.776,1.077,2.278,21.917,94.435
21, 278.494,168.109,1.266,88.556,344.33,414.729,507.392
22, 754.824,57.7821,529.519,724.92,764.164,793.93,849.285
23, 1669.37,77.4581,1407.69,1639.7,1675.38,1731.34,1788.23
24, 3565.9,84.6871,3224.68,3524.06,3573.67,3627.09,3736.73

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 1.81136,0.136629,1.562,1.658,1.86,1.918,2.057
4, 10.1436,0.447216,8.276,9.897,10.24,10.398,10.887
5, 25.0495,0.829473,23.682,24.543,24.803,25.494,27.373
6, 68.1837,1.45108,65.754,66.986,67.865,69.079,72.21
7, 101.106,1.52301,98.005,99.742,101.111,102.05,105.146
8, 164.726,2.33554,160.345,162.872,164.853,166.168,172.069
9, 253.589,3.17822,247.646,251.28,253.306,255.549,261.708
10, 429.848,3.83814,420.725,427.015,429.778,432.099,439.687
11, 648.956,3.9245,637.165,646.803,649.062,651.153,657.205
12, 1124.8,14.3442,1087.06,1115.35,1124.65,1131.85,1164.75
13, 2152.69,80.7354,1877.39,2095.75,2150.97,2210.94,2312.31
14, 5576.7,472.932,4107.1,5292.4,5612.58,5904.97,6688.72
15, 14814.2,1207.46,11802.3,13971.2,14791.9,15725.5,17194.7
16, 14447.7,1608.84,11735.1,13210.9,14021.2,15448,20233.7
17, 53388.8,5040.69,42589.5,49035.8,53798.4,56213.6,65672.5

