Random Seed: 1531399806
############ QEngine -> CPU ############
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.25255,0.0406665,0.191,0.225,0.262,0.274,0.382
4, 0.38621,0.0388122,0.321,0.367,0.389,0.404,0.615
5, 0.65952,0.0577307,0.6,0.616,0.665,0.682,1.015
6, 0.71642,0.121649,0.604,0.651,0.664,0.703,1.087
7, 0.71702,0.10714,0.605,0.672,0.69,0.699,1.055
8, 0.68377,0.0483098,0.605,0.671,0.689,0.696,0.947
9, 0.67584,0.0710575,0.594,0.634,0.651,0.701,1.029
10, 0.73788,0.0615429,0.616,0.713,0.733,0.74,1.056
11, 0.72015,0.0867938,0.616,0.648,0.699,0.779,1.085
12, 0.8097,0.10551,0.625,0.711,0.825,0.892,1.025
13, 0.96107,0.196327,0.636,0.763,0.995,1.138,1.348
14, 1.28554,0.410239,0.644,0.828,1.476,1.633,1.973
15, 2.70966,0.738241,0.709,2.511,2.927,3.22,3.674
16, 3.53779,1.86425,0.77,1.704,3.002,5.471,6.624
17, 4.56278,2.69867,0.845,1.194,5.707,5.99,11.235
18, 4.51866,4.71669,0.99,1.572,3.156,3.5,22.034
19, 7.98003,9.70512,0.973,3.109,3.589,6.828,39.02
20, 29.2137,26.666,0.952,5.988,12.106,56.081,83.08
21, 165.844,45.1894,64.731,136.498,167.548,193.456,250.031
22, 294.651,36.5203,231.707,259.621,294.158,324.054,354.385
23, 799.251,36.1046,733.083,763.988,798.112,829.514,862.568
24, 1344.95,35.1452,1283.84,1315.63,1339.99,1375.61,1409.28

>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.22306,0.0355561,0.192,0.2,0.202,0.249,0.367
4, 0.37622,0.0385644,0.32,0.339,0.382,0.407,0.48
5, 0.66805,0.0458692,0.607,0.627,0.674,0.695,0.938
6, 0.67948,0.0515415,0.596,0.64,0.689,0.697,0.998
7, 0.68776,0.0836913,0.604,0.635,0.685,0.692,1.067
8, 0.69359,0.0754021,0.606,0.662,0.691,0.696,1.06
9, 0.68673,0.117347,0.612,0.627,0.645,0.677,1.238
10, 0.68758,0.10878,0.609,0.632,0.647,0.676,1.143
11, 0.6909,0.0585169,0.615,0.631,0.692,0.729,0.888
12, 0.75786,0.0801154,0.63,0.692,0.761,0.798,1.043
13, 0.78409,0.113408,0.629,0.679,0.777,0.877,1.184
14, 0.93087,0.212522,0.637,0.733,0.894,1.091,1.76
15, 1.20363,0.416455,0.643,0.789,1.263,1.545,2.903
16, 2.05568,0.865696,0.73,1.06,2.427,2.63,5.614
17, 3.73925,1.90394,0.782,1.327,4.574,4.983,10.937
18, 2.15624,3.65986,0.689,0.829,1.012,1.174,27.981
19, 5.17544,9.21244,0.682,0.938,1.107,3.161,59.579
20, 14.834,27.9123,0.861,1.233,1.737,21.853,183.973
21, 299.923,184.386,1.247,71.132,387.956,446.524,535.087
22, 825.219,59.8168,634.483,779.926,822.749,866.159,942.739
23, 1746.79,83.3676,1443.4,1699.63,1756.92,1814.92,1875.03
24, 3602.99,98.187,3267.19,3566.36,3612.9,3668.2,3782.55

>>> 'test_cnot_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.22273,0.0378624,0.179,0.2,0.203,0.253,0.372
4, 0.36551,0.0348897,0.316,0.336,0.351,0.394,0.496
5, 0.66425,0.0414539,0.603,0.625,0.674,0.69,0.854
6, 0.66756,0.0347932,0.6,0.635,0.674,0.684,0.807
7, 0.67551,0.0925457,0.597,0.612,0.67,0.686,1.063
8, 0.71074,0.119086,0.598,0.615,0.673,0.714,1.031
9, 0.65563,0.0742507,0.601,0.617,0.639,0.654,1.019
10, 0.71118,0.100941,0.603,0.658,0.685,0.714,1.104
11, 0.75817,0.109078,0.611,0.705,0.725,0.749,1.123
12, 0.73288,0.109341,0.604,0.635,0.709,0.799,1.11
13, 0.80971,0.1291,0.623,0.68,0.793,0.926,1.233
14, 1.00779,0.201112,0.64,0.797,1.127,1.143,1.604
15, 1.25267,0.430743,0.648,0.816,1.429,1.575,2.902
16, 1.89346,0.966898,0.68,0.864,2.35,2.697,5.756
17, 3.12911,2.2209,0.746,0.977,2.438,5.172,11.522
18, 2.13959,3.9687,0.694,0.836,0.951,1.05,28.589
19, 5.0886,10.7996,0.801,1.019,1.158,2.75,79.016
20, 14.2215,22.9195,0.765,1.172,2.309,23.525,171.152
21, 225.991,125.992,2.106,80.319,277.38,337.018,391.974
22, 765.386,47.9728,660.152,730.475,771.171,802.128,891.25
23, 1744.2,46.4706,1622.77,1704.71,1745.99,1781.48,1837.75
24, 3608.42,72.615,3431.11,3557.13,3605.98,3648.11,3842.2

>>> 'test_x_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.05254,0.00988578,0.049,0.051,0.051,0.052,0.146
4, 0.22469,0.0326814,0.197,0.203,0.207,0.236,0.332
5, 0.37175,0.0399548,0.327,0.342,0.356,0.395,0.545
6, 0.67552,0.0455395,0.622,0.638,0.662,0.705,0.838
7, 0.68914,0.04851,0.62,0.647,0.694,0.713,0.905
8, 0.7139,0.0896834,0.621,0.683,0.705,0.713,1.145
9, 0.75785,0.146203,0.62,0.679,0.71,0.736,1.242
10, 0.71034,0.0790471,0.631,0.679,0.69,0.715,1.215
11, 0.75645,0.0921588,0.626,0.733,0.747,0.758,1.339
12, 0.79005,0.0822272,0.628,0.768,0.784,0.815,1.102
13, 0.85778,0.120817,0.65,0.743,0.88,0.948,1.285
14, 0.94514,0.197243,0.653,0.765,0.896,1.117,1.426
15, 1.33109,0.36468,0.673,0.897,1.54,1.587,1.933
16, 1.8277,0.709625,0.702,1.033,2.23,2.394,2.847
17, 3.23435,1.54902,0.727,1.22,4.166,4.484,5.231
18, 1.35956,1.38267,0.792,0.852,0.872,1.008,8.695
19, 2.68209,3.96486,0.797,0.944,1.08,1.429,17.088
20, 5.66043,8.84,0.719,1.007,1.181,3.04,31.927
21, 18.8116,20.5341,0.732,2.757,6.418,44.556,57.058
22, 76.26,34.4385,13.336,49.195,77.884,102.544,131.682
23, 223.475,34.3499,162.357,193.505,225.652,256.056,277.448
24, 501.226,35.3791,436.151,471.542,498.071,533.601,560.435

Passed all 4 test cases (no assertions).

