############ QEngine -> CPU ############
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.2545,0.0432811,0.201,0.208,0.258,0.284,0.478
4, 0.43137,0.0786561,0.337,0.358,0.421,0.433,0.645
5, 0.70588,0.0471551,0.626,0.695,0.711,0.719,0.887
6, 0.69595,0.055162,0.645,0.65,0.679,0.722,1.016
7, 0.69988,0.0920492,0.629,0.649,0.679,0.717,1.262
8, 0.7148,0.128475,0.643,0.648,0.676,0.726,1.354
9, 0.75754,0.175321,0.637,0.676,0.69,0.706,1.284
10, 0.75232,0.0832059,0.652,0.712,0.749,0.768,1.303
11, 0.71198,0.0670926,0.636,0.663,0.706,0.729,1.024
12, 0.84857,0.110083,0.65,0.755,0.869,0.923,1.171
13, 0.95254,0.211951,0.638,0.744,0.894,1.143,1.346
14, 1.36183,0.388803,0.675,0.894,1.544,1.665,1.897
15, 2.04588,0.863286,0.722,1.147,2.406,2.795,3.537
16, 2.49095,1.74615,0.761,1.056,1.559,4.78,5.719
17, 1.59293,1.98109,0.71,0.836,0.9,1.125,12.349
18, 3.27086,4.80313,0.716,0.959,1.15,2.436,20.41
19, 8.01917,11.532,0.731,0.946,1.247,9.418,38.871
20, 23.7211,23.9047,0.783,1.898,14.291,42.977,72.516
21, 91.9572,38.0463,29.367,58.674,89.884,123.447,211.346
22, 304.32,36.0204,243.156,273.923,305.509,334.926,366.006
23, 821.243,34.7094,756.597,792.819,821.489,848.836,889.455
24, 1390.97,35.0076,1329.34,1360.07,1392.21,1424.16,1452.64
25, 3142.59,42.2476,3004.66,3110.07,3149.42,3173.97,3226.21
26, 5722.02,40.1109,5596.87,5691.59,5725.9,5755.33,5799.77
27, 12103.8,40.9943,12007.9,12075.7,12102.1,12131.7,12197.3
28, 23033,40.6974,22873.2,23000.6,23026.9,23064.2,23118.3

>>> 'test_x_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.22332,0.0319465,0.174,0.204,0.208,0.238,0.337
4, 0.37672,0.0339933,0.344,0.351,0.36,0.401,0.519
5, 0.69107,0.0419061,0.64,0.659,0.679,0.717,0.858
6, 0.69883,0.0331011,0.658,0.679,0.696,0.71,0.854
7, 0.70303,0.056734,0.647,0.675,0.69,0.706,0.969
8, 0.6945,0.0464092,0.641,0.658,0.683,0.726,0.879
9, 0.75691,0.156643,0.63,0.646,0.695,0.754,1.197
10, 0.69867,0.0611529,0.642,0.678,0.685,0.696,1.119
11, 0.7584,0.0799537,0.638,0.71,0.757,0.785,1.178
12, 0.78037,0.0788977,0.639,0.718,0.806,0.818,0.999
13, 0.81373,0.104212,0.653,0.712,0.831,0.899,1.182
14, 1.02568,0.172421,0.665,0.974,1.075,1.121,1.782
15, 1.18384,0.361952,0.681,0.831,1.268,1.487,2.706
16, 1.84914,0.741435,0.697,1.001,2.19,2.337,5.255
17, 3.46346,1.84858,0.738,1.202,4.384,4.761,10.757
18, 2.0935,3.42658,0.787,0.89,1.061,1.228,26.752
19, 3.44441,5.72081,0.777,1.032,1.202,1.495,29.383
20, 13.3762,18.1992,0.807,1.126,1.88,23.411,108.29
21, 46.114,44.8912,0.869,12.067,40.806,71.392,362.329
22, 837.844,59.8826,703.972,798.444,840.915,874.676,955.829
23, 1777.03,78.8839,1502.05,1730.64,1795.14,1831.41,1906.11
24, 3695.18,81.7109,3495.49,3641.36,3697.36,3749.89,3888.64
25, 7466.12,89.8012,7197.62,7411.28,7457.88,7515.36,7725.62
26, 14898.2,124.821,14548.4,14812.2,14874.2,14985,15270.7
27, 29887.2,311.48,27565.1,29785.2,29891.5,30024.9,30489.4
28, 59263.9,1833.05,55851.1,57893.7,59022,60280.6,63295.5

>>> 'test_cnot_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.21809,0.0288697,0.195,0.204,0.206,0.213,0.333
4, 0.3695,0.0393107,0.329,0.345,0.352,0.388,0.527
5, 0.6812,0.0413824,0.602,0.646,0.676,0.717,0.851
6, 0.68727,0.0435208,0.639,0.647,0.676,0.718,0.829
7, 0.70099,0.109486,0.638,0.645,0.666,0.717,1.409
8, 0.70216,0.0637576,0.638,0.647,0.691,0.727,1.01
9, 0.70153,0.081008,0.634,0.673,0.686,0.692,1.361
10, 0.74405,0.0877777,0.64,0.698,0.729,0.754,1.168
11, 0.78432,0.0951805,0.632,0.746,0.761,0.788,1.245
12, 0.79291,0.0976875,0.653,0.701,0.801,0.859,1.083
13, 0.79704,0.111324,0.655,0.704,0.757,0.901,1.171
14, 0.97922,0.203422,0.677,0.769,1.067,1.168,1.567
15, 1.19177,0.454471,0.675,0.791,0.916,1.598,3.302
16, 1.86705,0.914206,0.716,0.971,2.244,2.556,6.103
17, 2.78679,2.09267,0.804,1.111,1.641,4.835,12.468
18, 1.94479,3.51239,0.799,0.89,1.042,1.184,30.221
19, 4.02398,6.23855,0.87,1.058,1.245,1.575,25.108
20, 13.2122,18.9999,0.856,1.172,2.588,21.637,122.593
21, 44.7512,43.7199,0.734,11.572,38.323,67.673,346.836
22, 756.799,53.1082,640.334,727.553,759.91,792.002,869.642
23, 1640.92,62.385,1496.52,1590.68,1636.51,1690.26,1839.79
24, 3419.88,68.1111,3203.67,3381.23,3421.98,3458.09,3612.83
25, 6986.18,121.45,6623.3,6906.81,6980.99,7055.91,7364.56
26, 13982.1,255.714,13293.1,13796.6,13966.9,14127,15127.2
27, 29168.8,1179.75,24912.9,28450,28944.5,29492.5,34719.6
28, 60476,2688.28,54823.7,58565.4,59886.1,61783.1,71995.7

>>> 'test_x_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.05248,0.00812955,0.049,0.051,0.051,0.052,0.122
4, 0.22623,0.0309651,0.192,0.201,0.211,0.25,0.324
5, 0.37573,0.0444825,0.337,0.347,0.36,0.397,0.655
6, 0.68916,0.0388548,0.636,0.656,0.677,0.725,0.793
7, 0.72448,0.110787,0.642,0.662,0.716,0.733,1.291
8, 0.72081,0.0908208,0.643,0.659,0.708,0.73,1.153
9, 0.74873,0.140501,0.644,0.672,0.722,0.737,1.309
10, 0.72409,0.100535,0.631,0.68,0.694,0.712,1.246
11, 0.72955,0.0744997,0.628,0.669,0.745,0.757,1.195
12, 0.78686,0.0839842,0.648,0.752,0.786,0.822,1.119
13, 0.80053,0.113396,0.656,0.693,0.771,0.894,1.104
14, 0.96352,0.171583,0.669,0.806,1.037,1.121,1.271
15, 1.3281,0.35872,0.675,0.926,1.53,1.612,1.759
16, 1.82158,0.737127,0.702,0.995,2.226,2.486,2.808
17, 3.1074,1.63763,0.747,1.063,4.11,4.549,5.363
18, 2.48407,3.01876,0.84,0.891,0.919,1.387,10.644
19, 2.77646,4.16813,0.761,0.942,1.169,1.449,17.668
20, 6.58194,9.64252,0.813,1.054,1.277,8.017,34.831
21, 22.1431,22.4923,0.785,1.562,11.144,40.879,69.143
22, 84.662,34.6111,25.443,49.317,78.744,110.344,142.591
23, 234.165,33.9694,171.637,203.484,236.179,260.835,291.087
24, 523.475,34.4372,464.808,495.654,521.794,554.143,583.423
25, 1097.37,35.2824,1034.06,1064.97,1096.74,1124.76,1161.54
26, 2272.94,36.0677,2193.27,2239.01,2273.1,2303.01,2339
27, 4617.68,67.2603,4088.62,4591.23,4613.21,4663.68,4696.5
28, 9321.85,59.8754,8837.08,9294.89,9324.97,9356.94,9394.4

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 1.86542,0.130612,1.625,1.727,1.894,1.961,2.111
4, 10.1423,0.456603,8.906,9.841,10.198,10.444,11.231
5, 25.0904,0.663171,23.457,24.728,25.009,25.42,27.078
6, 68.0878,1.50285,65.63,66.782,67.847,69.101,71.724
7, 101.02,2.45846,96.264,99.123,100.954,102.431,108.667
8, 163.642,2.76429,157.851,161.635,163.59,165.528,170.531
9, 253.742,3.56992,246.537,250.77,253.251,256.089,262.515
10, 431.43,4.05251,417.714,429.182,432.11,433.9,440.008
11, 653.376,6.47629,636.34,647.604,653.342,658.89,666.285
12, 1123.47,14.4027,1065.62,1117.97,1125.63,1133.45,1149.92
13, 2105.04,58.3258,1963.76,2066.77,2104.06,2141.39,2288.58
14, 5478.73,412.983,4845.5,5156.71,5428.59,5766.67,7080.13
15, 14608.6,1435.72,10779.6,13398.1,14783.4,15550.4,18038.9
16, 14414.5,1659.1,12013.8,12921.2,14087.9,15523,19162.7

Passed all 5 test cases with 1400 assertions.

