Random Seed: 1531400172
############ QUnit -> QEngine -> CPU ############
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03327,0.0392364,0.028,0.029,0.029,0.029,0.423
4, 0.05809,0.0190589,0.044,0.054,0.056,0.057,0.236
5, 0.05785,0.0184295,0.052,0.053,0.055,0.057,0.229
6, 0.08957,0.024114,0.081,0.084,0.087,0.089,0.326
7, 0.08991,0.0343404,0.082,0.085,0.087,0.087,0.431
8, 0.11448,0.0426039,0.105,0.108,0.109,0.111,0.529
9, 0.10961,0.0260752,0.103,0.105,0.106,0.107,0.358
10, 0.13216,0.0314149,0.125,0.126,0.128,0.13,0.442
11, 0.12802,0.0274222,0.121,0.123,0.125,0.127,0.399
12, 0.14978,0.038603,0.14,0.143,0.144,0.146,0.518
13, 0.14528,0.0326472,0.137,0.14,0.141,0.143,0.468
14, 0.16638,0.0377893,0.154,0.161,0.163,0.163,0.542
15, 0.169,0.0419462,0.16,0.162,0.163,0.165,0.58
16, 0.19233,0.0444275,0.182,0.186,0.187,0.19,0.633
17, 0.17818,0.0505518,0.149,0.171,0.173,0.178,0.663
18, 0.1844,0.0484066,0.166,0.17,0.172,0.194,0.652
19, 0.20035,0.0511422,0.189,0.194,0.194,0.196,0.707
20, 0.2221,0.0509552,0.213,0.216,0.216,0.217,0.728
21, 0.22275,0.0604457,0.213,0.215,0.216,0.217,0.82
22, 0.24502,0.0644622,0.233,0.237,0.238,0.239,0.881
23, 0.24511,0.0542174,0.232,0.238,0.238,0.24,0.779
24, 0.26567,0.0592338,0.252,0.258,0.259,0.261,0.851

>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.06541,0.00716951,0.063,0.064,0.065,0.065,0.136
4, 0.08172,0.00489506,0.075,0.076,0.083,0.086,0.103
5, 0.10687,0.00333063,0.104,0.106,0.107,0.107,0.138
6, 0.12823,0.00123171,0.125,0.128,0.128,0.129,0.133
7, 0.15061,0.00840939,0.147,0.149,0.149,0.15,0.228
8, 0.17012,0.00291644,0.163,0.169,0.171,0.172,0.183
9, 0.19256,0.00608328,0.189,0.191,0.191,0.192,0.247
10, 0.21215,0.00300458,0.204,0.21,0.213,0.214,0.226
11, 0.23575,0.0109931,0.23,0.233,0.234,0.235,0.311
12, 0.25658,0.0109811,0.246,0.254,0.255,0.256,0.335
13, 0.27604,0.00774328,0.265,0.274,0.275,0.277,0.334
14, 0.29824,0.00803632,0.288,0.296,0.297,0.299,0.371
15, 0.31873,0.00464081,0.309,0.317,0.319,0.32,0.341
16, 0.34053,0.0112831,0.327,0.336,0.339,0.341,0.431
