Random Seed: 1531843013
############ QUnit -> QEngine -> CPU ############
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.02536,0.0382596,0.021,0.021,0.021,0.022,0.406
4, 0.04706,0.0157879,0.041,0.042,0.043,0.044,0.183
5, 0.04452,0.0158079,0.041,0.042,0.042,0.043,0.196
6, 0.07351,0.0189618,0.069,0.07,0.071,0.072,0.259
7, 0.074,0.0168731,0.07,0.071,0.072,0.073,0.241
8, 0.09724,0.0248946,0.092,0.094,0.094,0.095,0.343
9, 0.09703,0.0233399,0.091,0.093,0.094,0.095,0.326
10, 0.11916,0.026801,0.113,0.114,0.115,0.117,0.376
11, 0.11935,0.0273746,0.113,0.115,0.116,0.117,0.39
12, 0.12529,0.0334677,0.117,0.119,0.12,0.121,0.453
13, 0.14282,0.0318331,0.134,0.137,0.139,0.142,0.458
14, 0.16699,0.0406936,0.159,0.161,0.162,0.163,0.57
15, 0.16686,0.0378355,0.156,0.162,0.163,0.164,0.543
16, 0.19265,0.0487402,0.183,0.185,0.187,0.188,0.672
17, 0.19024,0.0422855,0.179,0.184,0.185,0.187,0.606
18, 0.21433,0.0548316,0.197,0.207,0.208,0.21,0.758
19, 0.2144,0.0547715,0.202,0.208,0.209,0.21,0.758
20, 0.24039,0.0548861,0.227,0.231,0.233,0.234,0.77
21, 0.23784,0.0553933,0.224,0.23,0.231,0.232,0.781
22, 0.26037,0.061403,0.249,0.253,0.254,0.255,0.871
23, 0.26301,0.0613204,0.251,0.255,0.256,0.258,0.872
24, 0.28752,0.0656068,0.274,0.278,0.279,0.281,0.93
25, 0.28672,0.0723636,0.268,0.275,0.277,0.278,0.994
26, 0.31048,0.0682325,0.295,0.299,0.301,0.304,0.978
27, 0.30807,0.0680505,0.288,0.3,0.302,0.303,0.984
28, 0.33201,0.0825426,0.319,0.323,0.324,0.325,1.153

>>> 'test_x_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.06867,0.00384982,0.066,0.068,0.068,0.069,0.106
4, 0.0908,0.00340588,0.087,0.089,0.091,0.092,0.113
5, 0.11333,0.00179474,0.111,0.112,0.113,0.114,0.127
6, 0.13646,0.00645356,0.132,0.135,0.136,0.137,0.199
7, 0.15983,0.00700722,0.154,0.158,0.159,0.16,0.223
8, 0.18115,0.00272535,0.175,0.18,0.181,0.182,0.196
9, 0.20357,0.00431336,0.196,0.202,0.203,0.204,0.231
10, 0.22859,0.0107723,0.22,0.225,0.227,0.228,0.305
11, 0.25072,0.0109746,0.237,0.247,0.249,0.25,0.32
12, 0.27164,0.013673,0.263,0.267,0.269,0.271,0.342
13, 0.29035,0.00359548,0.28,0.289,0.29,0.292,0.315
14, 0.31302,0.00814368,0.302,0.31,0.312,0.314,0.386
15, 0.33523,0.00563179,0.328,0.332,0.335,0.337,0.367
16, 0.35665,0.0039834,0.348,0.354,0.356,0.358,0.373
17, 0.38016,0.0052416,0.372,0.377,0.38,0.382,0.404
18, 0.38828,0.0292592,0.339,0.355,0.4,0.402,0.482
19, 0.42849,0.0162932,0.413,0.422,0.425,0.427,0.5
20, 0.44635,0.0151356,0.438,0.441,0.444,0.446,0.545
21, 0.47042,0.0102383,0.461,0.466,0.469,0.471,0.535
22, 0.50759,0.0352091,0.414,0.515,0.522,0.524,0.577
23, 0.5481,0.0120619,0.536,0.543,0.546,0.549,0.626
24, 0.57221,0.00666678,0.561,0.569,0.571,0.573,0.6
25, 0.59774,0.0106081,0.583,0.592,0.596,0.599,0.673
26, 0.62345,0.014522,0.607,0.618,0.621,0.623,0.696
27, 0.64148,0.00625377,0.63,0.638,0.641,0.644,0.669
28, 0.66916,0.0123764,0.657,0.664,0.668,0.67,0.744

>>> 'test_cnot_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.02565,0.00648748,0.024,0.025,0.025,0.025,0.09
4, 0.02587,0.00685661,0.024,0.025,0.025,0.025,0.09
5, 0.02581,0.00667188,0.024,0.025,0.025,0.025,0.092
6, 0.02597,0.00826251,0.024,0.025,0.025,0.025,0.108
7, 0.0256,0.00639219,0.024,0.025,0.025,0.025,0.089
8, 0.02585,0.00626956,0.024,0.025,0.025,0.025,0.088
9, 0.02556,0.0054006,0.024,0.025,0.025,0.025,0.079
10, 0.02567,0.00568869,0.024,0.025,0.025,0.025,0.082
11, 0.02558,0.00539663,0.024,0.025,0.025,0.025,0.079
12, 0.02574,0.00657208,0.024,0.025,0.025,0.025,0.091
13, 0.02566,0.00639096,0.024,0.025,0.025,0.025,0.089
14, 0.02594,0.00676731,0.024,0.025,0.025,0.026,0.093
15, 0.02547,0.00660674,0.024,0.025,0.025,0.025,0.091
16, 0.0259,0.00657343,0.024,0.025,0.025,0.025,0.091
17, 0.02581,0.00667338,0.024,0.025,0.025,0.025,0.092
18, 0.02575,0.00638494,0.024,0.025,0.025,0.025,0.089
19, 0.02583,0.00673655,0.024,0.025,0.025,0.025,0.091
20, 0.0263,0.00897942,0.024,0.025,0.025,0.025,0.097
21, 0.02548,0.00590844,0.024,0.025,0.025,0.025,0.084
22, 0.0258,0.00524975,0.024,0.025,0.025,0.025,0.077
23, 0.02566,0.00548674,0.024,0.025,0.025,0.025,0.08
24, 0.02648,0.00950419,0.024,0.025,0.025,0.025,0.1
25, 0.02556,0.00508984,0.024,0.025,0.025,0.025,0.076
26, 0.02589,0.00668565,0.024,0.025,0.025,0.025,0.092
27, 0.0262,0.00870057,0.024,0.025,0.025,0.025,0.097
28, 0.02561,0.00507916,0.024,0.025,0.025,0.025,0.076

>>> 'test_x_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.02454,0.00074054,0.023,0.024,0.024,0.025,0.029
4, 0.02445,0.000622495,0.023,0.024,0.024,0.025,0.027
5, 0.02529,0.00537083,0.024,0.024,0.024,0.025,0.069
6, 0.02433,0.000584038,0.023,0.024,0.024,0.025,0.027
7, 0.0246,0.00142127,0.023,0.024,0.024,0.025,0.037
8, 0.02531,0.00703093,0.024,0.024,0.025,0.025,0.095
9, 0.02456,0.000605309,0.024,0.024,0.025,0.025,0.027
10, 0.02448,0.000556417,0.024,0.024,0.024,0.025,0.026
11, 0.02464,0.000728286,0.024,0.024,0.025,0.025,0.029
12, 0.02451,0.00161552,0.023,0.024,0.024,0.025,0.039
13, 0.02446,0.000623217,0.024,0.024,0.024,0.025,0.027
14, 0.02452,0.000607948,0.024,0.024,0.024,0.025,0.027
15, 0.02462,0.000758682,0.023,0.024,0.025,0.025,0.029
16, 0.02452,0.00064,0.024,0.024,0.024,0.025,0.028
17, 0.02463,0.000626977,0.024,0.024,0.025,0.025,0.028
18, 0.02437,0.000642729,0.024,0.024,0.024,0.025,0.028
19, 0.02443,0.000651996,0.023,0.024,0.024,0.025,0.027
20, 0.02503,0.00566472,0.023,0.024,0.024,0.025,0.081
21, 0.02453,0.000573673,0.024,0.024,0.024,0.025,0.027
22, 0.0245,0.000714143,0.024,0.024,0.024,0.025,0.029
23, 0.02455,0.000668954,0.024,0.024,0.024,0.025,0.028
24, 0.02426,0.000769675,0.023,0.024,0.024,0.024,0.03
25, 0.02473,0.000597578,0.024,0.024,0.025,0.025,0.027
26, 0.02547,0.00551807,0.024,0.024,0.025,0.025,0.071
27, 0.02444,0.000668131,0.024,0.024,0.024,0.025,0.028
28, 0.01984,0.00169541,0.019,0.019,0.02,0.02,0.034

>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 3.7199,0.184793,3.238,3.559,3.76,3.845,4.124
4, 15.1951,0.406105,14.15,14.919,15.213,15.46,16.094
5, 39.327,0.984773,36.716,38.658,39.133,39.899,42.391
6, 93.9453,1.84157,90.452,92.259,93.985,95.207,97.769
7, 141.902,2.058,137.411,140.545,141.506,143.047,147.863
8, 235.236,3.01555,228.665,233.289,235.115,237.254,242.222
9, 359.345,4.50006,348.937,355.912,359.675,362.717,370.282
10, 602.664,4.15308,593.764,599.629,602.954,605.685,616.363
11, 936.287,4.92621,924.016,933.395,936.238,940.288,950.358
12, 1525.99,34.229,1419.85,1506.1,1531.61,1550.54,1576.77
13, 2865.12,128.631,2591.3,2784.25,2848.36,2940.77,3191.41
14, 6487.24,593.441,4986.38,6024.3,6537.68,6954.47,7732.69
15, 16608.1,1127.49,13331.2,15918.6,16702.7,17417.4,18942.9
16, 19287.2,1528.6,16157.9,18062.9,19177.5,20356.7,23013.2

Passed all 5 test cases with 1400 assertions.

