Random Seed: 1532566783
############ QEngine -> OpenCL ############
Default platform: NVIDIA CUDA
Default device: Tesla V100-SXM2-16GB
OpenCL device #0: Tesla V100-SXM2-16GB
OpenCL device #1: Tesla V100-SXM2-16GB
OpenCL device #2: Tesla V100-SXM2-16GB
OpenCL device #3: Tesla V100-SXM2-16GB
>>> 'test_cnot_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03625,0.0503939,0.03,0.031,0.031,0.031,0.537
4, 0.06701,0.0484758,0.06,0.061,0.062,0.062,0.549
5, 0.06689,0.0484815,0.06,0.061,0.062,0.062,0.548
6, 0.09737,0.0485351,0.09,0.091,0.092,0.092,0.579
7, 0.09708,0.0484594,0.09,0.091,0.092,0.092,0.578
8, 0.13399,0.0923627,0.12,0.122,0.123,0.127,1.052
9, 0.13815,0.099571,0.125,0.127,0.127,0.128,1.128
10, 0.16726,0.0977187,0.153,0.155,0.157,0.158,1.138
11, 0.16865,0.0962945,0.155,0.158,0.158,0.159,1.126
12, 0.1937,0.0972965,0.179,0.18,0.181,0.188,1.16
13, 0.19583,0.0914995,0.183,0.184,0.185,0.186,1.105
14, 0.23028,0.0922768,0.217,0.219,0.22,0.22,1.147
15, 0.24314,0.0967548,0.23,0.232,0.233,0.234,1.205
16, 0.30111,0.0984003,0.288,0.289,0.29,0.291,1.279
17, 0.35138,0.100672,0.337,0.339,0.34,0.341,1.352
18, 0.50754,0.110704,0.491,0.494,0.495,0.496,1.608
19, 0.73744,0.130091,0.719,0.722,0.723,0.725,2.031
20, 1.73776,0.182003,1.685,1.691,1.694,1.791,3.492
21, 3.03166,0.260786,2.958,2.991,2.995,3.003,5.605
22, 6.31182,0.406201,6.241,6.262,6.271,6.278,10.352
23, 12.2551,0.713334,12.126,12.173,12.182,12.193,19.351
24, 26.1924,1.33083,26,26.04,26.06,26.077,39.432
25, 51.9244,2.54953,51.567,51.648,51.668,51.689,77.29
26, 111.718,4.97575,111.127,111.186,111.216,111.244,161.224
27, 223.222,9.82903,222.108,222.179,222.23,222.287,321.018
28, 479.314,19.536,476.525,477.267,477.365,477.448,673.69

>>> 'test_x_all': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 1.02156,0.280431,0.488,1.002,1.017,1.058,2.508
4, 0.95659,0.148404,0.493,1.003,1.007,1.014,1.064
5, 0.97078,0.188171,0.492,1.003,1.009,1.027,1.372
6, 1.01476,0.160065,0.488,0.999,1.004,1.026,1.641
7, 1.03082,0.250898,0.483,1,1.011,1.187,1.517
8, 0.7682,0.15924,0.677,0.682,0.805,0.813,2.208
9, 1.24861,0.263396,1,1.009,1.038,1.489,2.409
10, 1.74147,0.262994,1.379,1.498,1.547,1.974,2.881
11, 2.00254,0.0916245,1.959,1.976,1.989,2.01,2.888
12, 2.03436,0.0641671,1.557,2.023,2.034,2.044,2.425
13, 1.70245,0.234927,1.516,1.531,1.547,1.997,2.417
14, 1.73887,0.239599,1.552,1.564,1.58,2.042,2.497
15, 1.71564,0.240562,1.523,1.539,1.553,2.024,2.437
16, 1.79693,0.251292,1.563,1.591,1.658,2.119,2.5
17, 1.93078,0.279301,1.687,1.723,1.754,2.287,2.696
18, 2.74337,0.322551,2.455,2.493,2.54,3.162,3.56
19, 3.29496,0.3835,2.921,2.964,3.099,3.791,4.256
20, 4.42637,0.550102,3.866,3.908,4.185,5.017,6.182
21, 6.52687,0.910812,5.587,5.658,6.228,7.388,10.187
22, 12.365,1.50881,10.995,11.047,13.01,13.149,19.67
23, 34.515,0.721417,34.246,34.37,34.443,34.508,41.639
24, 65.5933,1.31643,65.183,65.37,65.448,65.522,78.61
25, 127.499,2.55328,125.392,127.119,127.267,127.373,152.77
26, 251.575,4.98713,250.434,250.84,251.107,251.264,301.07
27, 499.696,9.71395,497.342,498.29,498.578,499.06,596.031
28, 996.193,19.4734,990.592,993.178,993.886,994.897,1189.14

>>> 'test_cnot_single': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.03794,0.070379,0.03,0.03,0.031,0.031,0.738
4, 0.03784,0.070024,0.03,0.03,0.03,0.031,0.734
5, 0.03812,0.0702772,0.03,0.03,0.031,0.031,0.737
6, 0.03797,0.0710805,0.03,0.03,0.031,0.031,0.745
7, 0.03828,0.0710852,0.03,0.03,0.031,0.031,0.745
8, 0.04815,0.170762,0.03,0.03,0.031,0.031,1.747
9, 0.05172,0.208186,0.029,0.03,0.031,0.031,2.123
10, 0.03988,0.0908873,0.029,0.03,0.031,0.031,0.944
11, 0.03988,0.0902053,0.03,0.03,0.03,0.031,0.937
12, 0.03998,0.090476,0.029,0.03,0.031,0.031,0.94
13, 0.04009,0.0907892,0.03,0.03,0.031,0.031,0.943
14, 0.0408,0.0915167,0.031,0.031,0.031,0.032,0.951
15, 0.04225,0.0931619,0.032,0.032,0.033,0.033,0.969
