# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,0.79007,0.358964,0.298,0.507,0.792,0.945,2.615,QEngineCPU
4,0.35257,0.0742609,0.248,0.289,0.332,0.387,0.629,QEngineCPU
5,0.2433,0.0183894,0.22,0.232,0.237,0.248,0.331,QEngineCPU
6,0.24109,0.0203367,0.225,0.231,0.236,0.24,0.387,QEngineCPU
7,0.23988,0.02057,0.225,0.233,0.236,0.241,0.405,QEngineCPU
8,0.25295,0.0575627,0.226,0.234,0.238,0.248,0.766,QEngineCPU
9,0.25817,0.0222617,0.229,0.244,0.249,0.266,0.341,QEngineCPU
10,0.28525,0.0372246,0.255,0.268,0.274,0.295,0.548,QEngineCPU
11,0.28663,0.0189191,0.267,0.275,0.279,0.289,0.355,QEngineCPU
12,0.32771,0.0249685,0.304,0.316,0.321,0.33,0.497,QEngineCPU
13,0.40697,0.0377578,0.322,0.389,0.401,0.408,0.66,QEngineCPU
14,0.63231,0.0569584,0.554,0.588,0.605,0.685,0.906,QEngineCPU
15,1.06401,0.118208,0.853,0.934,1.078,1.168,1.252,QEngineCPU
16,1.79938,0.203429,1.428,1.568,1.882,1.957,2.085,QEngineCPU
17,3.39651,0.456422,2.557,2.855,3.617,3.758,4.136,QEngineCPU
18,6.16365,0.816608,4.838,5.204,6.408,6.807,7.371,QEngineCPU
19,12.4817,1.60748,9.361,10.721,13.234,13.936,14.336,QEngineCPU
20,26.1585,2.55629,20.906,23.38,27.262,28.602,29.102,QEngineCPU
21,52.3195,5.56002,39.549,47.048,54.645,57.432,58.091,QEngineCPU
22,113.967,3.09854,98.061,113.464,115.323,115.834,116.392,QEngineCPU
23,230.772,2.57207,218.465,230.515,231.302,231.88,235,QEngineCPU
24,468.435,2.69105,452.916,468.144,469.158,469.663,470.672,QEngineCPU
25,938.771,3.33407,931.593,937.76,938.366,938.725,953.812,QEngineCPU
26,1900.48,5.22595,1883,1898.81,1900.25,1901.47,1932.15,QEngineCPU
27,3985,96.3246,3787,4021.91,4028.78,4034.75,4105.51,QEngineCPU
28,8889.19,61.2826,8456.61,8880.17,8895.08,8909.09,8994.54,QEngineCPU
3,0.08751,0.0237358,0.082,0.084,0.084,0.085,0.32,QEngineOCL
4,0.17158,0.022977,0.165,0.167,0.168,0.169,0.393,QEngineOCL
5,0.17071,0.022066,0.164,0.166,0.167,0.168,0.383,QEngineOCL
6,0.24563,0.0221534,0.237,0.24,0.242,0.244,0.459,QEngineOCL
7,0.24416,0.0230372,0.235,0.239,0.24,0.242,0.462,QEngineOCL
8,0.3327,0.022773,0.323,0.327,0.329,0.332,0.554,QEngineOCL
9,0.33182,0.022995,0.321,0.326,0.328,0.33,0.553,QEngineOCL
10,0.41982,0.0399165,0.408,0.413,0.414,0.416,0.812,QEngineOCL
11,0.42148,0.0417996,0.411,0.414,0.415,0.418,0.834,QEngineOCL
12,0.50298,0.0423682,0.491,0.495,0.496,0.499,0.919,QEngineOCL
13,0.50486,0.0390845,0.493,0.496,0.498,0.502,0.886,QEngineOCL
14,0.59471,0.0399928,0.584,0.586,0.588,0.592,0.985,QEngineOCL
15,0.62493,0.0434404,0.612,0.617,0.619,0.622,1.053,QEngineOCL
16,0.83036,0.04823,0.812,0.82,0.823,0.827,1.295,QEngineOCL
17,0.98415,0.0523073,0.968,0.973,0.975,0.98,1.489,QEngineOCL
18,1.39714,0.101026,1.305,1.315,1.425,1.434,2.005,QEngineOCL
19,1.93873,0.0962113,1.897,1.904,1.927,1.933,2.706,QEngineOCL
20,5.37426,0.114117,5.345,5.356,5.362,5.371,6.506,QEngineOCL
21,10.0931,0.197405,10.035,10.062,10.073,10.083,12.05,QEngineOCL
22,21.2456,0.357602,21.162,21.196,21.209,21.222,24.799,QEngineOCL
23,41.5253,0.660649,41.408,41.439,41.458,41.474,48.094,QEngineOCL
24,89.7062,1.267,89.52,89.564,89.577,89.594,102.31,QEngineOCL
25,178.526,2.48556,178.177,178.243,178.277,178.308,203.254,QEngineOCL
26,386.017,4.91991,385.404,385.475,385.511,385.553,434.965,QEngineOCL
27,772.673,9.81558,771.171,771.428,771.612,771.897,870.276,QEngineOCL
28,1665.05,19.5546,1662.09,1662.61,1663.12,1663.5,1859.55,QEngineOCL
3,0.01546,0.000753923,0.014,0.015,0.015,0.016,0.02,QUnit -> QFusion (CPU)
4,0.03041,0.00188199,0.029,0.03,0.03,0.031,0.046,QUnit -> QFusion (CPU)
5,0.03117,0.00336468,0.029,0.03,0.03,0.031,0.06,QUnit -> QFusion (CPU)
6,0.04627,0.00235735,0.044,0.045,0.046,0.047,0.061,QUnit -> QFusion (CPU)
7,0.04675,0.00466557,0.044,0.045,0.046,0.046,0.088,QUnit -> QFusion (CPU)
8,0.06176,0.00222315,0.059,0.06,0.061,0.063,0.073,QUnit -> QFusion (CPU)
9,0.06107,0.00121041,0.059,0.06,0.061,0.062,0.064,QUnit -> QFusion (CPU)
10,0.07742,0.00299393,0.074,0.076,0.077,0.078,0.1,QUnit -> QFusion (CPU)
11,0.0789,0.00844097,0.075,0.076,0.077,0.078,0.136,QUnit -> QFusion (CPU)
12,0.09369,0.00845659,0.09,0.091,0.092,0.093,0.157,QUnit -> QFusion (CPU)
13,0.09183,0.00267976,0.09,0.091,0.091,0.092,0.111,QUnit -> QFusion (CPU)
14,0.10833,0.00617261,0.105,0.106,0.107,0.108,0.164,QUnit -> QFusion (CPU)
15,0.10724,0.00173274,0.103,0.106,0.107,0.108,0.113,QUnit -> QFusion (CPU)
16,0.12457,0.00825864,0.12,0.122,0.123,0.124,0.177,QUnit -> QFusion (CPU)
17,0.12436,0.00844692,0.119,0.122,0.123,0.124,0.206,QUnit -> QFusion (CPU)
18,0.14074,0.0102719,0.135,0.137,0.139,0.14,0.219,QUnit -> QFusion (CPU)
19,0.13931,0.0043398,0.134,0.137,0.138,0.14,0.158,QUnit -> QFusion (CPU)
20,0.15991,0.053212,0.149,0.152,0.153,0.155,0.686,QUnit -> QFusion (CPU)
21,0.15297,0.00343353,0.148,0.151,0.152,0.154,0.175,QUnit -> QFusion (CPU)
22,0.17122,0.00959956,0.164,0.167,0.169,0.17,0.229,QUnit -> QFusion (CPU)
23,0.17239,0.0155383,0.166,0.168,0.169,0.171,0.279,QUnit -> QFusion (CPU)
24,0.18578,0.0055706,0.179,0.184,0.185,0.187,0.225,QUnit -> QFusion (CPU)
25,0.18509,0.00731997,0.18,0.182,0.184,0.185,0.226,QUnit -> QFusion (CPU)
26,0.20057,0.0112865,0.192,0.196,0.198,0.2,0.271,QUnit -> QFusion (CPU)
27,0.19971,0.0106689,0.194,0.196,0.198,0.2,0.296,QUnit -> QFusion (CPU)
28,0.21449,0.00704059,0.208,0.212,0.213,0.215,0.268,QUnit -> QFusion (CPU)
3,0.01463,0.0176633,0.012,0.012,0.013,0.013,0.19,QUnit -> QFusion (OCL)
4,0.02676,0.0198233,0.024,0.024,0.024,0.025,0.223,QUnit -> QFusion (OCL)
5,0.02684,0.0200663,0.023,0.024,0.024,0.025,0.224,QUnit -> QFusion (OCL)
6,0.03867,0.0214975,0.035,0.036,0.036,0.036,0.25,QUnit -> QFusion (OCL)
7,0.03903,0.0216312,0.035,0.036,0.036,0.037,0.252,QUnit -> QFusion (OCL)
8,0.05125,0.0234454,0.047,0.048,0.048,0.05,0.283,QUnit -> QFusion (OCL)
9,0.05111,0.0235044,0.047,0.048,0.048,0.049,0.283,QUnit -> QFusion (OCL)
10,0.06296,0.025215,0.059,0.059,0.06,0.06,0.313,QUnit -> QFusion (OCL)
11,0.0637,0.0251867,0.059,0.06,0.06,0.062,0.312,QUnit -> QFusion (OCL)
12,0.07562,0.0269472,0.071,0.072,0.072,0.073,0.342,QUnit -> QFusion (OCL)
13,0.07477,0.0268003,0.07,0.071,0.071,0.072,0.339,QUnit -> QFusion (OCL)
14,0.08692,0.028581,0.082,0.083,0.083,0.084,0.369,QUnit -> QFusion (OCL)
15,0.08684,0.028493,0.083,0.083,0.083,0.084,0.369,QUnit -> QFusion (OCL)
16,0.09915,0.0301537,0.094,0.095,0.095,0.096,0.397,QUnit -> QFusion (OCL)
17,0.09915,0.0309626,0.094,0.095,0.095,0.096,0.406,QUnit -> QFusion (OCL)
18,0.11162,0.0322257,0.106,0.107,0.108,0.108,0.431,QUnit -> QFusion (OCL)
19,0.1112,0.0320191,0.106,0.107,0.107,0.107,0.427,QUnit -> QFusion (OCL)
20,0.12329,0.0334755,0.118,0.119,0.119,0.12,0.455,QUnit -> QFusion (OCL)
21,0.12309,0.033487,0.118,0.118,0.119,0.119,0.455,QUnit -> QFusion (OCL)
22,0.13523,0.0349711,0.129,0.13,0.131,0.131,0.482,QUnit -> QFusion (OCL)
23,0.13569,0.0366158,0.129,0.13,0.131,0.131,0.498,QUnit -> QFusion (OCL)
24,0.14714,0.039337,0.141,0.142,0.142,0.143,0.537,QUnit -> QFusion (OCL)
25,0.14724,0.0377825,0.141,0.142,0.142,0.143,0.521,QUnit -> QFusion (OCL)
26,0.15997,0.0401797,0.153,0.154,0.155,0.155,0.558,QUnit -> QFusion (OCL)
27,0.15958,0.0387268,0.152,0.154,0.155,0.155,0.543,QUnit -> QFusion (OCL)
28,0.17165,0.0430094,0.165,0.166,0.166,0.167,0.598,QUnit -> QFusion (OCL)
