# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,0.48293,0.453846,0.139,0.146,0.189,0.827,2.559,QEngineCPU
4,0.25726,0.0364232,0.226,0.238,0.242,0.26,0.398,QEngineCPU
5,0.25649,0.0287929,0.23,0.238,0.242,0.279,0.351,QEngineCPU
6,0.25417,0.0266631,0.228,0.239,0.243,0.253,0.361,QEngineCPU
7,0.25986,0.034639,0.229,0.241,0.245,0.27,0.427,QEngineCPU
8,0.26162,0.0405534,0.23,0.239,0.246,0.264,0.463,QEngineCPU
9,0.28053,0.0344823,0.237,0.254,0.269,0.296,0.433,QEngineCPU
10,0.28401,0.0253434,0.256,0.271,0.276,0.288,0.459,QEngineCPU
11,0.30707,0.0236437,0.272,0.289,0.298,0.321,0.396,QEngineCPU
12,0.33863,0.0282141,0.307,0.322,0.328,0.344,0.457,QEngineCPU
13,0.42094,0.0358418,0.377,0.397,0.411,0.425,0.563,QEngineCPU
14,0.64615,0.0756361,0.482,0.599,0.617,0.693,1.146,QEngineCPU
15,1.055,0.112539,0.838,0.932,1.074,1.157,1.257,QEngineCPU
16,1.7868,0.185549,1.426,1.582,1.874,1.929,2.045,QEngineCPU
17,3.33221,0.392779,2.657,2.868,3.538,3.68,3.885,QEngineCPU
18,6.08827,0.7348,4.364,5.245,6.331,6.633,7.233,QEngineCPU
19,12.3181,1.6498,9.011,10.232,13.209,13.705,14.149,QEngineCPU
20,25.4816,2.68545,18.712,22.906,26.609,27.796,28.583,QEngineCPU
21,51.1106,4.92799,39.43,46.924,53.032,55.566,56.469,QEngineCPU
22,112.721,2.61614,99.032,111.892,113.503,114.558,115.189,QEngineCPU
23,227.199,2.32847,217.686,226.282,227.955,228.866,229.893,QEngineCPU
24,462.917,3.43314,447.449,462.165,464.063,464.837,469.471,QEngineCPU
3,0.71251,0.237994,0.441,0.591,0.689,0.755,2.618,QEngineOCL
4,0.71053,0.142939,0.528,0.608,0.657,0.754,1.246,QEngineOCL
5,0.70793,0.103378,0.545,0.624,0.67,0.758,1.159,QEngineOCL
6,0.67082,0.101255,0.54,0.591,0.645,0.717,0.965,QEngineOCL
7,0.7563,0.131967,0.578,0.655,0.732,0.815,1.371,QEngineOCL
8,0.79592,0.134806,0.589,0.695,0.748,0.867,1.357,QEngineOCL
9,0.82553,0.111326,0.65,0.744,0.795,0.886,1.252,QEngineOCL
10,0.96721,0.205784,0.716,0.83,0.897,1.041,1.731,QEngineOCL
11,0.97728,0.153227,0.747,0.877,0.93,1.049,1.627,QEngineOCL
