# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,0.20314,0.118578,0.154,0.164,0.175,0.199,1.236,QEngineCPU
4,0.2711,0.0190423,0.241,0.254,0.265,0.288,0.305,QEngineCPU
5,0.26825,0.0578535,0.224,0.236,0.242,0.28,0.615,QEngineCPU
6,0.24692,0.0262098,0.229,0.238,0.241,0.245,0.433,QEngineCPU
7,0.25075,0.0431915,0.226,0.235,0.241,0.244,0.568,QEngineCPU
8,0.26304,0.0526068,0.23,0.239,0.245,0.258,0.586,QEngineCPU
9,0.27883,0.051638,0.23,0.251,0.257,0.293,0.591,QEngineCPU
10,0.30081,0.0547373,0.257,0.268,0.272,0.326,0.545,QEngineCPU
11,0.31701,0.0527686,0.27,0.28,0.288,0.335,0.486,QEngineCPU
12,0.33587,0.0302865,0.306,0.318,0.326,0.34,0.498,QEngineCPU
13,0.46921,0.0894792,0.377,0.401,0.417,0.535,0.931,QEngineCPU
14,0.69619,0.0931713,0.518,0.593,0.697,0.798,0.846,QEngineCPU
15,1.20872,0.205018,0.867,0.943,1.294,1.384,1.567,QEngineCPU
16,2.05675,0.335869,1.461,1.619,2.256,2.306,2.47,QEngineCPU
17,3.89168,0.734862,2.599,2.971,4.235,4.482,5.262,QEngineCPU
18,7.49038,1.026,5.072,6.285,7.898,8.26,8.789,QEngineCPU
19,15.3198,1.81057,11.698,13.347,16.057,16.669,17.563,QEngineCPU
20,30.3402,3.12928,23.359,27.773,31.283,32.695,34.357,QEngineCPU
21,64.7001,1.93226,54.191,63.868,64.519,66.099,67.818,QEngineCPU
22,137.284,3.24462,125.203,135.105,137.701,140.061,143.384,QEngineCPU
23,271.947,6.41387,251.3,268.05,273.184,276.802,283.305,QEngineCPU
24,594.127,16.2368,534.063,585.644,590.727,609.844,617.448,QEngineCPU
3,0.60649,0.119234,0.439,0.539,0.584,0.636,1.389,QEngineOCL
4,0.71658,0.140707,0.517,0.612,0.675,0.781,1.338,QEngineOCL
