# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,0.03625,0.0503939,0.03,0.031,0.031,0.031,0.537,QEngineOCL
4,0.06701,0.0484758,0.06,0.061,0.062,0.062,0.549,QEngineOCL
5,0.06689,0.0484815,0.06,0.061,0.062,0.062,0.548,QEngineOCL
6,0.09737,0.0485351,0.09,0.091,0.092,0.092,0.579,QEngineOCL
7,0.09708,0.0484594,0.09,0.091,0.092,0.092,0.578,QEngineOCL
8,0.13399,0.0923627,0.12,0.122,0.123,0.127,1.052,QEngineOCL
9,0.13815,0.099571,0.125,0.127,0.127,0.128,1.128,QEngineOCL
10,0.16726,0.0977187,0.153,0.155,0.157,0.158,1.138,QEngineOCL
11,0.16865,0.0962945,0.155,0.158,0.158,0.159,1.126,QEngineOCL
12,0.1937,0.0972965,0.179,0.18,0.181,0.188,1.16,QEngineOCL
13,0.19583,0.0914995,0.183,0.184,0.185,0.186,1.105,QEngineOCL
14,0.23028,0.0922768,0.217,0.219,0.22,0.22,1.147,QEngineOCL
15,0.24314,0.0967548,0.23,0.232,0.233,0.234,1.205,QEngineOCL
16,0.30111,0.0984003,0.288,0.289,0.29,0.291,1.279,QEngineOCL
17,0.35138,0.100672,0.337,0.339,0.34,0.341,1.352,QEngineOCL
18,0.50754,0.110704,0.491,0.494,0.495,0.496,1.608,QEngineOCL
19,0.73744,0.130091,0.719,0.722,0.723,0.725,2.031,QEngineOCL
20,1.73776,0.182003,1.685,1.691,1.694,1.791,3.492,QEngineOCL
21,3.03166,0.260786,2.958,2.991,2.995,3.003,5.605,QEngineOCL
22,6.31182,0.406201,6.241,6.262,6.271,6.278,10.352,QEngineOCL
23,12.2551,0.713334,12.126,12.173,12.182,12.193,19.351,QEngineOCL
24,26.1924,1.33083,26,26.04,26.06,26.077,39.432,QEngineOCL
25,51.9244,2.54953,51.567,51.648,51.668,51.689,77.29,QEngineOCL
26,111.718,4.97575,111.127,111.186,111.216,111.244,161.224,QEngineOCL
27,223.222,9.82903,222.108,222.179,222.23,222.287,321.018,QEngineOCL
28,479.314,19.536,476.525,477.267,477.365,477.448,673.69,QEngineOCL
3,0.0519,0.202635,0.03,0.031,0.031,0.032,2.068,QUnit (OCL)
4,0.10223,0.397778,0.061,0.061,0.062,0.062,4.06,QUnit (OCL)
5,0.10163,0.394123,0.061,0.061,0.062,0.062,4.023,QUnit (OCL)
6,0.14859,0.559358,0.09,0.091,0.092,0.092,5.714,QUnit (OCL)
7,0.15272,0.600453,0.09,0.091,0.092,0.092,6.127,QUnit (OCL)
8,0.20013,0.765834,0.121,0.122,0.122,0.123,7.82,QUnit (OCL)
9,0.19076,0.675125,0.12,0.121,0.122,0.123,6.908,QUnit (OCL)
10,0.2442,0.897693,0.151,0.152,0.153,0.154,9.176,QUnit (OCL)
11,0.24376,0.895724,0.151,0.152,0.152,0.153,9.156,QUnit (OCL)
12,0.29307,1.08002,0.181,0.182,0.183,0.184,11.039,QUnit (OCL)
13,0.29146,1.0638,0.181,0.182,0.183,0.185,10.876,QUnit (OCL)
14,0.33739,1.21386,0.211,0.213,0.214,0.215,12.415,QUnit (OCL)
15,0.34291,1.27059,0.211,0.213,0.214,0.215,12.985,QUnit (OCL)
16,0.39438,1.47648,0.242,0.243,0.244,0.245,15.085,QUnit (OCL)
17,0.38853,1.41968,0.241,0.243,0.244,0.245,14.514,QUnit (OCL)
18,0.43132,1.53296,0.273,0.274,0.275,0.277,15.684,QUnit (OCL)
19,0.43675,1.58508,0.273,0.275,0.276,0.277,16.208,QUnit (OCL)
20,0.48653,1.77304,0.304,0.305,0.306,0.308,18.128,QUnit (OCL)
21,0.50213,1.81107,0.315,0.317,0.318,0.319,18.522,QUnit (OCL)
22,0.5521,1.98465,0.348,0.349,0.351,0.352,20.299,QUnit (OCL)
23,0.55086,1.96406,0.349,0.351,0.352,0.353,20.093,QUnit (OCL)
24,0.57827,2.08714,0.364,0.366,0.367,0.368,21.345,QUnit (OCL)
25,0.57956,2.08953,0.364,0.366,0.368,0.37,21.37,QUnit (OCL)
