# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
4,0.30137,0.184971,0.227,0.2365,0.242,0.278,1.29,QEngineCPU
5,0.24445,0.0194599,0.226,0.234,0.238,0.242,0.324,QEngineCPU
6,0.24274,0.0199166,0.224,0.233,0.237,0.242,0.338,QEngineCPU
7,0.24144,0.0200276,0.225,0.233,0.237,0.241,0.357,QEngineCPU
8,0.24479,0.0205817,0.226,0.234,0.238,0.245,0.35,QEngineCPU
9,0.26765,0.0433157,0.237,0.246,0.255,0.273,0.531,QEngineCPU
10,0.27353,0.0204717,0.253,0.263,0.267,0.273,0.382,QEngineCPU
11,0.28183,0.014111,0.265,0.2735,0.278,0.2835,0.337,QEngineCPU
12,0.31595,0.0206424,0.288,0.305,0.31,0.317,0.405,QEngineCPU
13,0.3758,0.0499243,0.332,0.356,0.3615,0.37,0.718,QEngineCPU
14,0.5012,0.0662886,0.47,0.479,0.485,0.4925,0.97,QEngineCPU
15,0.77829,0.121134,0.689,0.753,0.7675,0.782,1.961,QEngineCPU
16,1.24109,0.248301,1.075,1.193,1.2165,1.2345,3.681,QEngineCPU
17,2.2393,0.453866,2.083,2.119,2.142,2.2615,6.625,QEngineCPU
18,4.25096,1.0316,3.657,3.9575,4.2295,4.309,14.33,QEngineCPU
19,8.87772,2.02325,7.946,8.5685,8.661,8.776,28.571,QEngineCPU
20,18.9291,3.97076,16.713,18.1145,18.3915,18.8995,57.728,QEngineCPU
21,42.0794,8.31246,37.189,39.1665,41.3185,42.7635,121.646,QEngineCPU
22,268.674,6.21886,242.024,268.248,270.286,270.913,278.58,QEngineCPU
23,540.001,7.27132,514.143,535.557,542.513,544.506,550.87,QEngineCPU
24,1084.89,8.81359,1014.62,1083.66,1085.72,1088.61,1095.78,QEngineCPU
25,2175.06,18.1335,2042.38,2171.73,2177.9,2182.32,2198.03,QEngineCPU
26,4366.34,35.0103,4064.13,4359.74,4371.55,4380.79,4410.95,QEngineCPU
27,8750.43,63.652,8180.7,8735.42,8761.23,8777.67,8803.87,QEngineCPU
28,17527.1,117.007,16440,17513,17540.9,17558.9,17620.9,QEngineCPU
4,0.06272,0.00474991,0.061,0.0615,0.062,0.062,0.102,QEngineOCL
5,0.06256,0.00393019,0.061,0.0615,0.062,0.062,0.095,QEngineOCL
6,0.06478,0.00460777,0.061,0.062,0.063,0.066,0.092,QEngineOCL
7,0.06268,0.00411553,0.061,0.062,0.062,0.062,0.093,QEngineOCL
8,0.07237,0.10129,0.061,0.062,0.062,0.062,1.08,QEngineOCL
9,0.06444,0.0184121,0.061,0.061,0.062,0.062,0.243,QEngineOCL
10,0.06444,0.0179941,0.061,0.062,0.062,0.062,0.241,QEngineOCL
11,0.06402,0.0178997,0.061,0.061,0.062,0.062,0.24,QEngineOCL
12,0.06427,0.0178734,0.061,0.062,0.062,0.062,0.24,QEngineOCL
13,0.06435,0.0182704,0.061,0.061,0.062,0.062,0.243,QEngineOCL
14,0.06406,0.0180027,0.06,0.0615,0.062,0.062,0.241,QEngineOCL
15,0.06417,0.0180089,0.061,0.062,0.062,0.062,0.241,QEngineOCL
16,0.06446,0.0178809,0.061,0.062,0.062,0.062,0.24,QEngineOCL
17,0.06419,0.0177948,0.061,0.062,0.062,0.062,0.24,QEngineOCL
18,0.06409,0.0176511,0.061,0.062,0.062,0.062,0.238,QEngineOCL
19,0.06435,0.0204007,0.061,0.062,0.062,0.062,0.266,QEngineOCL
20,0.13365,0.156318,0.061,0.061,0.062,0.0625,0.497,QEngineOCL
21,0.25742,0.363438,0.06,0.061,0.062,0.0755,0.952,QEngineOCL
22,0.50543,0.768621,0.061,0.062,0.062,0.5965,1.871,QEngineOCL
23,1.00124,1.58222,0.061,0.062,0.062,3.2285,3.709,QEngineOCL
24,1.99405,3.20363,0.06,0.061,0.062,7.3635,7.409,QEngineOCL
25,3.98182,6.45445,0.061,0.063,0.0635,14.716,14.775,QEngineOCL
26,7.95716,12.9802,0.061,0.062,0.063,29.436,29.493,QEngineOCL
27,15.9169,26.0448,0.061,0.062,0.062,58.854,58.934,QEngineOCL
28,31.8194,52.209,0.061,0.063,0.063,117.743,117.884,QEngineOCL
4,0.01559,0.00169172,0.014,0.015,0.015,0.016,0.026,QUnit -> QFusion (CPU)
5,0.01513,0.000808146,0.014,0.015,0.015,0.015,0.019,QUnit -> QFusion (CPU)
6,0.0151,0.0007,0.014,0.015,0.015,0.015,0.018,QUnit -> QFusion (CPU)
7,0.01506,0.00188053,0.014,0.014,0.015,0.015,0.032,QUnit -> QFusion (CPU)
8,0.01539,0.00351822,0.014,0.014,0.015,0.015,0.043,QUnit -> QFusion (CPU)
9,0.01537,0.00314851,0.014,0.015,0.015,0.015,0.046,QUnit -> QFusion (CPU)
