Random Seed: 1530488889,,,,,,,
############ QEngine -> CPU ############,,,,,,,
>>> 'test_cnot': ,,,,,,,
100 iterations,,,,,,,
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3,0.48293,0.453846,0.139,0.146,0.189,0.827,2.559
4,0.25726,0.0364232,0.226,0.238,0.242,0.26,0.398
5,0.25649,0.0287929,0.23,0.238,0.242,0.279,0.351
6,0.25417,0.0266631,0.228,0.239,0.243,0.253,0.361
7,0.25986,0.034639,0.229,0.241,0.245,0.27,0.427
8,0.26162,0.0405534,0.23,0.239,0.246,0.264,0.463
9,0.28053,0.0344823,0.237,0.254,0.269,0.296,0.433
10,0.28401,0.0253434,0.256,0.271,0.276,0.288,0.459
11,0.30707,0.0236437,0.272,0.289,0.298,0.321,0.396
12,0.33863,0.0282141,0.307,0.322,0.328,0.344,0.457
13,0.42094,0.0358418,0.377,0.397,0.411,0.425,0.563
14,0.64615,0.0756361,0.482,0.599,0.617,0.693,1.146
15,1.055,0.112539,0.838,0.932,1.074,1.157,1.257
16,1.7868,0.185549,1.426,1.582,1.874,1.929,2.045
17,3.33221,0.392779,2.657,2.868,3.538,3.68,3.885
18,6.08827,0.7348,4.364,5.245,6.331,6.633,7.233
19,12.3181,1.6498,9.011,10.232,13.209,13.705,14.149
20,25.4816,2.68545,18.712,22.906,26.609,27.796,28.583
21,51.1106,4.92799,39.43,46.924,53.032,55.566,56.469
22,112.721,2.61614,99.032,111.892,113.503,114.558,115.189
23,227.199,2.32847,217.686,226.282,227.955,228.866,229.893
24,462.917,3.43314,447.449,462.165,464.063,464.837,469.471
,,,,,,,
>>> 'test_anticnot': ,,,,,,,
100 iterations,,,,,,,
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3,0.17424,0.0411393,0.139,0.15,0.157,0.183,0.37
4,0.25836,0.0422965,0.229,0.237,0.243,0.256,0.442
5,0.24887,0.0590753,0.224,0.234,0.239,0.247,0.813
6,0.24487,0.017997,0.226,0.236,0.239,0.245,0.339
7,0.24684,0.0238146,0.229,0.237,0.24,0.245,0.395
8,0.24496,0.0177031,0.23,0.234,0.24,0.245,0.334
9,0.2725,0.0226766,0.233,0.255,0.267,0.287,0.342
10,0.27433,0.0127899,0.256,0.267,0.272,0.277,0.333
11,0.30224,0.0305041,0.27,0.282,0.288,0.322,0.417
12,0.33033,0.0228408,0.306,0.317,0.324,0.333,0.434
13,0.41345,0.0362393,0.371,0.396,0.405,0.416,0.593
14,0.59056,0.0349189,0.435,0.574,0.584,0.598,0.75
15,0.932,0.0490214,0.83,0.91,0.928,0.944,1.317
16,1.58161,0.0826031,1.409,1.53,1.569,1.599,1.89
17,2.80904,0.125141,2.514,2.72,2.823,2.856,3.576
18,5.15936,0.286171,4.677,4.915,5.179,5.229,6.646
19,10.5283,0.542788,9.303,10.33,10.424,10.723,14.305
20,22.8998,1.06769,20.246,22.495,22.661,23.434,28.145
21,47.5024,2.0547,43.225,45.879,47.662,48.559,56.908
22,112.848,3.1062,99.724,111.208,113.374,114.946,117.047
23,228.741,3.61204,213.551,226.87,229.348,231.775,233.034
24,468.433,5.08717,453.159,466.013,470.332,471.772,474.535
,,,,,,,
>>> 'test_ccnot': ,,,,,,,
100 iterations,,,,,,,
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3,0.19806,0.108882,0.145,0.152,0.157,0.186,0.662
4,0.24477,0.0206179,0.227,0.237,0.241,0.244,0.389
5,0.24191,0.0144769,0.23,0.236,0.239,0.243,0.347
6,0.24718,0.0179935,0.228,0.238,0.241,0.246,0.316
7,0.25413,0.0312364,0.228,0.238,0.242,0.249,0.401
8,0.25187,0.0314832,0.232,0.239,0.244,0.249,0.489
9,0.26214,0.0211915,0.242,0.25,0.254,0.263,0.35
