# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,0.19563,0.155333,0.119,0.129,0.133,0.155,1.129,QEngineCPU
4,0.1308,0.00437493,0.123,0.128,0.13,0.132,0.155,QEngineCPU
5,0.13348,0.00963585,0.12,0.128,0.132,0.134,0.195,QEngineCPU
6,0.13204,0.00514572,0.122,0.129,0.131,0.134,0.153,QEngineCPU
7,0.13535,0.010805,0.124,0.13,0.132,0.134,0.185,QEngineCPU
8,0.13751,0.0128409,0.124,0.131,0.134,0.138,0.197,QEngineCPU
9,0.13662,0.0115306,0.12,0.131,0.134,0.137,0.192,QEngineCPU
10,0.15118,0.00836466,0.133,0.146,0.151,0.155,0.183,QEngineCPU
11,0.17062,0.00551322,0.159,0.167,0.17,0.173,0.196,QEngineCPU
12,0.18665,0.0097482,0.172,0.181,0.184,0.19,0.24,QEngineCPU
13,0.23577,0.00860216,0.213,0.23,0.236,0.24,0.259,QEngineCPU
14,0.35266,0.0344918,0.283,0.324,0.347,0.377,0.47,QEngineCPU
15,0.50562,0.0683309,0.44,0.474,0.499,0.522,1.077,QEngineCPU
16,0.78582,0.0499382,0.673,0.764,0.783,0.803,1.03,QEngineCPU
17,1.28744,0.0263417,1.241,1.267,1.281,1.304,1.388,QEngineCPU
18,2.41523,0.074168,2.277,2.366,2.416,2.431,2.659,QEngineCPU
19,5.2269,0.153191,4.757,5.167,5.206,5.271,5.795,QEngineCPU
20,12.4165,0.598508,10.976,12.069,12.219,12.784,13.655,QEngineCPU
21,25.1425,1.69423,22.276,23.976,25.216,26.812,27.384,QEngineCPU
22,50.1565,3.2704,44.259,47.351,51.51,52.82,53.79,QEngineCPU
23,100.953,5.02404,87.431,100.128,102.589,104.481,105.354,QEngineCPU
24,203.034,6.90968,176.567,201.389,205.706,207.403,209.317,QEngineCPU
3,0.05371,0.00499859,0.048,0.051,0.054,0.055,0.097,QEngineOCL
4,0.05381,0.00361855,0.048,0.051,0.054,0.055,0.077,QEngineOCL
5,0.05451,0.00295464,0.048,0.054,0.055,0.055,0.074,QEngineOCL
6,0.05528,0.00255374,0.049,0.055,0.055,0.056,0.073,QEngineOCL
7,0.05773,0.0214032,0.05,0.055,0.055,0.056,0.27,QEngineOCL
8,0.05895,0.0211648,0.055,0.056,0.056,0.058,0.269,QEngineOCL
9,0.05919,0.0217461,0.054,0.056,0.057,0.057,0.275,QEngineOCL
10,0.06751,0.022003,0.059,0.063,0.066,0.067,0.285,QEngineOCL
11,0.07134,0.0216357,0.067,0.068,0.069,0.07,0.286,QEngineOCL
12,0.09166,0.0208193,0.084,0.089,0.09,0.091,0.298,QEngineOCL
13,0.12568,0.0197989,0.121,0.123,0.123,0.124,0.322,QEngineOCL
14,0.19275,0.0173795,0.181,0.187,0.191,0.195,0.36,QEngineOCL
15,0.32148,0.0143962,0.313,0.316,0.322,0.323,0.459,QEngineOCL
16,0.58745,0.00537099,0.58,0.586,0.587,0.589,0.634,QEngineOCL
17,1.14845,0.00608831,1.138,1.145,1.148,1.15,1.189,QEngineOCL
18,2.27386,0.00970775,2.252,2.267,2.273,2.28,2.321,QEngineOCL
19,4.51272,0.0206078,4.473,4.497,4.511,4.53,4.561,QEngineOCL
20,9.00281,0.0378266,8.927,8.97,9.007,9.026,9.085,QEngineOCL
21,17.9408,0.122069,17.632,17.871,17.959,18.03,18.125,QEngineOCL
22,35.5591,0.171544,35.051,35.464,35.524,35.66,36.001,QEngineOCL
23,70.5518,0.329235,69.615,70.314,70.543,70.858,71.21,QEngineOCL
24,141.882,0.751826,139.87,141.363,141.93,142.454,143.313,QEngineOCL
3,0.02072,0.032121,0.013,0.014,0.016,0.018,0.336,QUnit (CPU)
