# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,0.03794,0.070379,0.03,0.03,0.031,0.031,0.738,QEngineOCL
4,0.03784,0.070024,0.03,0.03,0.03,0.031,0.734,QEngineOCL
5,0.03812,0.0702772,0.03,0.03,0.031,0.031,0.737,QEngineOCL
6,0.03797,0.0710805,0.03,0.03,0.031,0.031,0.745,QEngineOCL
7,0.03828,0.0710852,0.03,0.03,0.031,0.031,0.745,QEngineOCL
8,0.04815,0.170762,0.03,0.03,0.031,0.031,1.747,QEngineOCL
9,0.05172,0.208186,0.029,0.03,0.031,0.031,2.123,QEngineOCL
10,0.03988,0.0908873,0.029,0.03,0.031,0.031,0.944,QEngineOCL
11,0.03988,0.0902053,0.03,0.03,0.03,0.031,0.937,QEngineOCL
12,0.03998,0.090476,0.029,0.03,0.031,0.031,0.94,QEngineOCL
13,0.04009,0.0907892,0.03,0.03,0.031,0.031,0.943,QEngineOCL
14,0.0408,0.0915167,0.031,0.031,0.031,0.032,0.951,QEngineOCL
15,0.04225,0.0931619,0.032,0.032,0.033,0.033,0.969,QEngineOCL
16,0.04583,0.0951295,0.035,0.036,0.036,0.036,0.992,QEngineOCL
17,0.05168,0.100164,0.04,0.041,0.041,0.041,1.048,QEngineOCL
18,0.06343,0.109829,0.051,0.052,0.052,0.052,1.156,QEngineOCL
19,0.08791,0.129864,0.074,0.074,0.075,0.075,1.38,QEngineOCL
20,0.19026,0.16756,0.171,0.172,0.173,0.173,1.857,QEngineOCL
21,0.33962,0.246642,0.312,0.313,0.314,0.315,2.793,QEngineOCL
22,0.63997,0.408059,0.595,0.598,0.599,0.6,4.7,QEngineOCL
23,1.24186,0.711113,1.164,1.167,1.169,1.171,8.317,QEngineOCL
24,2.4453,1.33116,2.297,2.309,2.311,2.313,15.69,QEngineOCL
25,4.84683,2.54019,4.532,4.586,4.59,4.594,30.121,QEngineOCL
26,9.65095,4.97517,9.102,9.142,9.149,9.156,59.153,QEngineOCL
27,19.2574,9.82613,18.213,18.257,18.265,18.277,117.026,QEngineOCL
28,38.469,19.5247,36.425,36.49,36.503,36.529,232.737,QEngineOCL
3,0.05385,0.226961,0.03,0.03,0.031,0.031,2.312,QUnit (OCL)
4,0.05572,0.247268,0.03,0.031,0.031,0.031,2.516,QUnit (OCL)
5,0.05363,0.224974,0.03,0.03,0.031,0.031,2.292,QUnit (OCL)
6,0.05238,0.209736,0.03,0.031,0.031,0.031,2.139,QUnit (OCL)
7,0.05371,0.228877,0.03,0.03,0.031,0.031,2.331,QUnit (OCL)
8,0.05428,0.228329,0.03,0.031,0.031,0.031,2.326,QUnit (OCL)
9,0.05212,0.210343,0.03,0.031,0.031,0.031,2.145,QUnit (OCL)
10,0.05406,0.227451,0.03,0.031,0.031,0.031,2.317,QUnit (OCL)
11,0.05433,0.233237,0.03,0.031,0.031,0.031,2.375,QUnit (OCL)
12,0.052,0.208859,0.03,0.03,0.031,0.031,2.13,QUnit (OCL)
13,0.05437,0.227737,0.03,0.031,0.031,0.031,2.32,QUnit (OCL)
14,0.05432,0.226828,0.03,0.031,0.031,0.031,2.311,QUnit (OCL)
15,0.05573,0.246363,0.03,0.031,0.031,0.031,2.507,QUnit (OCL)
16,0.05464,0.230017,0.03,0.031,0.031,0.031,2.343,QUnit (OCL)
17,0.05449,0.233839,0.03,0.03,0.031,0.031,2.381,QUnit (OCL)
18,0.05247,0.210925,0.03,0.031,0.031,0.031,2.151,QUnit (OCL)
19,0.05454,0.234127,0.03,0.03,0.031,0.031,2.384,QUnit (OCL)
20,0.05465,0.232113,0.03,0.031,0.031,0.031,2.364,QUnit (OCL)
21,0.0544,0.229739,0.03,0.031,0.031,0.031,2.34,QUnit (OCL)
22,0.05584,0.247966,0.03,0.03,0.031,0.031,2.523,QUnit (OCL)
23,0.054,0.229659,0.03,0.03,0.031,0.031,2.339,QUnit (OCL)
24,0.05415,0.229847,0.03,0.03,0.031,0.031,2.341,QUnit (OCL)
25,0.05447,0.232738,0.03,0.03,0.031,0.031,2.37,QUnit (OCL)
26,0.05443,0.232435,0.03,0.03,0.031,0.031,2.367,QUnit (OCL)
27,0.05409,0.229348,0.03,0.03,0.031,0.031,2.336,QUnit (OCL)
28,0.05647,0.248237,0.03,0.031,0.031,0.031,2.526,QUnit (OCL)
3,0.24015,0.0365191,0.198,0.208,0.211,0.278,0.332,QEngineCPU
4,0.39988,0.0486776,0.332,0.355,0.417,0.421,0.689,QEngineCPU
5,0.68776,0.0403706,0.627,0.647,0.696,0.715,0.818,QEngineCPU
6,0.68921,0.0446037,0.632,0.653,0.685,0.71,0.871,QEngineCPU
7,0.71905,0.100464,0.626,0.651,0.702,0.718,1.183,QEngineCPU
8,0.72158,0.0598896,0.623,0.706,0.711,0.722,1.047,QEngineCPU
9,0.72747,0.11583,0.631,0.681,0.686,0.708,1.184,QEngineCPU
10,0.73753,0.0655738,0.637,0.693,0.728,0.755,1.011,QEngineCPU
11,0.78089,0.114915,0.63,0.748,0.761,0.786,1.32,QEngineCPU
12,0.79033,0.0785766,0.637,0.745,0.798,0.827,1.017,QEngineCPU
13,0.80706,0.10233,0.646,0.715,0.781,0.907,1.119,QEngineCPU
14,1.00409,0.229733,0.668,0.765,1.129,1.165,1.961,QEngineCPU
15,1.384,0.383544,0.726,1.005,1.558,1.616,3.065,QEngineCPU
16,2.20656,0.798011,0.706,2.068,2.505,2.681,5.346,QEngineCPU
17,3.82376,1.92805,0.811,1.603,4.583,4.999,13.532,QEngineCPU
18,2.22601,3.6977,0.782,0.935,1.123,1.254,28.564,QEngineCPU
19,2.91868,4.78656,0.872,1.044,1.278,1.486,24.992,QEngineCPU
20,11.924,20.2134,0.851,1.169,1.608,17.656,156.801,QEngineCPU
21,43.4357,45.5329,0.959,8.523,37.422,68.645,375.75,QEngineCPU
22,824.37,46.5702,702.752,792.459,822.391,859.039,923.354,QEngineCPU
23,1723.21,48.8965,1513.44,1691.25,1726.8,1757.34,1822.07,QEngineCPU
24,3521.98,77.5809,3202.55,3477.83,3538.88,3570.55,3686.56,QEngineCPU
25,7129.51,96.4108,6911.59,7068.47,7117.57,7195.49,7404.97,QEngineCPU
26,14377.2,157.529,13494.1,14289,14359.4,14474.1,14709.6,QEngineCPU
27,28781.6,463.299,25148.4,28609.7,28785.7,28972.5,29709,QEngineCPU
28,57187.4,2256.36,53746.8,55902.3,56849.6,57727.8,66936.9,QEngineCPU
