Random Seed: 1527039156
############ QEngine -> CPU ############
>>> 'test_cnot': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.21028,0.124166,0.11,0.121,0.131,0.34,0.685
4, 0.12458,0.00712907,0.112,0.12,0.123,0.128,0.147
5, 0.1449,0.0113688,0.115,0.137,0.147,0.152,0.173
6, 0.12626,0.010966,0.112,0.119,0.122,0.129,0.175
7, 0.12595,0.00617313,0.116,0.122,0.125,0.128,0.149
8, 0.13105,0.0117033,0.117,0.124,0.127,0.131,0.182
9, 0.13932,0.00812266,0.122,0.134,0.138,0.144,0.161
10, 0.17522,0.0744983,0.141,0.163,0.168,0.172,0.91
11, 0.20203,0.0131099,0.183,0.195,0.2,0.207,0.296
12, 0.28502,0.0317547,0.212,0.268,0.28,0.297,0.451
13, 0.42111,0.0640957,0.317,0.385,0.402,0.42,0.685
14, 0.8,0.0701143,0.684,0.722,0.801,0.854,0.97
15, 1.28206,0.134085,0.844,1.209,1.272,1.393,1.597
16, 2.29944,0.246703,1.575,2.054,2.399,2.48,2.703
17, 4.37024,0.435363,2.904,3.883,4.538,4.68,5.079
18, 9.40716,0.575359,7.88,8.977,9.548,9.801,11.443
19, 19.2966,1.02822,16.219,18.657,19.523,20.057,20.811
20, 40.277,2.72711,32.879,38.14,40.911,42.322,46.726
21, 86.4827,1.46512,82.524,85.735,86.921,87.673,88.36
22, 182.058,1.88088,173.001,181.258,182.504,183.145,185.754
23, 361.375,3.93253,347.855,358.27,360.368,364.926,368.149
24, 741.186,5.1799,732.979,736.767,738.11,745.845,749.985

>>> 'test_x': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 0.13411,0.0416581,0.118,0.123,0.125,0.128,0.474
4, 0.12367,0.00488478,0.112,0.121,0.123,0.126,0.144
5, 0.1308,0.0108858,0.116,0.123,0.128,0.134,0.173
6, 0.13669,0.0177046,0.116,0.124,0.127,0.156,0.187
7, 0.12729,0.0155057,0.118,0.124,0.125,0.128,0.269
8, 0.13068,0.00780625,0.113,0.126,0.129,0.134,0.155
9, 0.13301,0.0135229,0.115,0.125,0.128,0.134,0.189
10, 0.14404,0.00777936,0.131,0.138,0.142,0.149,0.167
11, 0.1662,0.00556956,0.152,0.163,0.166,0.17,0.188
12, 0.20326,0.0198366,0.189,0.197,0.201,0.205,0.385
13, 0.29271,0.0494913,0.241,0.265,0.273,0.308,0.578
14, 0.44712,0.0827215,0.402,0.423,0.436,0.448,1.159
15, 0.61482,0.149484,0.531,0.563,0.581,0.623,1.8
16, 1.06995,0.291836,0.918,1.003,1.024,1.064,3.612
17, 1.94767,0.546618,1.677,1.792,1.909,1.951,6.797
18, 4.53097,1.15761,3.792,4.326,4.458,4.513,15.104
19, 10.0737,2.27956,8.7,9.544,9.688,10.3,30.788
20, 44.7455,17.9102,17.516,20.64,52.726,60.464,62.047
21, 121.994,5.0203,103.584,118.494,123.088,125.694,129.79
22, 252.47,9.1412,226.667,249.874,252.825,256.092,322.193
23, 544.804,88.4364,385.659,466.513,494.118,645.588,649.307
24, 1054.75,126.557,728.082,987.247,1017,1032.79,1306.7

TO DISCARD:
>>> 'test_grover': 
100 iterations
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3, 13.4716,0.60365,12.343,13.129,13.441,13.763,15.424
4, 19.6142,0.604191,18.509,19.247,19.592,19.97,21.535
5, 22.7476,0.741424,21.22,22.306,22.693,23.114,25.282
6, 26.7183,0.890625,24.809,26.098,26.578,27.182,29.693
7, 30.8365,1.73361,28.103,29.691,30.397,31.579,36.998
8, 36.026,1.97362,32.899,34.428,35.636,37.233,43.004
9, 45.3925,1.61168,42.541,44.069,45.046,46.782,49.003
10, 59.9018,4.55898,52.745,57.327,58.424,61.312,75.04
11, 89.217,7.5021,74.075,83.17,88.58,94.681,106.287
12, 136.851,7.04217,123.132,130.873,136.688,142.036,153.873
13, 211.606,8.92866,189.921,207.011,210.285,214.504,241.905
14, 373.699,23.4982,330.942,366.397,371.22,374.933,433.727
15, 756.154,47.8428,634.895,743.869,753.547,762.105,902.795
16, 1660.83,208.003,1362.05,1599.38,1621.39,1651.4,2373.32
17, 3571.76,396.598,2817.34,3361.37,3452.72,3751.31,4647.17
18, 7589.83,932.414,5920.01,7083.82,7319.01,8042.68,9740.39
19, 15796.8,1584.61,12881.4,14857.5,15480.8,16176.9,21396.2
20, 33040.2,2890.2,27938.8,31326.6,32426.3,33462.2,40724.6
