############ QEngine -> OpenCL ############,,,,,,,
Default platform: NVIDIA CUDA,,,,,,,
Default device: Tesla V100-SXM2-16GB,,,,,,,
OpenCL device #0: Tesla V100-SXM2-16GB,,,,,,,
>>> 'test_qft_h': ,,,,,,,
100 iterations,,,,,,,
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3,0.83226,0.0391381,0.797,0.805,0.837,0.847,1.149
4,1.43988,0.0328333,1.396,1.417,1.438,1.458,1.658
5,1.31143,0.0337572,1.275,1.288,1.307,1.326,1.567
6,1.75635,0.0354929,1.715,1.736,1.753,1.765,2.001
7,2.31364,0.0373311,2.27,2.299,2.308,2.319,2.596
8,3.01167,0.0356587,2.956,2.996,3.008,3.019,3.298
9,3.75863,0.0321511,3.71,3.744,3.753,3.766,4.03
10,4.6067,0.0552521,4.556,4.585,4.598,4.612,5.082
11,5.51884,0.0518671,5.471,5.499,5.511,5.527,5.986
12,6.85054,0.0750532,6.774,6.82,6.835,6.85,7.281
13,7.72925,0.0518028,7.664,7.709,7.722,7.734,8.147
14,9.2809,0.0512263,9.208,9.255,9.275,9.296,9.681
15,10.7093,0.084082,10.637,10.671,10.694,10.718,11.182
16,14.5023,0.0847804,14.402,14.459,14.489,14.531,15.056
17,17.1847,0.550985,16.829,16.924,16.991,17.088,19.949
18,24.8938,0.193686,24.582,24.762,24.887,24.961,25.886
19,40.8756,0.261523,40.319,40.715,40.849,41.058,42.06
20,103.106,0.527181,102.061,102.653,103.147,103.485,105.631
21,227.39,1.15976,225.387,226.425,227.314,228.235,233.666
22,475.728,1.86447,471.641,474.299,475.747,477.131,480.5
23,1027.38,4.05795,1021.21,1023.33,1027.21,1030.6,1040.93
24,2204.49,7.02299,2189.9,2199.44,2204.86,2210.18,2217.93
25,4743.76,19.6835,4714.87,4725.74,4736.02,4766.64,4772.55
26,10236.5,40.1023,10157.6,10183.7,10260.1,10261.5,10310.1
,,,,,,,
"(Exited during 27 qubit test, concatenated with one run with platforms below.)",,,,,,,
,,,,,,,
Random Seed: 1543370586,,,,,,,
############ QUnit -> QEngine -> OpenCL ############,,,,,,,
Default platform: NVIDIA CUDA,,,,,,,
Default device: Tesla V100-SXM2-16GB,,,,,,,
OpenCL device #0: Tesla V100-SXM2-16GB,,,,,,,
>>> 'test_qft_h': ,,,,,,,
100 iterations,,,,,,,
# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3,1.85003,0.284055,1.151,1.724,1.827,1.938,3.369
4,2.79182,0.527182,1.634,2.534,2.741,2.95,6.341
5,4.08541,1.02739,2.127,3.629,3.839,4.261,8.682
