# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
4,4.14435,0.116418,3.874,4.0655,4.15,4.221,4.453,QEngineOCL
5,5.57009,0.104727,5.265,5.497,5.5735,5.6385,5.841,QEngineOCL
6,9.10769,0.168361,8.665,9.0075,9.1345,9.248,9.469,QEngineOCL
7,13.447,0.276693,12.781,13.2505,13.487,13.6185,14.103,QEngineOCL
8,21.7361,0.706065,20.795,21.1985,21.399,22.3975,23.227,QEngineOCL
9,34.1339,1.03751,32.305,33.2785,33.6625,35.0115,36.295,QEngineOCL
10,53.8602,1.55798,52.047,52.6715,53.1405,55.39,57.231,QEngineOCL
11,83.2362,2.47469,78.817,80.341,84.348,85.2445,87.134,QEngineOCL
12,127.22,4.09509,121.148,123.371,126.046,130.936,134.491,QEngineOCL
13,195.804,5.80473,185.364,189.49,197.124,200.958,205.247,QEngineOCL
14,296.885,9.76746,274.476,287.707,299.557,305.178,316.771,QEngineOCL
15,446.833,12.5494,411.6,436.343,448.904,457.556,466.761,QEngineOCL
16,667.739,11.7308,638.783,661.49,667.351,672.292,706.174,QEngineOCL
17,1172.76,47.5342,1078.96,1131.96,1171.06,1220.01,1245.03,QEngineOCL
18,2547.75,61.0841,2509.31,2518.78,2525.66,2541.89,2777.71,QEngineOCL
19,5396.08,71.6158,5321.49,5341.61,5374.91,5433,5738.42,QEngineOCL
20,14561.2,103.757,14455.1,14488.6,14544.8,14572.3,14908.6,QEngineOCL
4,10.4885,0.432217,9.764,10.15,10.31,10.8875,11.429,QUnit -> QFusion (OCL)
5,15.6967,0.355317,14.228,15.6005,15.762,15.895,16.171,QUnit -> QFusion (OCL)
6,20.7461,0.984753,19.521,20.21,20.3995,20.819,23.549,QUnit -> QFusion (OCL)
7,29.5669,2.2041,26.586,27.522,28.3035,31.872,32.992,QUnit -> QFusion (OCL)
8,41.4853,3.18532,38.341,39.5485,39.9585,41.5945,48.501,QUnit -> QFusion (OCL)
9,59.8208,5.61329,52.661,55.0195,56.424,66.548,68.229,QUnit -> QFusion (OCL)
10,86.3808,7.96103,78.391,80.595,81.81,95.8705,105.55,QUnit -> QFusion (OCL)
11,128.713,13.0759,111.463,116.681,125.68,139.516,159.155,QUnit -> QFusion (OCL)
12,178.794,14.2863,164.932,169.368,171.618,182.502,225.646,QUnit -> QFusion (OCL)
13,257.836,21.5227,239.169,245.222,248.989,260.651,332.774,QUnit -> QFusion (OCL)
14,360.481,17.0815,343.927,350.031,355.705,362.267,451.376,QUnit -> QFusion (OCL)
15,541.759,37.6641,505.339,517.146,524.191,556.726,695.577,QUnit -> QFusion (OCL)
16,823.05,60.6883,760.55,780.56,795.905,851.976,1024.09,QUnit -> QFusion (OCL)
17,1538.41,51.4361,1402.88,1509.66,1541.71,1570.73,1652.44,QUnit -> QFusion (OCL)
18,2598.9,62.1495,2462.83,2546.03,2602.64,2647,2719.2,QUnit -> QFusion (OCL)
19,5510.17,132.795,5361.9,5425.41,5477.01,5520.49,5935.03,QUnit -> QFusion (OCL)
20,14745.1,185.884,14313,14658.1,14818.5,14870.2,15108.5,QUnit -> QFusion (OCL)
