# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,1.97784,1.63807,1.525,1.587,1.697,1.774,13.945,QEngineCPU
4,6.24011,0.210782,5.825,6.089,6.199,6.383,6.832,QEngineCPU
5,13.7923,0.380558,13.074,13.506,13.746,14.011,15.109,QEngineCPU
6,22.6283,0.411039,21.809,22.345,22.592,22.832,23.926,QEngineCPU
7,33.9648,1.1186,32.35,33.359,33.791,34.186,40.648,QEngineCPU
8,55.5927,0.749543,54.393,55.057,55.417,56.001,57.933,QEngineCPU
9,89.7418,0.931186,87.931,89.099,89.616,90.308,93.687,QEngineCPU
10,153.983,1.56118,151.857,153.289,153.761,154.533,165.114,QEngineCPU
11,277.947,1.64393,274.863,276.859,277.807,278.759,285.368,QEngineCPU
12,603.513,6.45944,587.879,598.819,603.454,606.774,623.321,QEngineCPU
13,1259.77,25.6867,1197.4,1244.08,1260.43,1275.6,1311.69,QEngineCPU
14,3684.46,139.126,3347.66,3595.43,3706.91,3800.74,3908.77,QEngineCPU
15,10073,298.474,9398.09,9882.97,10109.5,10270,10615.6,QEngineCPU
16,28431.9,550.563,27097.7,28096.5,28401.4,28806.9,29792.5,QEngineCPU
17,81999.6,1798.14,77919.1,80644.7,82101.2,83138.2,86712.2,QEngineCPU
18,237865,4307.92,228612,234868,237903,241274,246579,QEngineCPU
3,5.37297,0.303533,4.762,5.177,5.338,5.481,6.678,QEngineOCL
4,8.16466,0.356157,7.363,7.916,8.156,8.392,9.152,QEngineOCL
5,11.2012,0.363606,9.863,10.941,11.199,11.43,12.421,QEngineOCL
6,16.6442,0.403692,15.602,16.354,16.641,16.918,17.735,QEngineOCL
7,23.3497,0.4286,22.16,23.03,23.351,23.601,24.551,QEngineOCL
8,35.8196,0.694908,34.021,35.257,35.747,36.328,37.665,QEngineOCL
9,52.1361,0.816921,50.628,51.52,52.061,52.656,54.851,QEngineOCL
10,85.9466,0.970735,83.147,85.269,85.938,86.546,88.834,QEngineOCL
11,131.931,1.17064,126.745,131.531,131.988,132.575,134.33,QEngineOCL
12,206.719,1.23693,204.035,205.757,206.582,207.58,210.489,QEngineOCL
13,346.789,4.94581,337.014,344.338,346.075,348.098,370.994,QEngineOCL
14,693.256,16.9826,639.551,685.573,699.906,705.557,721.259,QEngineOCL
15,1516.34,15.7016,1443.48,1509.69,1517.22,1525.09,1547.6,QEngineOCL
16,3901.26,45.0974,3716.45,3881.08,3910.05,3930.68,3971.09,QEngineOCL
17,9741.14,59.174,9533.73,9706.61,9750.64,9779.9,9899.85,QEngineOCL
18,25814.9,84.4327,25567.1,25770.1,25821.1,25853.2,25983.2,QEngineOCL
3,59.7887,14.0498,49.61,57.428,58.915,59.418,170.944,QEngineOCLMulti
4,94.7755,21.4753,71.503,85.635,91.802,97.338,202.415,QEngineOCLMulti
5,129.581,17.6659,104.982,121.14,128.253,134.107,255.998,QEngineOCLMulti
6,197.172,17.7785,162.958,190.609,192.479,193.451,303.464,QEngineOCLMulti
7,284.538,40.1236,216.739,262.442,266.276,306.602,424.586,QEngineOCLMulti
8,420.07,33.9974,357.633,398.896,402.082,437.81,582.119,QEngineOCLMulti
9,607.742,59.9819,490.176,586.836,591.645,639.198,763.348,QEngineOCLMulti
10,942.133,89.5231,759.161,893.861,929.489,991.555,1276.05,QEngineOCLMulti
11,1369.22,97.3339,1135.75,1311.61,1372.37,1427.79,1652.6,QEngineOCLMulti
12,2091.31,157.108,1767.84,2017.06,2090.11,2197.74,2497.03,QEngineOCLMulti
13,3353.55,197.412,2999,3281.28,3351.85,3473.35,3899.79,QEngineOCLMulti
14,5889.11,447.506,5060.75,5557.2,5829.23,6245.46,6960.56,QEngineOCLMulti
15,11476.2,836.65,9372.09,11047.7,11531.6,12052.6,12974.5,QEngineOCLMulti
16,22568.9,647.178,21364.1,22155.3,22488.2,22941.8,25200.1,QEngineOCLMulti
3,4.42148,3.50269,2.935,3.123,3.233,3.468,19.591,QUnit (CPU)
4,9.90402,0.349737,9.128,9.663,9.82,10.085,11.009,QUnit (CPU)
5,19.8522,0.441068,18.734,19.563,19.833,20.112,21.213,QUnit (CPU)
6,33.1504,0.525115,31.914,32.765,33.156,33.531,34.548,QUnit (CPU)
7,49.7197,0.725777,48.062,49.186,49.629,50.161,51.915,QUnit (CPU)
8,82.0051,1.11044,79.799,81.213,81.917,82.718,84.98,QUnit (CPU)
9,133.3,1.28334,128.659,132.499,133.287,134.226,136.337,QUnit (CPU)
10,224.074,1.72821,220.182,222.932,223.914,225.221,228.476,QUnit (CPU)
11,387.844,10.7291,372.202,377.592,393.809,397.865,402.165,QUnit (CPU)
12,756.921,38.4015,714.249,724.119,729.737,802.425,815.971,QUnit (CPU)
13,1706.91,103.291,1555.75,1613.48,1641.11,1812.42,1853.14,QUnit (CPU)
14,4270.16,281.087,3735.73,4015.57,4256.62,4511.66,4717.45,QUnit (CPU)
15,10889.6,463.092,9887.67,10545.6,10960.1,11208.2,12331.5,QUnit (CPU)
16,30302.1,1094.11,26916,29612.3,30299.6,31174.6,32579.4,QUnit (CPU)
17,92302.8,5239.47,81244.9,88388.6,92193.4,97451.5,99713.3,QUnit (CPU)
3,14.0561,0.530867,12.929,13.67,13.98,14.44,15.458,QUnit (OCL)
4,20.9254,0.602954,19.248,20.559,20.911,21.246,22.332,QUnit (OCL)
5,28.5144,0.676234,26.933,27.998,28.402,28.983,30.041,QUnit (OCL)
6,40.0255,0.848328,38.197,39.537,39.936,40.483,43.18,QUnit (OCL)
7,54.0942,1.47552,52.101,52.968,54.069,54.747,62.74,QUnit (OCL)
8,80.0697,2.20721,74.853,78.555,79.846,81.374,87.324,QUnit (OCL)
9,119.106,8.77133,109.411,113.429,116.635,120.769,150.525,QUnit (OCL)
10,184.865,11.9147,168.633,176.959,181.282,188.987,225.57,QUnit (OCL)
11,278.116,16.3967,260.262,265.128,272.016,288.023,324.111,QUnit (OCL)
12,449.671,20.8126,417.629,434.221,445.712,465.618,510.312,QUnit (OCL)
13,783.168,26.1771,731.373,763.002,782.399,800.768,842.483,QUnit (OCL)
14,1545.34,70.9554,1436.88,1470.74,1553.92,1603.33,1694.08,QUnit (OCL)
15,3390.83,108.89,3198.14,3311.01,3389.47,3480.22,3637.41,QUnit (OCL)
16,8376.24,168.624,7911.39,8239.6,8397.4,8472.29,8845.26,QUnit (OCL)
3,136.334,32.5293,87.574,120.421,134.114,139.178,279.644,QUnit (Multi)
4,210.53,39.3236,137.471,181.956,213.218,225.029,324.996,QUnit (Multi)
5,308.94,51.1115,188.944,281.221,309.753,330.597,458.579,QUnit (Multi)
6,446.195,47.2432,341.773,423.042,443.061,473.081,641.9,QUnit (Multi)
7,594.909,61.2437,447.718,557.898,601.182,636.251,736.253,QUnit (Multi)
8,954.055,316.878,660.698,835.692,898.128,942.982,2989.81,QUnit (Multi)
9,1218.84,88.493,995.533,1165.55,1218.75,1273.67,1479.48,QUnit (Multi)
10,1776.99,126.911,1419.9,1704.37,1773.23,1837.78,2296,QUnit (Multi)
11,2655.71,221.848,2308.62,2550.4,2621.15,2704.78,4078.05,QUnit (Multi)
12,3860.81,200.652,3436.51,3707.9,3836.46,3974.91,4303.65,QUnit (Multi)
13,5970.85,275.739,5293.62,5767.46,5956.67,6169.26,6588.32,QUnit (Multi)
14,8797.78,349.203,8028.94,8546.6,8781.49,8995.4,9978.88,QUnit (Multi)
15,13688.6,601.33,12585.1,13266.7,13610.9,14034.5,15233.2,QUnit (Multi)
