# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,2.57097,0.605889,2.342,2.433,2.497,2.545,8.458,QEngineCPU
4,5.18894,0.261004,4.804,4.943,5.158,5.425,5.812,QEngineCPU
5,8.36261,0.604837,7.463,7.99,8.238,8.477,11.075,QEngineCPU
6,13.9747,0.746009,12.721,13.418,13.84,14.387,16.697,QEngineCPU
7,20.7757,1.01958,18.976,20.248,20.674,21.126,24.512,QEngineCPU
8,36.0403,2.00888,32.303,34.664,35.423,36.765,42.5,QEngineCPU
9,64.0989,2.32632,59.249,62.582,63.639,65.626,72.53,QEngineCPU
10,124.045,6.6971,106.135,118.918,123.325,128.122,144.557,QEngineCPU
11,266.689,15.8287,223.342,262.709,270.128,277.134,299.51,QEngineCPU
12,550.496,18.6575,510.074,537.038,547.635,562.946,598.836,QEngineCPU
13,1246.04,66.1414,1097.5,1209.86,1221.72,1320.93,1349.03,QEngineCPU
14,3108.87,243.294,2689.07,2988.86,3006.78,3429.83,3516,QEngineCPU
15,9541.13,1009.4,7682.66,8445.37,10159.1,10199.5,12654.2,QEngineCPU
16,28673.7,3260.14,23423.6,26104.4,27450.3,31742.5,36320.8,QEngineCPU
17,84949.4,10340.1,66657.4,76869.7,80682.1,96509.7,100155,QEngineCPU
3,4.56299,0.13934,4.29,4.463,4.546,4.628,5.212,QEngineOCL
4,7.49507,0.250303,7.069,7.322,7.46,7.637,8.55,QEngineOCL
5,11.0011,0.214324,10.606,10.867,10.97,11.107,12.101,QEngineOCL
6,17.6824,0.274922,17.061,17.481,17.647,17.865,18.529,QEngineOCL
7,25.2956,0.463691,24.199,25.047,25.227,25.532,27.446,QEngineOCL
8,41.4346,0.748578,39.784,40.713,41.504,41.89,43.708,QEngineOCL
9,65.5188,1.8819,63.713,64.379,64.74,65.538,71.092,QEngineOCL
10,108.895,1.95502,105.287,107.325,109.236,109.912,112.844,QEngineOCL
11,177.267,1.22214,174.911,176.331,176.962,178.01,180.817,QEngineOCL
12,319.223,7.63695,311.422,313.784,314.921,323.046,340.398,QEngineOCL
13,730.072,13.192,684.147,721.458,729.292,737.743,764.656,QEngineOCL
14,1613.04,62.9186,1460.42,1576.18,1614.25,1661.72,1709.09,QEngineOCL
15,4084.65,78.2227,3911.31,4042.21,4082.79,4171.7,4185.02,QEngineOCL
16,11084.1,148.405,10767.6,10959,11077.9,11200.1,11503.8,QEngineOCL
17,30253.9,148.548,29777.9,30163.5,30290.1,30365.4,30439.9,QEngineOCL
3,3.29146,0.150447,3.065,3.181,3.267,3.352,3.858,QUnit (CPU)
4,6.85429,0.440523,6.25,6.58,6.77,7.052,8.859,QUnit (CPU)
5,10.8421,0.448762,10.021,10.601,10.773,10.962,13.138,QUnit (CPU)
6,18.6267,0.86227,17.095,18.119,18.476,18.932,22.073,QUnit (CPU)
7,28.3912,1.14842,26.508,27.628,28.168,28.865,31.851,QUnit (CPU)
8,49.3431,2.39264,45.359,47.531,48.683,50.677,56.584,QUnit (CPU)
9,85.4821,3.36573,80.183,83.108,85.116,86.581,100.48,QUnit (CPU)
10,165.75,8.57466,152.811,159.793,162.992,169.887,192.992,QUnit (CPU)
11,359.446,9.08995,338.704,353.263,359.433,365.193,388.488,QUnit (CPU)
12,716.532,17.1668,684.678,702.938,716.451,728.958,757.226,QUnit (CPU)
13,1719.23,12.4455,1683.17,1711.77,1719.02,1729.11,1744.47,QUnit (CPU)
14,4047.89,32.6925,3971.04,4019.21,4046.13,4073.08,4136.43,QUnit (CPU)
15,11309.7,91.7321,11064.4,11236.6,11298.6,11366.7,11544.8,QUnit (CPU)
16,35673.5,1920.78,33589.3,34260.6,34607.7,37235.8,40615.6,QUnit (CPU)
17,106041,3002.79,100471,103838,106103,108419,112034,QUnit (CPU)
3,7.56301,0.279841,7.199,7.385,7.503,7.661,9.288,QUnit (OCL)
4,12.0175,0.325142,11.549,11.79,11.979,12.112,13.483,QUnit (OCL)
5,17.1155,0.391604,16.513,16.873,17.04,17.246,19.414,QUnit (OCL)
6,26.3681,0.382659,25.747,26.084,26.345,26.631,27.392,QUnit (OCL)
7,37.6992,0.546895,36.767,37.28,37.605,37.969,39.141,QUnit (OCL)
8,59.6482,1.20676,57.828,58.676,59.258,60.741,63.493,QUnit (OCL)
9,92.4509,2.63505,86.994,90.055,92.049,94.56,98.62,QUnit (OCL)
10,152.236,2.98685,144.192,150.046,151.573,153.961,158.628,QUnit (OCL)
11,247.173,4.04429,236.164,243.935,247.033,249.337,256.823,QUnit (OCL)
12,448.498,4.18997,435.32,445.57,448.61,450.845,462.456,QUnit (OCL)
13,981.2,7.6155,962.481,976.861,980.534,985.668,1000.29,QUnit (OCL)
14,2146.7,9.45759,2121.4,2140.79,2146.92,2152.7,2169.95,QUnit (OCL)
15,5329.02,24.5911,5266.24,5310.47,5330.49,5345.4,5394.12,QUnit (OCL)
16,14257.7,44.942,14112,14228.8,14266.6,14284.1,14339,QUnit (OCL)
17,38851.7,130.486,38351.8,38827.2,38863.4,38917.8,39061.1,QUnit (OCL)
