# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,5.47295,0.79357,4.123,5.161,5.296,5.664,9.494,QEngineOCL
4,8.35475,0.360314,7.642,8.159,8.209,8.706,9.396,QEngineOCL
5,11.299,0.643745,9.574,10.957,11.314,11.78,12.515,QEngineOCL
6,17.5296,1.05347,14.98,16.868,17.41,18.378,20.358,QEngineOCL
7,25.3493,2.48104,17.54,23.603,25.446,26.839,31.542,QEngineOCL
8,40.8529,6.78424,32.591,33.455,43.736,46.995,50.479,QEngineOCL
9,72.4722,1.03093,63.745,72.38,72.793,72.857,73.787,QEngineOCL
10,109.591,0.169988,109.404,109.526,109.564,109.614,111.007,QEngineOCL
11,183.716,13.6815,157.008,187.784,190.412,191.356,194.097,QEngineOCL
12,248.824,0.807647,248.117,248.323,248.494,248.91,252.401,QEngineOCL
13,364.743,1.58361,363.761,364,364.255,364.571,371.74,QEngineOCL
14,537.461,1.90389,535.589,536.414,536.788,537.557,546.154,QEngineOCL
15,786.628,1.53612,784.42,785.449,786.387,787.066,793.565,QEngineOCL
16,1200.15,2.83845,1197.37,1198.52,1199.07,1201.02,1213.73,QEngineOCL
3,17.6408,0.631143,15.888,17.238,17.559,18.081,19.133,QUnit (OCL)
4,26.9003,0.879436,24.956,26.267,26.875,27.554,28.862,QUnit (OCL)
5,36.3979,1.08829,33.385,35.693,36.424,37.1,39.19,QUnit (OCL)
6,49.3527,1.32931,46.53,48.219,49.408,50.252,53.083,QUnit (OCL)
7,63.861,1.76406,60.821,62.601,63.716,64.579,70.212,QUnit (OCL)
8,87.3584,3.85559,78.086,84.472,87.586,90.356,95.06,QUnit (OCL)
9,123.806,3.81009,109.892,123.215,124.682,126.082,128.774,QUnit (OCL)
10,195.534,4.3172,175.731,194.613,196.511,198.291,202.041,QUnit (OCL)
11,264.382,7.65972,233.839,264.336,266.585,268.615,271.948,QUnit (OCL)
12,362.487,15.4719,321.275,358.86,369.631,371.942,375.858,QUnit (OCL)
13,473.067,22.263,449.533,453.167,470.74,476.213,522.633,QUnit (OCL)
14,657.166,20.5819,636.037,638.681,648.924,671.941,744.054,QUnit (OCL)
15,931.707,23.0133,843.035,914.239,916.589,956.82,969.195,QUnit (OCL)
16,1413.25,40.6493,1269.44,1368.75,1443.21,1446.98,1464.09,QUnit (OCL)
3,1.8495,0.144217,1.589,1.685,1.902,1.951,2.11,QEngineCPU
4,10.0869,0.264071,9.536,9.89,10.134,10.236,10.849,QEngineCPU
5,24.5865,0.709684,23.306,24.193,24.441,24.868,26.741,QEngineCPU
6,65.6597,1.50293,63.077,64.399,65.452,66.661,70.099,QEngineCPU
7,97.5796,1.81918,94.952,96.077,97.452,98.504,103.67,QEngineCPU
8,158.406,2.21755,154.357,156.751,158.053,159.697,164.453,QEngineCPU
9,244.427,2.60662,238.284,242.481,244.586,246.025,250.041,QEngineCPU
10,423.883,3.74559,413.659,421.216,424.307,426.392,432.852,QEngineCPU
11,643.19,5.30991,632.983,639.493,641.783,645.707,656.566,QEngineCPU
12,1120.31,15.956,1089.29,1107.31,1120.24,1127.88,1159.35,QEngineCPU
13,2233.42,81.7465,2084.69,2173.18,2229.21,2291.28,2429.35,QEngineCPU
14,5171.63,399.346,3964.52,4944.73,5142.37,5459.71,6016.9,QEngineCPU
15,14153.4,1237.65,10647.9,13162.8,14047.5,15032.8,16874.8,QEngineCPU
