"# of Qubits", "Average Time (ms)", "Sample Std. Deviation (ms)", "Fastest (ms)", "1st Quartile (ms)", "Median (ms)", "3rd Quartile (ms)", "Slowest (ms)","Type"
3,0.00034,0.000473709,0,0,0,0.001,0.001,QEngineCPU
4,0.00032,0.000466476,0,0,0,0.001,0.001,QEngineCPU
5,0.00034,0.000473709,0,0,0,0.001,0.001,QEngineCPU
6,0.00035,0.00047697,0,0,0,0.001,0.001,QEngineCPU
7,0.00041,0.000491833,0,0,0,0.001,0.001,QEngineCPU
8,0.00052,0.0004996,0,0,0.001,0.001,0.001,QEngineCPU
9,0.00067,0.000470213,0,0,0.001,0.001,0.001,QEngineCPU
10,0.00101,9.94987E-05,0.001,0.001,0.001,0.001,0.002,QEngineCPU
11,0.0018,0.0004,0.001,0.002,0.002,0.002,0.002,QEngineCPU
12,0.00411,0.00031289,0.004,0.004,0.004,0.004,0.005,QEngineCPU
13,0.00809,0.000801187,0.008,0.008,0.008,0.008,0.016,QEngineCPU
14,0.01705,0.000217945,0.017,0.017,0.017,0.017,0.018,QEngineCPU
15,0.04094,0.000690217,0.04,0.041,0.041,0.041,0.047,QEngineCPU
16,0.08135,0.00068374,0.081,0.081,0.081,0.082,0.085,QEngineCPU
17,0.16215,0.000726292,0.161,0.162,0.162,0.162,0.166,QEngineCPU
18,0.32429,0.000711266,0.323,0.324,0.324,0.324,0.327,QEngineCPU
19,0.87493,0.00517736,0.856,0.871,0.874,0.878,0.89,QEngineCPU
20,3.28715,0.0349237,2.95,3.287,3.29,3.293,3.32,QEngineCPU
21,6.64197,0.0529059,6.387,6.624,6.631,6.648,6.935,QEngineCPU
22,13.3377,0.0445366,13.253,13.323,13.329,13.338,13.63,QEngineCPU
23,26.6852,0.12955,26.558,26.642,26.652,26.668,27.648,QEngineCPU
24,53.6149,0.109288,53.236,53.568,53.582,53.602,54.055,QEngineCPU
3,0.52772,1.05923,0.353,0.378,0.38,0.382,9.487,QEngineOCL
