>>>Random Permutation Basis Eigenstate Initialization:
Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
4, 1, 0.00335,0.00200686,0.003,0.003,0.003,0.003,0.023
5, 1, 0.00403,0.000298496,0.003,0.004,0.004,0.004,0.005
6, 1, 0.00506,0.000310484,0.004,0.005,0.005,0.005,0.006
7, 1, 0.00616,0.000417612,0.005,0.006,0.006,0.006,0.007
8, 1, 0.00745,0.000497494,0.007,0.007,0.007,0.008,0.008
9, 1, 0.00881,0.000417013,0.008,0.009,0.009,0.009,0.01
10, 1, 0.01036,0.000538888,0.009,0.01,0.01,0.011,0.011
11, 1, 0.0121,0.00148661,0.011,0.012,0.012,0.012,0.026
12, 1, 0.01375,0.000572276,0.012,0.013,0.014,0.014,0.016
13, 1, 0.01561,0.000545803,0.014,0.015,0.016,0.016,0.016
14, 1, 0.01777,0.0011212,0.016,0.017,0.018,0.018,0.027
15, 1, 0.02003,0.00181909,0.018,0.02,0.02,0.02,0.037
16, 1, 0.02213,0.00071631,0.02,0.022,0.022,0.023,0.023
17, 1, 0.02461,0.00123203,0.023,0.024,0.025,0.025,0.034
18, 1, 0.02698,0.000761315,0.025,0.027,0.027,0.027,0.029
19, 1, 0.02969,0.00122225,0.027,0.029,0.03,0.03,0.038
20, 1, 0.0326,0.00132665,0.029,0.032,0.033,0.033,0.042
21, 1, 0.03548,0.0016216,0.033,0.035,0.035,0.036,0.048
22, 1, 0.03862,0.00144069,0.036,0.038,0.039,0.039,0.049
23, 1, 0.04161,0.00132586,0.039,0.041,0.042,0.042,0.049
24, 1, 0.04464,0.00143192,0.04,0.044,0.045,0.045,0.053
25, 1, 0.04823,0.00163006,0.044,0.047,0.048,0.049,0.056
26, 1, 0.05099,0.00155881,0.048,0.05,0.051,0.052,0.059
27, 1, 0.05447,0.00174617,0.05,0.054,0.054,0.055,0.064
>>>Random Permutation Basis w/ Random Hadamard Initialization:

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
4, 1, 0.45454,0.320257,0.003,0.2185,0.4785,0.722,1.16
5, 1, 0.7465,0.386695,0.005,0.4455,0.7625,1.0425,1.467
6, 1, 0.91308,0.431377,0.006,0.6355,0.892,1.198,1.933
7, 1, 1.0822,0.498601,0.007,0.757,1.088,1.3635,2.163
8, 1, 1.39784,0.575746,0.216,1.0235,1.4175,1.7075,2.854
9, 1, 1.72061,0.651631,0.408,1.2745,1.7305,2.208,3.23
10, 1, 2.18431,0.770612,0.308,1.66,2.182,2.7495,3.826
11, 1, 3.52759,2.22035,0.012,1.958,2.5705,5.987,8.364
12, 1, 5.04685,2.75617,0.947,2.073,6.0455,7.1095,10.635
13, 1, 7.06142,2.81043,1.313,5.835,7.328,9.0095,13.05
14, 1, 8.46207,3.06158,1.729,6.618,8.92,10.3775,15.752
15, 1, 10.0507,3.92938,0.795,7.2515,9.8065,12.911,19.226
16, 1, 12.2958,4.37698,1.054,9.1555,12.0275,15.3825,23.219
17, 1, 15.1257,4.95172,2.477,12.366,14.871,18.493,28.254
18, 1, 18.3325,5.53928,2.067,14.2955,18.177,21.8565,31.717
19, 1, 21.2909,8.34842,5.79,14.562,19.7395,28.213,40.379
20, 1, 26.6112,10.354,6.276,18.7935,25.9345,33.539,54.034
21, 1, 36.7313,17.9397,6.144,23.3795,30.9565,49.2635,77.497
22, 1, 52.2298,27.5561,11.32,32.052,46.7775,64.665,123.436
23, 1, 94.7433,58.313,9.393,50.3455,75.4845,122.032,228.353
24, 1, 171.462,116.147,9.642,84.5345,164.922,246.472,418.799
25, 1, 295.744,218.301,14.941,118.785,216.311,398.745,789.318
26, 1, 705.736,509.635,21.401,301.51,651.208,1191.2,1642.94
27, 1, 1367.21,919.711,14.248,663.703,1183.19,2091.82,3236.23
>>>Random Separable Bits:

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
4, 1, 0.64917,0.0231193,0.594,0.649,0.655,0.663,0.697
5, 1, 0.95423,0.0126664,0.936,0.946,0.952,0.9585,1.003
6, 1, 1.2602,0.0511537,1.17,1.2015,1.2705,1.3005,1.358
7, 1, 1.70908,0.0631558,1.441,1.715,1.727,1.745,1.795
8, 1, 2.26075,0.0191078,2.225,2.2455,2.256,2.2735,2.32
9, 1, 2.53477,0.0587338,2.335,2.539,2.5485,2.559,2.608
10, 1, 3.0189,0.0413288,2.878,2.9995,3.01,3.0325,3.141
11, 1, 7.1252,0.229703,6.541,7.0685,7.147,7.316,7.41
12, 1, 10.3864,0.0714845,10.236,10.3405,10.375,10.424,10.686
13, 1, 13.8583,0.0619236,13.63,13.819,13.8525,13.8975,14.045
14, 1, 17.5307,0.458304,16.966,17.198,17.255,18.1095,18.294
15, 1, 22.0189,0.285881,19.284,21.9895,22.042,22.0915,22.317
16, 1, 26.4447,0.0978104,26.155,26.3925,26.4445,26.4975,26.787
17, 1, 32.1584,0.232923,31.757,32.019,32.0895,32.2095,32.77
18, 1, 40.1862,0.396938,37.581,40.0665,40.135,40.239,41.356
19, 1, 49.3388,2.95849,44.859,47.8885,48.099,49.582,58.451
20, 1, 64.0436,2.78855,59.961,62.348,62.545,67.413,70.356
21, 1, 100.078,4.72053,92.412,96.886,100.66,105.034,107.047
22, 1, 165.961,6.97464,98.714,166.367,166.559,166.831,176.42
23, 1, 323.576,1.23576,319.266,323.265,323.698,324.021,326.079
