>>>Random Permutation Basis Eigenstate Initialization:
Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
4, 1, 0.00713,0.00227444,0.006,0.007,0.007,0.007,0.029
5, 1, 0.00855,0.000606217,0.007,0.008,0.009,0.009,0.01
6, 1, 0.01058,0.00178426,0.009,0.01,0.01,0.011,0.027
7, 1, 0.01267,0.000883799,0.011,0.012,0.013,0.013,0.015
8, 1, 0.01521,0.00194574,0.012,0.014,0.015,0.016,0.03
9, 1, 0.01791,0.00119243,0.015,0.017,0.018,0.019,0.022
10, 1, 0.0213,0.00155885,0.018,0.02,0.021,0.022,0.027
11, 1, 0.02489,0.00204399,0.022,0.023,0.025,0.026,0.033
12, 1, 0.02804,0.0015995,0.024,0.027,0.028,0.029,0.033
13, 1, 0.03204,0.00294591,0.027,0.03,0.032,0.033,0.047
14, 1, 0.03549,0.00371078,0.03,0.034,0.035,0.036,0.057
15, 1, 0.04056,0.00361751,0.033,0.039,0.04,0.043,0.064
16, 1, 0.04385,0.00301786,0.039,0.042,0.043,0.045,0.064
17, 1, 0.04949,0.00351993,0.043,0.047,0.049,0.0515,0.069
18, 1, 0.0544,0.00330757,0.045,0.052,0.054,0.057,0.062
19, 1, 0.0603,0.00382492,0.052,0.0575,0.0605,0.062,0.08
20, 1, 0.06569,0.00377543,0.058,0.063,0.066,0.068,0.078
21, 1, 0.07413,0.00662066,0.065,0.07,0.0735,0.076,0.107
22, 1, 0.07856,0.00809237,0.067,0.074,0.078,0.081,0.139
23, 1, 0.08303,0.00458575,0.072,0.08,0.083,0.086,0.098
24, 1, 0.08913,0.0048325,0.078,0.086,0.089,0.0925,0.104
25, 1, 0.09544,0.00587081,0.084,0.091,0.094,0.099,0.114
26, 1, 0.10171,0.00606514,0.091,0.097,0.101,0.1045,0.125
27, 1, 0.10782,0.00684453,0.095,0.103,0.108,0.111,0.129
28, 1, 0.11219,0.0098587,0.099,0.108,0.111,0.115,0.195
>>>Random Permutation Basis w/ Random Hadamard Initialization:

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
4, 1, 2.82227,1.90482,0.005,1.752,3.3585,4.8155,5.518
5, 1, 4.34515,2.321,0.007,2.7325,5.0075,6.5405,7.498
6, 1, 6.28911,2.03234,0.011,5.151,6.713,8.1255,9.415
7, 1, 8.01952,2.60401,0.013,6.935,8.5995,9.878,11.555
8, 1, 10.0976,3.30319,1.935,8.368,10.6625,12.6425,15.833
9, 1, 12.2135,3.27172,0.017,10.7075,12.731,14.5715,17.626
10, 1, 14.0336,3.22927,5.235,12.2365,14.5125,16.5485,20.562
11, 1, 16.2914,3.47193,3.664,14.0365,16.614,18.551,23.299
12, 1, 18.9677,3.56125,7.046,17.0735,19.3765,21.561,26.506
13, 1, 20.5055,3.75134,5.666,18.1665,20.793,23.1935,27.534
14, 1, 22.8262,3.89049,11.671,20.0615,23.005,25.2455,32.621
15, 1, 26.2813,4.04974,15.119,23.8,26.8175,28.949,36.672
16, 1, 28.9657,4.40427,17.521,26.1615,28.7655,32.363,38.751
17, 1, 31.0396,5.49515,10.398,28.1105,30.952,35.3005,43.892
18, 1, 34.4531,7.18251,15.123,30.105,34.752,39.3895,47.803
19, 1, 40.9296,10.6989,9.058,34.1425,40.46,45.9675,68.726
20, 1, 49.5077,16.2191,22.184,37.202,48.681,56.1585,94.474
21, 1, 63.4531,22.6751,27.364,47.2215,62.015,75.525,120.614
22, 1, 88.103,43.409,26.992,51.134,81.652,107.277,209.423
23, 1, 157.479,98.6428,30.499,71.074,135.716,228.656,392.333
24, 1, 271.969,184.503,27.085,131.464,230.114,416.539,668.728
25, 1, 514.349,377.214,39.464,179.892,422.047,870.468,1283.08
26, 1, 941.931,697.5,46.885,374.612,858.564,1174.17,3064.79
27, 1, 2207.23,1471.62,70.626,934.581,1981.03,3375.13,6083.71
