# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
4,3.59054565429687,1.21931981388277,2.99453735351562,3.33768129348755,3.46112251281738,3.56346368789673,15.4285430908203,QCGPU
5,4.80520486831665,0.403413098077973,4.31513786315918,4.57912683486939,4.68385219573975,4.87589836120606,6.15072250366211,QCGPU
6,6.34836435317993,0.565514380698085,5.6147575378418,6.0274600982666,6.18231296539307,6.40445947647095,8.08811187744141,QCGPU
7,7.7653431892395,0.47521802920238,7.27319717407227,7.39884376525879,7.73274898529053,7.86888599395752,10.0874900817871,QCGPU
8,9.78514671325684,0.593581541064864,9.20391082763672,9.51904058456421,9.71043109893799,9.89079475402832,13.0784511566162,QCGPU
9,12.0718550682068,0.808072768155835,11.3990306854248,11.738657951355,11.8229389190674,12.2566819190979,16.2491798400879,QCGPU
10,14.8819422721863,1.42231023096983,13.8175487518311,14.1826868057251,14.2779350280762,14.9568319320679,19.3116664886475,QCGPU
11,17.6482677459717,1.75307575611829,16.5562629699707,16.9281959533691,17.0379877090454,17.6204442977905,24.2075920104981,QCGPU
12,20.2201175689697,0.783265699582279,19.5629596710205,19.9443101882935,20.0157165527344,20.111083984375,26.7913341522217,QCGPU
13,23.5025358200073,0.558968654821677,22.8457450866699,23.1504440307617,23.257851600647,23.7360000610352,24.6176719665527,QCGPU
14,27.7101254463196,2.25995273806533,26.3638496398926,26.6569852828979,26.7720222473145,28.0309915542603,35.7887744903564,QCGPU
15,31.3296365737915,2.11481597342471,30.0178527832031,30.3869247436523,30.5041074752808,30.8168530464172,39.6265983581543,QCGPU
16,35.2585911750793,1.6628393169615,34.1641902923584,34.4524383544922,34.6097946166992,36.201536655426,43.1857109069824,QCGPU
17,39.4415473937988,1.00984627515601,38.36989402771,38.6970639228821,38.8929843902588,40.7706499099731,41.1241054534912,QCGPU
18,44.4333386421204,1.06195505228508,43.4989929199219,43.7434911727905,43.9232587814331,44.2860722541809,46.6506481170654,QCGPU
19,49.8942446708679,1.74290596314388,48.2082366943359,48.8559007644653,49.0586757659912,51.3352155685425,60.5666637420654,QCGPU
20,55.5025124549866,1.38065931291047,54.0792942047119,54.5448064804077,54.8495054244995,57.451069355011,58.2454204559326,QCGPU
21,62.415041923523,1.37778608964126,60.8000755310059,61.5725517272949,61.8619918823242,62.5151991844177,65.5510425567627,QCGPU
22,74.5612382888794,1.32931229950014,72.5588798522949,73.8856196403503,74.1951465606689,74.6166110038758,78.6588191986084,QCGPU
23,90.8242058753967,1.87223179254947,89.0083312988281,89.5705223083496,89.8845195770264,93.2945609092713,95.7539081573487,QCGPU
24,120.421624183655,0.581895925770595,119.537830352783,119.907021522522,120.265126228333,121.034204959869,121.813535690308,QCGPU
25,249.935472011566,1.08625272311058,248.622894287109,249.234557151794,249.529242515564,250.524699687958,253.29327583313,QCGPU
26,524.945123195648,4.91278133765661,520.328998565674,523.224353790283,524.229645729065,526.203751564026,568.486928939819,QCGPU
27,1099.15844202042,2.92690829335147,1090.66009521484,1097.37497568131,1100.00157356262,1101.12994909287,1109.93099212646,QCGPU
28,2304.386947155,5.24766623490114,2292.0138835907,2301.02926492691,2306.36823177338,2308.16340446472,2311.76710128784,QCGPU
4,44.997923374176,16.8310590292179,2.99501419067383,47.0282435417175,50.972580909729,55.8043122291565,58.8505268096924,ProjectQ
5,40.2544474601746,22.0535515940549,3.98159027099609,32.0050716400147,34.6174240112305,39.7495627403259,88.1304740905762,ProjectQ
6,24.3382668495178,23.5281810963765,12.5293731689453,17.9131031036377,18.3240175247192,19.6552872657776,117.087125778198,ProjectQ
