# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3,0.01488,0.00909096,0.012,0.013,0.014,0.014,0.103
4,0.03109,0.0120922,0.026,0.028,0.029,0.03,0.146
5,0.03166,0.0147107,0.025,0.027,0.03,0.033,0.173
6,0.04733,0.0158626,0.04,0.042,0.044,0.049,0.196
7,0.05124,0.0166422,0.045,0.048,0.049,0.05,0.211
8,0.06621,0.0231807,0.055,0.062,0.064,0.065,0.291
9,0.06467,0.0200704,0.056,0.06,0.061,0.063,0.257
10,0.08053,0.0481984,0.07,0.072,0.074,0.077,0.557
11,0.08103,0.0266032,0.067,0.072,0.075,0.081,0.314
12,0.1037,0.0401122,0.094,0.097,0.098,0.099,0.496
13,0.10449,0.0458841,0.081,0.097,0.099,0.102,0.55
14,0.11026,0.0429964,0.097,0.1,0.104,0.108,0.527
15,0.11155,0.0412392,0.095,0.099,0.107,0.112,0.509
16,0.13218,0.0470664,0.115,0.12,0.123,0.131,0.584
17,0.12849,0.0445348,0.112,0.116,0.123,0.129,0.561
18,0.15298,0.0623747,0.122,0.141,0.145,0.149,0.751
19,0.14298,0.0504708,0.12,0.125,0.133,0.146,0.617
20,0.16138,0.0579907,0.135,0.141,0.156,0.168,0.718
21,0.17335,0.0556985,0.138,0.156,0.167,0.18,0.694
22,0.18781,0.0821991,0.151,0.169,0.178,0.189,0.99
23,0.18641,0.070454,0.149,0.169,0.18,0.188,0.867
24,0.1999,0.0652953,0.163,0.183,0.194,0.203,0.817
