# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3,0.00249,0.0154302,0,0.001,0.001,0.001,0.156
4,0.00208,0.0138692,0,0,0.001,0.001,0.14
5,0.00216,0.0139605,0,0.001,0.001,0.001,0.141
6,0.00237,0.0159485,0,0.001,0.001,0.001,0.161
7,0.00332,0.0249964,0,0.001,0.001,0.001,0.252
8,0.00402,0.0308538,0,0.001,0.001,0.001,0.311
9,0.00644,0.0528218,0.001,0.001,0.001,0.001,0.532
10,0.01136,0.0984588,0.001,0.001,0.001,0.002,0.991
11,0.02249,0.200858,0.002,0.002,0.002,0.003,2.021
12,0.04935,0.4459,0.004,0.004,0.005,0.005,4.486
13,0.09935,0.906308,0.008,0.008,0.008,0.009,9.117
14,0.20476,1.85834,0.016,0.017,0.017,0.017,18.695
15,0.49066,4.47255,0.041,0.041,0.041,0.041,44.992
16,0.91665,8.36798,0.074,0.075,0.075,0.075,84.177
17,2.07363,19.1388,0.148,0.149,0.149,0.149,192.502
18,4.1184,37.9605,0.296,0.297,0.298,0.304,381.821
19,9.61533,88.1692,0.734,0.748,0.751,0.757,886.888
20,20.7413,178.508,2.778,2.789,2.795,2.802,1796.88
21,42.0161,351.204,6.665,6.704,6.712,6.716,3536.45
22,84.8979,712.194,13.275,13.286,13.294,13.329,7171.14
23,183.648,1562.63,26.419,26.495,26.59,26.65,15731.6
24,408.377,3532.45,53.112,53.182,53.391,53.441,35555.8
