# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3,0.61748,0.112031,0.575,0.591,0.598,0.612,1.539
4,1.27594,0.108336,1.181,1.221,1.238,1.267,1.805
5,2.11129,0.15376,1.92,1.981,2.095,2.21,2.748
6,2.9831,0.160423,2.724,2.885,2.964,3.053,3.689
7,4.07873,0.251568,3.75,3.921,4.018,4.138,4.918
8,5.29649,0.375017,4.886,5.043,5.225,5.396,7.565
9,7.10777,0.573639,6.399,6.742,6.92,7.287,9.253
10,10.783,1.54619,8.728,9.348,10.416,11.932,14.44
11,15.3495,1.94793,12.341,13.813,14.901,16.266,21.699
12,21.5339,2.67142,17.279,18.799,21.704,23.491,27.851
13,30.5271,3.00734,26.043,28.08,30.466,32.667,36.986
14,56.6065,1.87021,52.291,55.407,56.518,57.767,63.168
15,81.7036,2.88885,77.896,80.536,81.584,82.308,107.422
16,161.506,5.21843,155.934,159.381,160.936,162.699,207.725
17,338.949,8.85338,329.472,335.513,337.882,340.453,420.523
18,661.279,63.5792,597.286,609.385,613.347,741.661,762.879
19,1675.9,64.2294,1598.37,1626.23,1665.01,1722.96,2077.91
20,3449.86,126.127,3308.86,3339.15,3423.29,3541.49,4264.33
21,8302.91,520.203,7737.65,7953.14,8187.5,8462.21,10809.2
22,18057,1327.79,16755,17216.9,17703.7,18128.4,23309.8
23,39535.3,2283.85,36794.7,37831.9,38767.3,40593.6,47243.4
24,84821.6,2814.27,79716.1,82164.1,84745,86920.2,93438.2
