# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3,0.05018,0.0119351,0.043,0.046,0.047,0.048,0.122
4,0.06521,0.00989575,0.056,0.061,0.063,0.064,0.126
5,0.08077,0.00889478,0.07,0.076,0.078,0.083,0.12
6,0.09432,0.0111102,0.085,0.088,0.09,0.096,0.156
7,0.10551,0.00989696,0.092,0.097,0.103,0.109,0.139
8,0.11689,0.0109726,0.106,0.109,0.112,0.123,0.169
9,0.13027,0.00951089,0.12,0.124,0.125,0.133,0.164
10,0.15823,0.0157238,0.135,0.145,0.159,0.165,0.218
11,0.1693,0.0193641,0.146,0.153,0.164,0.18,0.262
12,0.18819,0.0263764,0.152,0.172,0.185,0.194,0.341
13,0.20733,0.0228364,0.174,0.192,0.207,0.214,0.287
14,0.23271,0.0148642,0.215,0.223,0.23,0.235,0.311
15,0.23103,0.0224497,0.2,0.208,0.23,0.248,0.301
16,0.25332,0.0793375,0.208,0.22,0.249,0.261,0.999
17,0.27804,0.035394,0.226,0.253,0.274,0.297,0.417
18,0.28311,0.0280873,0.24,0.263,0.279,0.296,0.421
19,0.28653,0.0350038,0.242,0.261,0.277,0.309,0.417
20,0.31521,0.0343579,0.271,0.285,0.309,0.337,0.439
21,0.33688,0.0359461,0.27,0.305,0.329,0.366,0.426
22,0.3482,0.0450109,0.281,0.311,0.342,0.382,0.51
23,0.36979,0.0433417,0.306,0.34,0.363,0.393,0.51
24,0.3661,0.0306508,0.322,0.339,0.36,0.386,0.445
