# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3,0.05732,0.0605574,0.046,0.05,0.05,0.052,0.658
4,0.11473,0.132025,0.095,0.1,0.101,0.102,1.428
5,0.11079,0.127425,0.094,0.096,0.097,0.099,1.378
6,0.16523,0.191783,0.138,0.143,0.145,0.148,2.073
7,0.1657,0.197368,0.14,0.143,0.145,0.147,2.129
8,0.22755,0.249019,0.195,0.2,0.202,0.204,2.705
9,0.22143,0.259726,0.189,0.191,0.194,0.198,2.805
10,0.27573,0.323097,0.236,0.24,0.242,0.244,3.49
11,0.28616,0.333794,0.245,0.249,0.252,0.256,3.607
12,0.34243,0.403536,0.295,0.298,0.3,0.303,4.357
13,0.3415,0.400607,0.292,0.297,0.3,0.302,4.327
14,0.39927,0.488001,0.331,0.336,0.339,0.347,5.186
15,0.38641,0.470057,0.33,0.335,0.338,0.342,5.063
16,0.44766,0.558174,0.379,0.387,0.391,0.394,6.001
17,0.44703,0.541853,0.379,0.388,0.392,0.396,5.838
18,0.5165,0.607334,0.442,0.451,0.455,0.458,6.559
19,0.51515,0.61822,0.443,0.449,0.452,0.456,6.666
20,0.57568,0.69144,0.492,0.501,0.505,0.511,7.455
21,0.57128,0.690668,0.488,0.497,0.501,0.506,7.443
22,0.62882,0.756345,0.543,0.547,0.551,0.557,8.154
23,0.622,0.756436,0.525,0.541,0.545,0.55,8.148
24,0.68338,0.823513,0.591,0.597,0.599,0.603,8.877
