# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3,0.39544,0.0937219,0.377,0.38,0.382,0.388,1.322
4,0.39673,0.110176,0.377,0.38,0.382,0.385,1.487
5,0.39714,0.122041,0.369,0.381,0.382,0.386,1.609
6,0.40007,0.133499,0.374,0.382,0.384,0.388,1.726
7,0.40376,0.195707,0.375,0.379,0.381,0.384,2.349
8,0.40605,0.2109,0.376,0.38,0.381,0.385,2.502
9,0.41603,0.25522,0.38,0.384,0.386,0.392,2.953
10,0.42741,0.303107,0.387,0.391,0.395,0.399,3.442
11,0.44628,0.425116,0.396,0.399,0.4,0.402,4.675
12,0.4848,0.645922,0.413,0.414,0.416,0.42,6.911
13,0.58575,1.24561,0.449,0.456,0.458,0.461,12.979
14,0.74449,2.10282,0.519,0.525,0.53,0.541,21.667
15,1.13902,4.52381,0.657,0.662,0.666,0.693,46.145
16,2.43905,9.02264,1.5,1.523,1.532,1.54,92.213
17,4.20626,19.7089,2.195,2.208,2.219,2.231,200.307
18,8.14385,43.0883,3.764,3.784,3.825,3.836,436.867
19,15.384,82.5202,7.044,7.067,7.078,7.09,836.449
20,32.3331,176.987,14.012,14.098,14.126,14.161,1793.3
21,72.4538,374.366,34.486,34.755,34.848,34.902,3797.35
22,145.657,776.362,66.818,67.448,67.585,67.676,7870.36
23,303.433,1697.13,132.114,132.26,133.086,133.246,17189.6
24,618.656,3566.27,257.339,259.047,260.625,261.318,36102.6
