# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
3,0.12228,0.00558405,0.115,0.119,0.121,0.124,0.166
4,0.16121,0.00747836,0.153,0.157,0.16,0.163,0.206
5,0.21131,0.0070295,0.198,0.207,0.21,0.214,0.255
6,0.24076,0.0104126,0.229,0.236,0.239,0.243,0.322
7,0.29582,0.0103038,0.282,0.29,0.294,0.3,0.375
8,0.33625,0.0103057,0.321,0.33,0.335,0.339,0.416
9,0.36067,0.0133169,0.345,0.354,0.359,0.363,0.463
10,0.42007,0.0123185,0.404,0.414,0.417,0.424,0.514
11,0.45319,0.0237153,0.429,0.443,0.451,0.458,0.621
12,0.50372,0.0132907,0.49,0.497,0.502,0.506,0.613
13,0.5456,0.0146062,0.528,0.539,0.542,0.549,0.665
14,0.58845,0.01583,0.569,0.581,0.586,0.592,0.717
15,0.62934,0.0168868,0.617,0.622,0.627,0.632,0.779
16,0.6719,0.0182469,0.656,0.665,0.669,0.674,0.839
17,0.71718,0.0186389,0.695,0.708,0.715,0.722,0.876
18,0.7584,0.0198555,0.738,0.751,0.757,0.761,0.94
19,0.80183,0.0214313,0.77,0.794,0.799,0.807,0.988
20,0.80742,0.0252575,0.786,0.799,0.805,0.811,1.04
21,0.88195,0.0229519,0.859,0.873,0.88,0.887,1.09
22,0.924,0.024418,0.902,0.914,0.921,0.929,1.148
23,0.96882,0.023604,0.943,0.959,0.966,0.974,1.181
24,1.01153,0.0270427,0.983,1.001,1.009,1.016,1.256
