Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
4, 1, 0.07124,0.147816,0.004,0.005,0.006,0.008,0.617
4, 2, 0.13597,0.177471,0.007,0.009,0.011,0.2875,0.655
4, 3, 0.22928,0.230913,0.011,0.0135,0.247,0.3825,0.899
4, 4, 0.34776,0.266503,0.013,0.018,0.394,0.547,0.902
4, 5, 0.4329,0.264442,0.016,0.198,0.4475,0.653,0.913
4, 6, 0.46148,0.251183,0.02,0.3165,0.5095,0.6665,0.976
4, 7, 0.51238,0.226771,0.025,0.3995,0.5425,0.6845,0.946
4, 8, 0.52081,0.242833,0.026,0.403,0.579,0.693,0.941
4, 9, 0.60494,0.170869,0.032,0.519,0.6295,0.729,0.925
4, 10, 0.66245,0.196823,0.033,0.573,0.673,0.778,1.1
4, 11, 0.68891,0.189476,0.041,0.582,0.707,0.8085,1.383
4, 12, 0.72816,0.152406,0.333,0.6455,0.7325,0.81,1.128
4, 13, 0.72896,0.160886,0.224,0.625,0.742,0.8425,1.078
4, 14, 0.75876,0.149436,0.431,0.667,0.776,0.8505,1.107
4, 15, 0.77885,0.129688,0.325,0.6865,0.788,0.862,1.176
4, 16, 0.8001,0.144144,0.484,0.6875,0.8095,0.888,1.168
4, 17, 0.86964,0.160355,0.455,0.7665,0.8565,0.9665,1.777
4, 18, 0.84383,0.13918,0.508,0.7565,0.8345,0.9335,1.286
4, 19, 0.86877,0.147117,0.538,0.768,0.8965,0.952,1.394
4, 20, 0.91936,0.138672,0.607,0.82,0.9245,0.994,1.299
5, 1, 0.07585,0.141746,0.005,0.006,0.007,0.008,0.593
5, 2, 0.18865,0.223721,0.009,0.01,0.013,0.349,0.896
5, 3, 0.29335,0.26087,0.013,0.016,0.311,0.4705,0.969
5, 4, 0.36126,0.272942,0.017,0.0205,0.3605,0.5535,1.139
5, 5, 0.46713,0.24719,0.022,0.3165,0.452,0.6275,0.977
5, 6, 0.59215,0.286891,0.024,0.4055,0.6325,0.7845,1.193
5, 7, 0.67881,0.2555,0.03,0.5115,0.723,0.8355,1.17
5, 8, 0.76332,0.245947,0.034,0.615,0.808,0.916,1.195
5, 9, 0.77152,0.247525,0.038,0.692,0.797,0.907,1.29
5, 10, 0.82662,0.228059,0.043,0.707,0.8525,0.9715,1.286
5, 11, 0.90698,0.186141,0.046,0.8045,0.9435,1.022,1.316
5, 12, 0.88739,0.175585,0.303,0.8115,0.8895,0.9835,1.283
5, 13, 0.97113,0.156533,0.462,0.867,0.983,1.084,1.357
5, 14, 0.93848,0.1941,0.057,0.836,0.946,1.067,1.361
5, 15, 0.97749,0.148644,0.651,0.8875,0.977,1.078,1.373
5, 16, 1.01552,0.136407,0.715,0.925,1.014,1.0955,1.357
5, 17, 1.07029,0.166213,0.698,0.967,1.072,1.1955,1.424
5, 18, 1.06829,0.15412,0.697,0.9745,1.059,1.1765,1.421
5, 19, 1.10706,0.155076,0.696,0.9935,1.1175,1.223,1.564
5, 20, 1.09001,0.148736,0.729,0.9965,1.088,1.1765,1.505
6, 1, 0.09488,0.173783,0.007,0.007,0.008,0.01,0.997
6, 2, 0.2,0.197488,0.011,0.014,0.181,0.3435,0.66
6, 3, 0.30977,0.294803,0.016,0.02,0.305,0.486,2.026
6, 4, 0.47623,0.301964,0.021,0.274,0.4395,0.704,1.19
6, 5, 0.61697,0.335456,0.027,0.383,0.6045,0.882,1.496
6, 6, 0.74028,0.281241,0.032,0.5365,0.807,0.946,1.189
6, 7, 0.81741,0.254444,0.036,0.656,0.813,0.997,1.453
6, 8, 0.87527,0.283539,0.043,0.7075,0.9055,1.11,1.357
6, 9, 1.01589,0.249442,0.047,0.9365,1.062,1.1735,1.432
6, 10, 1.05156,0.230545,0.336,0.94,1.0655,1.2065,1.551
6, 11, 1.09508,0.199173,0.563,0.9435,1.1105,1.2185,1.577
6, 12, 1.08464,0.192129,0.653,0.946,1.075,1.237,1.499
6, 13, 1.19267,0.193139,0.625,1.0655,1.19,1.3365,1.654
6, 14, 1.21107,0.168784,0.815,1.0905,1.191,1.326,1.735
6, 15, 1.26355,0.161235,0.88,1.1565,1.262,1.381,1.65
6, 16, 1.31586,0.161491,0.912,1.197,1.3075,1.437,1.806
6, 17, 1.32986,0.191033,0.869,1.1955,1.313,1.456,1.852
6, 18, 1.32241,0.180089,0.935,1.1845,1.305,1.456,1.817
6, 19, 1.36754,0.179861,0.876,1.245,1.3665,1.4805,1.828
6, 20, 1.38335,0.183614,0.942,1.246,1.379,1.507,1.818
7, 1, 0.11461,0.176785,0.007,0.009,0.01,0.3285,0.668
7, 2, 0.2744,0.269757,0.014,0.016,0.2975,0.4085,1.253
7, 3, 0.38816,0.317974,0.019,0.024,0.3635,0.617,1.242
7, 4, 0.58925,0.280719,0.026,0.4095,0.593,0.7345,1.42
7, 5, 0.75485,0.320631,0.033,0.5705,0.7045,0.9685,1.453
7, 6, 0.88119,0.343493,0.227,0.618,0.865,1.158,1.704
7, 7, 1.0433,0.284423,0.045,0.879,1.055,1.261,1.626
7, 8, 1.13181,0.275711,0.376,1.02,1.143,1.3095,1.687
7, 9, 1.23216,0.302116,0.054,1.032,1.284,1.413,1.864
7, 10, 1.29604,0.206499,0.628,1.1965,1.3265,1.4345,1.826
7, 11, 1.39224,0.217964,0.776,1.255,1.4225,1.5355,1.86
7, 12, 1.45053,0.222657,0.77,1.317,1.4595,1.594,1.9
7, 13, 1.48913,0.176358,0.985,1.3925,1.495,1.6015,1.975
7, 14, 1.53797,0.2005,0.922,1.416,1.531,1.6645,2.036
7, 15, 1.55339,0.201379,0.998,1.4505,1.5745,1.7055,1.965
7, 16, 1.56739,0.193,0.902,1.438,1.5935,1.703,2.012
7, 17, 1.66614,0.18069,1.289,1.5665,1.662,1.7965,2.167
7, 18, 1.69853,0.21296,1.11,1.5565,1.6965,1.8575,2.344
7, 19, 1.72664,0.190174,1.122,1.6045,1.7345,1.855,2.16
7, 20, 1.77813,0.188361,1.306,1.637,1.799,1.877,2.381
8, 1, 0.09568,0.177493,0.009,0.01,0.01,0.0125,0.909
8, 2, 0.30949,0.303096,0.016,0.0185,0.292,0.4645,1.287
8, 3, 0.43825,0.353163,0.022,0.027,0.3825,0.674,1.297
8, 4, 0.77703,0.347637,0.032,0.5715,0.849,1.009,1.544
8, 5, 0.84018,0.381518,0.038,0.583,0.842,1.132,1.591
8, 6, 1.06943,0.403271,0.043,0.859,1.078,1.333,2.007
8, 7, 1.18553,0.360361,0.28,0.9305,1.207,1.4305,1.98
8, 8, 1.376,0.363221,0.414,1.135,1.4,1.632,2.06
8, 9, 1.54632,0.298562,0.302,1.375,1.55,1.7755,2.197
8, 10, 1.61889,0.27541,0.801,1.4625,1.6145,1.816,2.27
8, 11, 1.66706,0.301968,0.458,1.5205,1.6895,1.8465,2.358
8, 12, 1.77869,0.279691,1.017,1.5845,1.8385,1.976,2.268
8, 13, 1.87131,0.252889,0.948,1.7185,1.9075,2.0135,2.381
8, 14, 1.97003,0.235113,1.3,1.831,1.995,2.153,2.437
8, 15, 2.04186,0.278955,1.207,1.887,2.041,2.2,2.705
8, 16, 2.08429,0.247649,1.328,1.9435,2.0755,2.2375,2.67
8, 17, 2.18785,0.213385,1.597,2.021,2.2415,2.3405,2.706
8, 18, 2.25373,0.200874,1.749,2.133,2.2585,2.413,2.614
8, 19, 2.29785,0.236108,1.853,2.133,2.267,2.467,2.984
8, 20, 2.39431,0.244762,1.673,2.2505,2.402,2.5195,3.044
9, 1, 0.13763,0.193529,0.01,0.011,0.013,0.3525,0.683
9, 2, 0.27621,0.24996,0.018,0.021,0.285,0.4185,0.933
9, 3, 0.47764,0.32408,0.025,0.288,0.4245,0.6845,1.373
