Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
4, 1, 0.3679,0.717431,0.008,0.009,0.01,0.0115,1.913
4, 2, 0.85856,1.32772,0.013,0.014,0.015,1.8905,5.399
4, 3, 1.64587,1.74652,0.016,0.018,1.896,2.2675,6.67
4, 4, 2.2123,2.07638,0.02,0.023,2.005,3.975,6.911
4, 5, 3.4378,2.2668,0.024,1.914,3.7005,5.578,7.937
4, 6, 4.43586,2.27183,0.028,2.4655,4.7245,6.5925,7.806
4, 7, 5.06118,2.26754,0.03,3.9825,5.5395,6.9195,8.305
4, 8, 5.5368,2.2317,0.035,4.4345,6.2365,7.011,8.459
4, 9, 6.07538,2.16913,0.038,4.9735,6.8145,7.6155,8.949
4, 10, 6.7231,1.86788,0.044,6.148,7.173,8.0335,9.063
4, 11, 7.13176,1.35624,2.018,6.4355,7.405,7.9995,9.409
4, 12, 7.62591,1.46104,0.051,7.171,7.94,8.5145,9.77
4, 13, 7.8947,1.4062,2.008,7.467,8.143,8.722,10.015
4, 14, 8.58168,1.19886,4.119,8.037,8.755,9.4165,11.08
4, 15, 8.55208,1.46491,0.06,8.0045,8.7075,9.4915,11.138
4, 16, 8.98811,1.10229,3.956,8.511,9.1525,9.7145,10.978
4, 17, 9.2498,1.20403,4.435,8.7455,9.4045,10.014,11.052
4, 18, 9.65242,1.14826,5.625,9.1045,9.8475,10.4435,11.624
4, 19, 9.71538,1.25152,4.583,8.9915,9.805,10.525,12.042
4, 20, 10.175,1.04127,7.404,9.564,10.3055,11.006,11.95
5, 1, 0.3512,0.827419,0.01,0.011,0.011,0.012,3.849
5, 2, 1.22632,1.47886,0.015,0.016,0.019,2.0955,5.355
5, 3, 2.01838,2.15535,0.019,0.021,1.909,3.779,8.35
5, 4, 2.9827,2.54108,0.024,0.027,2.407,4.5565,8.753
5, 5, 4.4177,2.93825,0.029,2.0835,4.213,7.022,9.592
5, 6, 5.10903,3.14126,0.033,2.23,5.702,7.8375,9.957
5, 7, 6.47528,2.25329,0.036,4.66,6.819,8.2145,10.244
5, 8, 7.0892,2.34203,0.042,5.8795,7.698,8.8595,10.458
5, 9, 8.16419,1.96429,2.115,7.1155,8.6135,9.477,11.046
5, 10, 8.72122,2.01574,0.054,8.2375,9.2245,9.8615,11.74
5, 11, 9.29589,1.48609,2.076,8.6915,9.5685,10.4205,11.355
5, 12, 9.96855,1.30268,4.65,9.453,10.2735,10.7655,12.285
5, 13, 10.0776,1.47036,3.74,9.5835,10.228,11.0395,12.743
5, 14, 10.7416,1.09237,7.398,10.038,10.75,11.5065,13.568
5, 15, 10.8988,1.58888,1.911,10.1365,11.141,11.8775,13.2
5, 16, 11.2875,1.44381,4.151,10.547,11.4705,12.1995,13.534
5, 17, 11.8354,1.29163,6.627,11.235,12.028,12.6085,15.269
5, 18, 12.1426,1.4081,7.68,11.095,12.484,13.184,14.798
5, 19, 12.6984,1.03445,9.156,12.0135,12.719,13.5095,14.782
5, 20, 13.0549,1.04284,10.799,12.443,13.0865,13.878,16.799
6, 1, 0.45152,0.867081,0.011,0.012,0.013,0.0155,4.016
6, 2, 1.41862,2.01815,0.015,0.019,0.02,2.069,8.841
6, 3, 2.86225,2.59685,0.021,0.026,2.1435,4.1165,10.475
6, 4, 4.19706,2.81297,0.028,2.0805,4.0935,6.28,10.266
6, 5, 6.17573,3.24058,0.034,3.958,6.684,8.8245,11.774
6, 6, 6.21387,3.2766,0.039,4.014,6.4415,9.1075,11.737
6, 7, 8.02753,3.07529,0.044,5.9705,8.7855,10.1735,12.345
6, 8, 9.1648,3.08096,0.049,8.201,10.0635,11.262,13.374
6, 9, 9.80263,2.71629,0.057,8.4675,10.675,11.593,13.793
6, 10, 11.1045,1.6203,6.163,10.277,11.386,12.345,13.819
6, 11, 11.2808,2.26757,2.54,10.4835,11.712,12.744,14.644
6, 12, 12.2105,1.69942,3.989,11.5045,12.402,13.294,15.352
6, 13, 12.7358,1.3872,6.578,12.011,12.696,13.6665,15.935
6, 14, 13.0758,1.43566,8.021,12.499,13.179,14.023,16.174
6, 15, 13.5446,1.24829,10.116,12.6525,13.588,14.3585,16.101
6, 16, 14.1494,1.31676,9.195,13.4375,14.2115,15.029,16.798
6, 17, 14.5797,1.14278,11.726,13.7925,14.801,15.35,17.482
6, 18, 14.8575,1.35946,10.443,14.0795,14.966,15.669,18.279
6, 19, 15.6574,1.27829,10.134,14.882,15.7475,16.457,18.321
6, 20, 15.9726,1.15719,13.439,15.3575,15.942,16.7,18.375
7, 1, 0.58565,1.04196,0.011,0.013,0.014,1.6195,4.051
7, 2, 1.9825,2.23072,0.018,0.021,1.8895,3.7235,8.159
7, 3, 3.17142,2.57336,0.026,1.8935,2.272,4.304,10.829
7, 4, 5.44181,3.02441,0.033,3.5925,5.336,8.09,12.275
7, 5, 7.02384,3.66302,0.039,4.035,7.5495,9.7165,13.996
7, 6, 8.55079,2.94429,0.046,6.346,8.8505,10.797,13.546
7, 7, 9.6421,3.20088,0.051,7.501,10.211,12.045,14.952
7, 8, 10.9561,2.84486,0.057,9.867,11.701,12.997,15.406
7, 9, 12.0618,2.35272,4.46,10.852,12.637,13.6995,15.605
7, 10, 13.182,2.29577,4.396,12.305,13.6195,14.936,16.253
7, 11, 13.7427,2.01106,3.809,12.822,14.191,14.998,17.217
7, 12, 14.6696,1.6077,7.888,14.075,14.8005,15.663,17.566
7, 13, 14.7917,1.88928,4.764,14.1005,15.058,15.9755,17.873
7, 14, 15.4938,1.41535,10.936,14.6825,15.474,16.5655,18.217
7, 15, 16.1416,1.58807,10.397,15.2415,16.2315,17.2125,18.864
7, 16, 16.9186,1.36837,13.185,16.167,16.8685,17.915,19.787
7, 17, 17.3904,1.22521,12.91,16.769,17.359,18.206,19.977
7, 18, 17.8801,1.31058,12.627,17.033,17.8515,18.742,20.654
7, 19, 18.235,1.50045,13.437,17.308,18.3695,19.3875,21.014
7, 20, 18.8937,1.1718,15.933,18.0675,18.9105,19.673,21.897
8, 1, 0.74303,1.17603,0.013,0.015,0.016,1.761,5.429
8, 2, 1.98081,2.30687,0.022,0.024,1.902,3.403,10.27
