Device #0, Loaded binary from: /home/ubuntu/.qrack/qrack_ocl_dev_0.ir
Default platform: NVIDIA CUDA
Default device: Tesla M60
OpenCL device #0: Tesla M60

100 iterations
# of Qubits, Depth, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms)
4, 1, 0.61664,0.101303,0.345,0.541,0.628,0.6655,0.821
4, 2, 0.68058,0.111947,0.458,0.5955,0.71,0.745,0.863
4, 3, 0.69809,0.112276,0.355,0.615,0.6965,0.781,0.961
4, 4, 0.85354,0.10949,0.544,0.7845,0.8715,0.929,1.113
4, 5, 0.86235,0.127358,0.475,0.794,0.8815,0.9735,1.037
4, 6, 0.87185,0.123395,0.487,0.7805,0.886,0.9645,1.06
4, 7, 0.90098,0.120072,0.582,0.8365,0.926,0.99,1.108
4, 8, 0.93346,0.121011,0.531,0.872,0.95,1.0265,1.157
4, 9, 0.93558,0.120665,0.594,0.8465,0.9475,1.02,1.236
4, 10, 0.95574,0.12303,0.554,0.871,0.964,1.049,1.413
4, 11, 0.97156,0.136315,0.669,0.875,0.974,1.077,1.629
4, 12, 0.95916,0.121248,0.576,0.885,0.976,1.0465,1.235
4, 13, 0.98401,0.115947,0.595,0.8965,1.007,1.077,1.189
4, 14, 1.01295,0.105192,0.69,0.9475,1.0255,1.083,1.228
4, 15, 1.03516,0.112503,0.727,0.9645,1.036,1.121,1.291
4, 16, 1.04576,0.10073,0.805,0.966,1.055,1.117,1.279
4, 17, 1.05002,0.11447,0.726,0.98,1.056,1.1345,1.259
4, 18, 1.05297,0.120521,0.684,0.9835,1.0655,1.126,1.343
4, 19, 1.08189,0.125685,0.719,0.9925,1.095,1.1795,1.378
4, 20, 1.07283,0.122335,0.83,0.9745,1.087,1.176,1.271
5, 1, 0.59208,0.145195,0.305,0.508,0.6175,0.642,1.539
5, 2, 0.8448,0.137513,0.518,0.739,0.849,0.955,1.103
5, 3, 0.87107,0.118283,0.605,0.824,0.8655,0.96,1.105
5, 4, 0.89329,0.10094,0.663,0.807,0.8985,0.981,1.133
5, 5, 0.92923,0.129099,0.65,0.824,0.9375,1.041,1.189
5, 6, 0.9679,0.112102,0.682,0.8715,0.9625,1.0665,1.183
5, 7, 1.0129,0.110966,0.747,0.958,1.014,1.0945,1.253
5, 8, 1.02567,0.131187,0.761,0.916,1.0265,1.131,1.275
