# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,0.19419,0.11207,0.141,0.149,0.154,0.185,0.851,QEngineCPU
4,0.27004,0.193074,0.225,0.234,0.237,0.243,2.136,QEngineCPU
5,0.24124,0.0199505,0.223,0.233,0.238,0.241,0.369,QEngineCPU
6,0.24107,0.0160706,0.227,0.233,0.238,0.241,0.328,QEngineCPU
7,0.25382,0.0570774,0.226,0.236,0.24,0.252,0.778,QEngineCPU
8,0.26622,0.0563932,0.226,0.235,0.242,0.281,0.607,QEngineCPU
9,0.25779,0.028399,0.227,0.241,0.247,0.261,0.381,QEngineCPU
10,0.26912,0.025947,0.244,0.256,0.262,0.269,0.413,QEngineCPU
11,0.28156,0.0188554,0.263,0.272,0.277,0.282,0.399,QEngineCPU
12,0.32079,0.0233638,0.284,0.308,0.317,0.326,0.415,QEngineCPU
13,0.39705,0.0739466,0.343,0.365,0.377,0.391,0.912,QEngineCPU
14,0.54109,0.0739932,0.459,0.485,0.541,0.552,0.948,QEngineCPU
15,0.82276,0.140738,0.691,0.761,0.808,0.831,1.699,QEngineCPU
16,1.3389,0.325363,1.104,1.227,1.303,1.323,3.467,QEngineCPU
17,2.40495,0.729891,1.97,2.228,2.293,2.397,7.232,QEngineCPU
18,4.53924,1.25417,3.907,4.239,4.305,4.538,12.62,QEngineCPU
19,9.70098,2.88782,8.032,8.854,9.306,9.463,29.215,QEngineCPU
20,19.923,5.64454,16.715,18.277,19.096,19.672,58.505,QEngineCPU
21,94.4752,37.3302,36.933,43.459,116.989,123.763,130.597,QEngineCPU
22,258.231,6.99691,232.938,256.462,260.214,260.868,269.097,QEngineCPU
23,520.59,11.0004,463.96,517.583,522.548,526.929,538.329,QEngineCPU
24,1044.45,9.38813,983.073,1043.15,1045.08,1047.72,1058.69,QEngineCPU
25,2085.93,16.0744,1941.91,2083.38,2088.61,2091.98,2097.94,QEngineCPU
