# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,0.18505,0.0665991,0.142,0.149,0.155,0.193,0.477,QEngineCPU
4,0.27084,0.194798,0.231,0.238,0.243,0.252,2.195,QEngineCPU
5,0.25561,0.0449686,0.229,0.238,0.241,0.25,0.501,QEngineCPU
6,0.25123,0.0283471,0.227,0.236,0.241,0.251,0.384,QEngineCPU
7,0.24495,0.0178182,0.229,0.236,0.24,0.245,0.345,QEngineCPU
8,0.2512,0.0264564,0.23,0.238,0.241,0.25,0.389,QEngineCPU
9,0.25956,0.0212816,0.233,0.245,0.253,0.268,0.366,QEngineCPU
10,0.27827,0.0252428,0.24,0.264,0.271,0.286,0.387,QEngineCPU
11,0.28905,0.0305766,0.247,0.275,0.281,0.29,0.516,QEngineCPU
12,0.32666,0.0228045,0.295,0.312,0.321,0.336,0.433,QEngineCPU
13,0.39088,0.0334919,0.344,0.371,0.385,0.401,0.559,QEngineCPU
14,0.54406,0.0755439,0.455,0.496,0.543,0.554,0.913,QEngineCPU
15,0.81932,0.15813,0.688,0.752,0.8,0.831,1.829,QEngineCPU
16,1.30746,0.373149,1.063,1.206,1.256,1.303,4.053,QEngineCPU
17,2.32687,0.68415,1.846,2.146,2.225,2.33,6.898,QEngineCPU
18,4.5076,1.42779,3.776,4.109,4.286,4.439,14.597,QEngineCPU
19,9.3714,2.61386,7.817,8.599,9.066,9.254,26.255,QEngineCPU
20,19.1063,5.021,15.147,17.541,18.514,18.862,52.359,QEngineCPU
21,84.558,33.5598,34.747,38.398,105.547,108.32,117.909,QEngineCPU
22,238.946,4.79959,220.508,238.108,240.873,241.875,243.142,QEngineCPU
23,480.214,8.20425,448.617,479.847,483.657,484.455,489.377,QEngineCPU
24,963.779,7.45356,908.902,960.907,966.479,967.588,971.517,QEngineCPU
3,0.24135,0.0105066,0.235,0.237,0.238,0.242,0.327,QEngineOCL
4,0.24388,0.0150468,0.235,0.237,0.238,0.241,0.311,QEngineOCL
5,0.24675,0.0215515,0.237,0.238,0.239,0.242,0.407,QEngineOCL
6,0.24813,0.0218982,0.234,0.235,0.237,0.248,0.304,QEngineOCL
7,0.27242,0.0325896,0.237,0.239,0.273,0.298,0.364,QEngineOCL
8,0.26109,0.031175,0.231,0.236,0.239,0.295,0.36,QEngineOCL
9,0.30522,0.0199051,0.294,0.296,0.297,0.302,0.426,QEngineOCL
10,0.36716,0.0216461,0.357,0.359,0.36,0.364,0.55,QEngineOCL
11,0.37462,0.0216304,0.364,0.366,0.367,0.373,0.55,QEngineOCL
12,0.38333,0.0189394,0.374,0.376,0.377,0.382,0.537,QEngineOCL
13,0.41762,0.0199152,0.399,0.404,0.414,0.417,0.555,QEngineOCL
14,0.47701,0.0295549,0.453,0.458,0.469,0.481,0.619,QEngineOCL
15,0.57421,0.0248134,0.555,0.562,0.568,0.579,0.743,QEngineOCL
16,0.78569,0.0667696,0.754,0.764,0.766,0.786,1.275,QEngineOCL
17,1.23396,0.025995,1.21,1.215,1.225,1.242,1.338,QEngineOCL
18,2.47646,0.033096,2.445,2.453,2.462,2.493,2.639,QEngineOCL
19,4.32914,0.0447024,4.29,4.307,4.312,4.34,4.603,QEngineOCL
20,8.18392,0.113993,8.125,8.138,8.16,8.194,8.976,QEngineOCL
21,17.3359,0.468174,16.61,16.721,17.594,17.666,18.038,QEngineOCL
22,35.776,0.376021,32.916,35.632,35.702,35.95,36.502,QEngineOCL
23,70.8119,0.809518,63.687,70.671,70.804,70.947,73.149,QEngineOCL
24,140.994,1.50981,126.386,140.824,141.08,141.333,142.228,QEngineOCL
3,15.6396,9.36763,5.739,5.912,19.473,24.499,34.789,QEngineOCLMulti
4,16.1477,12.4663,5.471,5.904,7.181,25.012,88.982,QEngineOCLMulti
5,15.2317,9.90273,0.615,5.907,6.47,24.735,34.815,QEngineOCLMulti
6,15.1836,9.87774,5.742,5.912,7.172,24.972,39.251,QEngineOCLMulti
7,16.5372,11.8129,5.483,5.933,10.631,25.244,63.878,QEngineOCLMulti
