# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,0.187,0.0946442,0.148,0.153,0.157,0.164,0.7,QEngineCPU
4,0.25343,0.0322696,0.232,0.241,0.245,0.249,0.464,QEngineCPU
5,0.24817,0.0179098,0.227,0.24,0.245,0.25,0.356,QEngineCPU
6,0.25722,0.0426707,0.232,0.24,0.246,0.251,0.532,QEngineCPU
7,0.25166,0.0279329,0.229,0.237,0.243,0.25,0.418,QEngineCPU
8,0.25391,0.0638068,0.229,0.235,0.239,0.245,0.819,QEngineCPU
9,0.25482,0.0253568,0.23,0.242,0.245,0.255,0.429,QEngineCPU
10,0.26988,0.0167352,0.245,0.259,0.266,0.27,0.324,QEngineCPU
11,0.29292,0.0487271,0.266,0.276,0.28,0.291,0.658,QEngineCPU
12,0.32951,0.0290446,0.297,0.315,0.322,0.327,0.463,QEngineCPU
13,0.39849,0.0561826,0.364,0.377,0.385,0.392,0.72,QEngineCPU
14,0.56874,0.140585,0.509,0.524,0.533,0.548,1.419,QEngineCPU
15,0.87071,0.250753,0.773,0.811,0.829,0.847,2.492,QEngineCPU
16,1.42486,0.481096,1.211,1.315,1.338,1.377,4.745,QEngineCPU
17,2.65724,1.00049,2.206,2.421,2.487,2.554,9.753,QEngineCPU
18,5.48442,2.15321,4.628,4.914,5.112,5.274,19.503,QEngineCPU
19,12.4396,4.34427,10.078,11.593,11.759,11.959,41.077,QEngineCPU
20,70.2133,32.6269,21.698,25.674,90.317,95.475,99.187,QEngineCPU
21,194.646,6.39938,175.357,191.643,195.484,200.703,203.099,QEngineCPU
22,397.539,8.04509,363.013,392.364,402.438,403.443,405.366,QEngineCPU
23,795.332,13.3754,724,789.486,792.745,805.719,809.086,QEngineCPU
24,1587.08,17.9909,1425.53,1587.31,1590.15,1592.73,1598.11,QEngineCPU
3,0.22726,0.0121356,0.222,0.223,0.224,0.226,0.318,QEngineOCL
4,0.23037,0.0151998,0.222,0.225,0.226,0.228,0.303,QEngineOCL
5,0.22975,0.0201323,0.219,0.221,0.222,0.224,0.299,QEngineOCL
6,0.24346,0.0272376,0.223,0.224,0.225,0.282,0.296,QEngineOCL
7,0.2441,0.0318256,0.22,0.222,0.223,0.28,0.406,QEngineOCL
8,0.28482,0.018678,0.279,0.281,0.282,0.283,0.467,QEngineOCL
9,0.34724,0.0159682,0.341,0.343,0.344,0.345,0.499,QEngineOCL
10,0.3547,0.0215678,0.348,0.35,0.351,0.353,0.565,QEngineOCL
11,0.3665,0.0158685,0.361,0.362,0.363,0.366,0.518,QEngineOCL
12,0.39334,0.0180012,0.386,0.388,0.389,0.391,0.542,QEngineOCL
13,0.44669,0.0160479,0.441,0.442,0.443,0.445,0.594,QEngineOCL
14,0.5485,0.0202586,0.536,0.542,0.545,0.547,0.694,QEngineOCL
15,0.76002,0.0301702,0.745,0.748,0.751,0.76,0.898,QEngineOCL
16,1.21038,0.0288093,1.198,1.202,1.207,1.209,1.467,QEngineOCL
17,2.42617,0.0723132,2.379,2.409,2.414,2.42,2.92,QEngineOCL
18,4.26465,0.140166,4.191,4.239,4.242,4.247,5.241,QEngineOCL
19,8.17175,0.274644,8.104,8.12,8.127,8.134,10.082,QEngineOCL
20,18.9154,1.29421,16.814,17.093,19.724,19.893,20.028,QEngineOCL
21,40.3267,0.0424899,40.091,40.306,40.323,40.345,40.48,QEngineOCL
22,80.3013,0.0784824,79.703,80.274,80.298,80.324,80.511,QEngineOCL
23,159.562,0.477817,158.076,159.11,159.696,160.002,160.213,QEngineOCL
24,315.874,1.91458,313.574,313.982,314.304,317.77,318.136,QEngineOCL
3,0.04504,0.00137782,0.043,0.044,0.045,0.046,0.053,QUnit (CPU)
4,0.05853,0.00193626,0.056,0.058,0.058,0.059,0.073,QUnit (CPU)
5,0.07489,0.004911,0.071,0.073,0.074,0.075,0.119,QUnit (CPU)
6,0.09086,0.00791078,0.086,0.088,0.089,0.09,0.141,QUnit (CPU)
7,0.1043,0.00400874,0.101,0.103,0.104,0.105,0.131,QUnit (CPU)
8,0.12,0.0106911,0.114,0.117,0.118,0.119,0.214,QUnit (CPU)
9,0.137,0.0148768,0.13,0.132,0.134,0.136,0.267,QUnit (CPU)
10,0.14982,0.00262442,0.146,0.148,0.149,0.151,0.162,QUnit (CPU)
11,0.16565,0.00772447,0.159,0.162,0.164,0.166,0.213,QUnit (CPU)
12,0.18024,0.00712477,0.175,0.178,0.179,0.181,0.225,QUnit (CPU)
13,0.19569,0.0185697,0.185,0.191,0.192,0.194,0.363,QUnit (CPU)
14,0.20907,0.0167459,0.202,0.205,0.207,0.209,0.367,QUnit (CPU)
15,0.22662,0.0116866,0.22,0.223,0.224,0.227,0.335,QUnit (CPU)
16,0.24117,0.00900784,0.234,0.237,0.239,0.241,0.299,QUnit (CPU)
17,0.25533,0.00642659,0.248,0.252,0.254,0.257,0.29,QUnit (CPU)
18,0.26994,0.0191869,0.26,0.264,0.266,0.268,0.374,QUnit (CPU)
19,0.2829,0.00728629,0.274,0.279,0.281,0.284,0.316,QUnit (CPU)
20,0.29941,0.0104164,0.29,0.295,0.298,0.3,0.358,QUnit (CPU)
21,0.31999,0.0553571,0.304,0.308,0.31,0.313,0.846,QUnit (CPU)
22,0.33006,0.022213,0.313,0.322,0.325,0.33,0.461,QUnit (CPU)
23,0.34431,0.00618497,0.337,0.341,0.343,0.346,0.376,QUnit (CPU)
24,0.35754,0.01017,0.347,0.352,0.355,0.358,0.416,QUnit (CPU)
3,0.08623,0.00710895,0.08,0.081,0.082,0.089,0.121,QUnit (OCL)
4,0.11413,0.00939538,0.107,0.108,0.114,0.116,0.175,QUnit (OCL)
5,0.14225,0.0079842,0.134,0.136,0.143,0.144,0.196,QUnit (OCL)
6,0.16973,0.0097784,0.16,0.163,0.169,0.172,0.24,QUnit (OCL)
7,0.19986,0.0111338,0.188,0.191,0.198,0.205,0.278,QUnit (OCL)
8,0.22571,0.0110899,0.214,0.219,0.224,0.231,0.315,QUnit (OCL)
9,0.25173,0.0120581,0.24,0.243,0.25,0.257,0.344,QUnit (OCL)
10,0.28233,0.0131606,0.268,0.276,0.278,0.287,0.381,QUnit (OCL)
11,0.31095,0.0152055,0.295,0.304,0.308,0.313,0.429,QUnit (OCL)
12,0.34003,0.0159345,0.323,0.332,0.338,0.347,0.466,QUnit (OCL)
13,0.36268,0.0291924,0.346,0.349,0.35,0.354,0.497,QUnit (OCL)
14,0.37918,0.0151112,0.374,0.376,0.377,0.379,0.528,QUnit (OCL)
15,0.40601,0.0171245,0.4,0.402,0.403,0.405,0.566,QUnit (OCL)
16,0.4333,0.0203659,0.427,0.429,0.429,0.431,0.605,QUnit (OCL)
17,0.46871,0.0323884,0.455,0.457,0.46,0.462,0.69,QUnit (OCL)
18,0.48627,0.018471,0.48,0.483,0.483,0.485,0.66,QUnit (OCL)
19,0.51144,0.0199651,0.506,0.508,0.509,0.51,0.709,QUnit (OCL)
