# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,1.02156,0.280431,0.488,1.002,1.017,1.058,2.508,QEngineOCL
4,0.95659,0.148404,0.493,1.003,1.007,1.014,1.064,QEngineOCL
5,0.97078,0.188171,0.492,1.003,1.009,1.027,1.372,QEngineOCL
6,1.01476,0.160065,0.488,0.999,1.004,1.026,1.641,QEngineOCL
7,1.03082,0.250898,0.483,1,1.011,1.187,1.517,QEngineOCL
8,0.7682,0.15924,0.677,0.682,0.805,0.813,2.208,QEngineOCL
9,1.24861,0.263396,1,1.009,1.038,1.489,2.409,QEngineOCL
10,1.74147,0.262994,1.379,1.498,1.547,1.974,2.881,QEngineOCL
11,2.00254,0.0916245,1.959,1.976,1.989,2.01,2.888,QEngineOCL
12,2.03436,0.0641671,1.557,2.023,2.034,2.044,2.425,QEngineOCL
13,1.70245,0.234927,1.516,1.531,1.547,1.997,2.417,QEngineOCL
14,1.73887,0.239599,1.552,1.564,1.58,2.042,2.497,QEngineOCL
15,1.71564,0.240562,1.523,1.539,1.553,2.024,2.437,QEngineOCL
16,1.79693,0.251292,1.563,1.591,1.658,2.119,2.5,QEngineOCL
17,1.93078,0.279301,1.687,1.723,1.754,2.287,2.696,QEngineOCL
18,2.74337,0.322551,2.455,2.493,2.54,3.162,3.56,QEngineOCL
19,3.29496,0.3835,2.921,2.964,3.099,3.791,4.256,QEngineOCL
20,4.42637,0.550102,3.866,3.908,4.185,5.017,6.182,QEngineOCL
21,6.52687,0.910812,5.587,5.658,6.228,7.388,10.187,QEngineOCL
22,12.365,1.50881,10.995,11.047,13.01,13.149,19.67,QEngineOCL
23,34.515,0.721417,34.246,34.37,34.443,34.508,41.639,QEngineOCL
24,65.5933,1.31643,65.183,65.37,65.448,65.522,78.61,QEngineOCL
25,127.499,2.55328,125.392,127.119,127.267,127.373,152.77,QEngineOCL
26,251.575,4.98713,250.434,250.84,251.107,251.264,301.07,QEngineOCL
27,499.696,9.71395,497.342,498.29,498.578,499.06,596.031,QEngineOCL
28,996.193,19.4734,990.592,993.178,993.886,994.897,1189.14,QEngineOCL
3,0.09655,0.0545805,0.089,0.09,0.09,0.091,0.639,QUnit (OCL)
4,0.12814,0.0573997,0.12,0.121,0.121,0.122,0.698,QUnit (OCL)
5,0.15784,0.0605217,0.149,0.15,0.151,0.151,0.759,QUnit (OCL)
6,0.18872,0.0632337,0.179,0.18,0.181,0.181,0.816,QUnit (OCL)
7,0.22186,0.0663105,0.212,0.213,0.214,0.215,0.88,QUnit (OCL)
8,0.2531,0.0691742,0.243,0.244,0.245,0.246,0.94,QUnit (OCL)
9,0.28482,0.0737457,0.273,0.275,0.276,0.277,1.017,QUnit (OCL)
10,0.31492,0.0749799,0.303,0.305,0.306,0.307,1.059,QUnit (OCL)
11,0.34761,0.0822087,0.334,0.336,0.337,0.339,1.164,QUnit (OCL)
12,0.37997,0.0822193,0.367,0.369,0.37,0.372,1.196,QUnit (OCL)
13,0.40938,0.0837595,0.395,0.398,0.399,0.402,1.241,QUnit (OCL)
14,0.44057,0.0890126,0.426,0.428,0.429,0.432,1.324,QUnit (OCL)
15,0.47036,0.092232,0.455,0.458,0.459,0.461,1.386,QUnit (OCL)
16,0.50177,0.0952143,0.487,0.489,0.49,0.492,1.447,QUnit (OCL)
17,0.5319,0.0958802,0.517,0.519,0.52,0.523,1.484,QUnit (OCL)
18,0.56471,0.101493,0.547,0.551,0.552,0.556,1.572,QUnit (OCL)
19,0.59696,0.10561,0.578,0.581,0.583,0.589,1.644,QUnit (OCL)
20,0.62852,0.106479,0.608,0.612,0.615,0.62,1.685,QUnit (OCL)
21,0.66021,0.113326,0.641,0.645,0.646,0.651,1.786,QUnit (OCL)
22,0.68946,0.111265,0.671,0.674,0.675,0.679,1.794,QUnit (OCL)
23,0.72134,0.115874,0.702,0.705,0.707,0.71,1.872,QUnit (OCL)
24,0.75438,0.116265,0.735,0.738,0.739,0.744,1.908,QUnit (OCL)
25,0.78458,0.123824,0.764,0.767,0.769,0.776,2.014,QUnit (OCL)
26,0.81793,0.12603,0.796,0.8,0.801,0.807,2.069,QUnit (OCL)
27,0.84716,0.127063,0.826,0.829,0.831,0.837,2.108,QUnit (OCL)
28,0.87769,0.133387,0.855,0.859,0.861,0.866,2.202,QUnit (OCL)
3,0.22381,0.0381879,0.19,0.2,0.203,0.253,0.362,QEngineCPU
4,0.37759,0.035636,0.326,0.343,0.384,0.407,0.471,QEngineCPU
5,0.68906,0.0505106,0.58,0.646,0.691,0.707,0.883,QEngineCPU
6,0.69563,0.0472759,0.618,0.676,0.694,0.705,0.965,QEngineCPU
7,0.70092,0.0776962,0.612,0.681,0.691,0.699,1.205,QEngineCPU
8,0.71358,0.100181,0.613,0.679,0.692,0.7,1.217,QEngineCPU
9,0.68273,0.0783695,0.616,0.655,0.669,0.677,1.13,QEngineCPU
10,0.70395,0.105325,0.623,0.664,0.669,0.694,1.256,QEngineCPU
11,0.78376,0.099909,0.637,0.734,0.765,0.778,1.132,QEngineCPU
12,0.76817,0.10054,0.627,0.693,0.783,0.805,1.242,QEngineCPU
13,0.82547,0.104948,0.654,0.708,0.866,0.897,1.05,QEngineCPU
14,0.88552,0.205697,0.651,0.713,0.805,1.057,1.798,QEngineCPU
15,1.24397,0.34467,0.676,0.876,1.393,1.494,2.719,QEngineCPU
16,1.79776,0.764949,0.71,0.976,2.147,2.319,5.531,QEngineCPU
17,2.78537,1.72205,0.755,1.154,2.497,4.261,11.064,QEngineCPU
18,1.97181,3.39564,0.75,0.864,0.915,1.221,27.576,QEngineCPU
19,4.80818,8.52411,0.839,1.064,1.238,1.575,55.077,QEngineCPU
20,12.5983,23.618,0.892,1.235,1.436,18.7,194.473,QEngineCPU
21,42.0626,40.8505,0.772,6.883,36.075,66.453,318.207,QEngineCPU
22,696.637,59.5333,481.387,661.956,702.838,730.297,816.089,QEngineCPU
23,1587.81,57.326,1365.63,1554.96,1587.63,1619.96,1721.84,QEngineCPU
24,3375.69,65.9215,3061.17,3340.53,3378.8,3418.93,3501.33,QEngineCPU
25,6966.44,103.875,6761.4,6894.82,6959.19,7023.79,7264.38,QEngineCPU
26,14027.2,153.313,13303.1,13965.8,14029.2,14117.8,14366.2,QEngineCPU
27,28266.7,296.441,26099.4,28129.1,28242.8,28390.7,28895.3,QEngineCPU
28,55891.2,1339.35,53125.5,55033.4,55794.9,56606.8,60287.5,QEngineCPU
