# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,0.08941,0.0686767,0.055,0.058,0.059,0.0755,0.322,QEngineCPU
4,0.1521,0.0225249,0.14,0.144,0.146,0.1505,0.301,QEngineCPU
5,0.2426,0.0285331,0.223,0.23,0.234,0.2385,0.371,QEngineCPU
6,0.23731,0.0155343,0.222,0.229,0.232,0.239,0.331,QEngineCPU
7,0.23639,0.019626,0.223,0.2295,0.232,0.235,0.345,QEngineCPU
8,0.23924,0.0253634,0.224,0.23,0.233,0.238,0.419,QEngineCPU
9,0.24727,0.0284295,0.225,0.235,0.239,0.246,0.444,QEngineCPU
10,0.26987,0.0240448,0.237,0.253,0.26,0.286,0.362,QEngineCPU
11,0.27961,0.0194822,0.258,0.265,0.2715,0.2895,0.347,QEngineCPU
12,0.31229,0.0296693,0.285,0.3,0.306,0.3145,0.54,QEngineCPU
13,0.36316,0.0266832,0.345,0.352,0.356,0.3605,0.517,QEngineCPU
14,0.48204,0.0349038,0.459,0.467,0.4715,0.477,0.665,QEngineCPU
15,0.70908,0.026864,0.651,0.694,0.705,0.717,0.869,QEngineCPU
16,1.10426,0.0301236,1.039,1.084,1.102,1.1225,1.205,QEngineCPU
17,1.88973,0.0544288,1.78,1.85,1.8755,1.923,2.129,QEngineCPU
18,3.45084,0.108553,3.207,3.3625,3.4045,3.53,3.914,QEngineCPU
19,6.76928,0.253045,6.366,6.5705,6.759,6.9065,7.459,QEngineCPU
20,14.9057,0.439937,13.719,14.7415,14.883,15.038,16.367,QEngineCPU
21,31.1036,1.03784,28.846,30.4645,30.941,31.7695,33.824,QEngineCPU
22,63.4365,2.04043,57.886,62.2285,63.462,65.2365,67.013,QEngineCPU
23,130.352,3.38859,119.107,128.865,130.332,132.694,136.023,QEngineCPU
24,264.028,5.16111,241.641,261.268,264.455,267.913,271.795,QEngineCPU
25,531.567,10.1078,476.925,528.376,533.243,537.612,543.77,QEngineCPU
26,1065.67,16.9419,966.224,1066.11,1068.16,1071.35,1079.52,QEngineCPU
3,0.0404,0.114234,0.028,0.029,0.029,0.029,1.177,QEngineOCL
4,0.03106,0.0209092,0.028,0.029,0.029,0.029,0.239,QEngineOCL
5,0.03075,0.0204359,0.028,0.028,0.029,0.029,0.234,QEngineOCL
6,0.03092,0.0202226,0.028,0.029,0.029,0.029,0.232,QEngineOCL
7,0.03091,0.0205437,0.028,0.028,0.029,0.029,0.235,QEngineOCL
8,0.03085,0.0204256,0.028,0.028,0.029,0.029,0.234,QEngineOCL
9,0.03089,0.021529,0.028,0.028,0.029,0.029,0.245,QEngineOCL
10,0.03206,0.0354781,0.028,0.028,0.028,0.029,0.385,QEngineOCL
11,0.0325,0.0356128,0.028,0.028,0.029,0.029,0.386,QEngineOCL
12,0.03233,0.0360017,0.028,0.028,0.028,0.029,0.39,QEngineOCL
13,0.03256,0.0360955,0.028,0.028,0.029,0.029,0.391,QEngineOCL
14,0.03277,0.0369711,0.028,0.028,0.029,0.029,0.4,QEngineOCL
15,0.03284,0.0379138,0.028,0.029,0.029,0.029,0.41,QEngineOCL
16,0.03313,0.0401487,0.028,0.029,0.029,0.029,0.432,QEngineOCL
17,0.03323,0.0452095,0.028,0.028,0.029,0.029,0.483,QEngineOCL
18,0.03451,0.0546893,0.028,0.028,0.029,0.029,0.578,QEngineOCL
19,0.03645,0.0743656,0.028,0.028,0.029,0.029,0.776,QEngineOCL
20,0.04047,0.113943,0.028,0.028,0.029,0.029,1.174,QEngineOCL
21,0.04821,0.194656,0.028,0.028,0.029,0.029,1.985,QEngineOCL
22,0.06407,0.349953,0.028,0.028,0.029,0.029,3.546,QEngineOCL
23,0.09497,0.655491,0.028,0.0285,0.029,0.029,6.617,QEngineOCL
24,0.15667,1.2692,0.028,0.028,0.029,0.029,12.785,QEngineOCL
25,0.27922,2.48724,0.028,0.029,0.029,0.029,25.027,QEngineOCL
26,0.52425,4.92586,0.028,0.029,0.029,0.029,49.536,QEngineOCL
3,0.01557,0.00532777,0.014,0.015,0.015,0.015,0.068,QUnit -> QFusion (CPU)
4,0.01538,0.0012867,0.014,0.014,0.015,0.016,0.02,QUnit -> QFusion (CPU)
5,0.01495,0.00068374,0.014,0.015,0.015,0.015,0.017,QUnit -> QFusion (CPU)
6,0.01509,0.000801186,0.014,0.015,0.015,0.016,0.017,QUnit -> QFusion (CPU)
7,0.01614,0.00625303,0.014,0.015,0.015,0.016,0.063,QUnit -> QFusion (CPU)
8,0.01502,0.000663024,0.014,0.015,0.015,0.015,0.017,QUnit -> QFusion (CPU)
9,0.01513,0.000658103,0.014,0.015,0.015,0.015,0.017,QUnit -> QFusion (CPU)
10,0.01497,0.000963898,0.014,0.014,0.015,0.015,0.019,QUnit -> QFusion (CPU)
11,0.01501,0.000780961,0.014,0.015,0.015,0.015,0.018,QUnit -> QFusion (CPU)
12,0.01686,0.00764594,0.014,0.015,0.015,0.016,0.066,QUnit -> QFusion (CPU)
13,0.01502,0.000882949,0.014,0.014,0.015,0.015,0.018,QUnit -> QFusion (CPU)
14,0.01562,0.00531936,0.014,0.015,0.015,0.015,0.068,QUnit -> QFusion (CPU)
15,0.01516,0.000770974,0.014,0.015,0.015,0.0155,0.017,QUnit -> QFusion (CPU)
16,0.01486,0.000583438,0.014,0.015,0.015,0.015,0.017,QUnit -> QFusion (CPU)
17,0.01501,0.000754917,0.014,0.015,0.015,0.015,0.017,QUnit -> QFusion (CPU)
18,0.01663,0.00905942,0.014,0.014,0.015,0.016,0.081,QUnit -> QFusion (CPU)
19,0.01491,0.000813572,0.014,0.014,0.015,0.015,0.018,QUnit -> QFusion (CPU)
20,0.01501,0.000806163,0.014,0.014,0.015,0.015,0.017,QUnit -> QFusion (CPU)
21,0.01492,0.000934666,0.014,0.014,0.015,0.015,0.018,QUnit -> QFusion (CPU)
22,0.01515,0.000817006,0.014,0.015,0.015,0.015,0.018,QUnit -> QFusion (CPU)
23,0.01532,0.00121557,0.014,0.014,0.015,0.016,0.019,QUnit -> QFusion (CPU)
24,0.0154,0.00474763,0.014,0.014,0.015,0.015,0.062,QUnit -> QFusion (CPU)
25,0.01554,0.00537293,0.014,0.014,0.015,0.015,0.068,QUnit -> QFusion (CPU)
26,0.01632,0.00727719,0.014,0.015,0.015,0.016,0.067,QUnit -> QFusion (CPU)
3,0.03159,0.0224553,0.028,0.029,0.029,0.029,0.253,QUnit -> QFusion (OCL)
4,0.03117,0.0209022,0.028,0.029,0.029,0.029,0.238,QUnit -> QFusion (OCL)
5,0.03083,0.0207316,0.028,0.028,0.029,0.029,0.237,QUnit -> QFusion (OCL)
6,0.03104,0.0206101,0.028,0.028,0.029,0.029,0.235,QUnit -> QFusion (OCL)
7,0.03122,0.0207801,0.028,0.029,0.029,0.029,0.237,QUnit -> QFusion (OCL)
8,0.03112,0.0208645,0.028,0.0285,0.029,0.029,0.238,QUnit -> QFusion (OCL)
9,0.03095,0.0231354,0.028,0.028,0.029,0.029,0.261,QUnit -> QFusion (OCL)
10,0.031,0.0211419,0.028,0.028,0.029,0.029,0.238,QUnit -> QFusion (OCL)
11,0.03107,0.0230192,0.028,0.028,0.029,0.029,0.26,QUnit -> QFusion (OCL)
12,0.03107,0.0216098,0.028,0.029,0.029,0.029,0.246,QUnit -> QFusion (OCL)
13,0.0311,0.0211156,0.028,0.028,0.029,0.029,0.24,QUnit -> QFusion (OCL)
14,0.03101,0.0227242,0.028,0.028,0.029,0.029,0.257,QUnit -> QFusion (OCL)
15,0.03139,0.021207,0.028,0.029,0.029,0.029,0.24,QUnit -> QFusion (OCL)
16,0.03089,0.0212334,0.028,0.028,0.029,0.029,0.242,QUnit -> QFusion (OCL)
17,0.03106,0.0212093,0.028,0.028,0.029,0.029,0.241,QUnit -> QFusion (OCL)
18,0.03103,0.0214571,0.028,0.028,0.029,0.029,0.242,QUnit -> QFusion (OCL)
19,0.03088,0.0210082,0.028,0.028,0.029,0.029,0.239,QUnit -> QFusion (OCL)
20,0.03116,0.0211956,0.028,0.028,0.029,0.029,0.24,QUnit -> QFusion (OCL)
21,0.03132,0.0228897,0.028,0.029,0.029,0.029,0.259,QUnit -> QFusion (OCL)
22,0.03094,0.0213353,0.028,0.028,0.0285,0.029,0.242,QUnit -> QFusion (OCL)
23,0.03144,0.0213772,0.028,0.029,0.029,0.029,0.241,QUnit -> QFusion (OCL)
24,0.03106,0.0213151,0.028,0.029,0.029,0.029,0.243,QUnit -> QFusion (OCL)
25,0.0313,0.0209955,0.028,0.029,0.029,0.029,0.239,QUnit -> QFusion (OCL)
