# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,0.0687,0.0203049,0.057,0.059,0.06,0.063,0.133,QEngineCPU
4,0.15948,0.0198779,0.145,0.15,0.152,0.156,0.247,QEngineCPU
5,0.24197,0.0178608,0.228,0.234,0.237,0.243,0.343,QEngineCPU
6,0.23963,0.0160727,0.225,0.233,0.235,0.24,0.342,QEngineCPU
7,0.24503,0.0233801,0.23,0.236,0.238,0.243,0.359,QEngineCPU
8,0.2463,0.0533974,0.23,0.234,0.237,0.241,0.75,QEngineCPU
9,0.25766,0.035947,0.231,0.24,0.244,0.255,0.423,QEngineCPU
10,0.27207,0.0400565,0.246,0.256,0.262,0.269,0.609,QEngineCPU
11,0.28286,0.0153903,0.265,0.274,0.277,0.285,0.365,QEngineCPU
12,0.29899,0.0132117,0.274,0.292,0.297,0.305,0.375,QEngineCPU
13,0.36092,0.0562005,0.329,0.347,0.352,0.361,0.897,QEngineCPU
14,0.46448,0.0514215,0.42,0.443,0.453,0.463,0.811,QEngineCPU
15,0.67603,0.0176048,0.636,0.663,0.676,0.687,0.725,QEngineCPU
16,1.03754,0.0265659,0.981,1.019,1.034,1.048,1.141,QEngineCPU
17,1.72865,0.0405118,1.653,1.697,1.724,1.761,1.865,QEngineCPU
18,3.13707,0.0877635,2.998,3.059,3.108,3.209,3.502,QEngineCPU
19,6.03491,0.208962,5.48,5.835,6.095,6.145,6.768,QEngineCPU
20,12.636,0.392108,11.608,12.492,12.55,12.666,13.727,QEngineCPU
21,26.6132,0.756189,24.696,26.154,26.56,27.21,28.604,QEngineCPU
22,55.7189,1.4654,52.034,54.723,55.684,56.619,58.57,QEngineCPU
23,114.107,2.17751,107.603,112.661,114.611,115.95,117.103,QEngineCPU
24,230.401,2.50824,212.667,229.599,230.724,231.939,233.512,QEngineCPU
3,0.03027,0.00250541,0.029,0.03,0.03,0.03,0.054,QEngineOCL
