# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,0.14463,0.0458473,0.12,0.13,0.132,0.143,0.539,QEngineCPU
4,0.15727,0.0155022,0.134,0.148,0.154,0.164,0.234,QEngineCPU
5,0.14196,0.0104775,0.126,0.136,0.141,0.145,0.215,QEngineCPU
6,0.14205,0.0103657,0.128,0.137,0.139,0.145,0.2,QEngineCPU
7,0.14275,0.0169584,0.126,0.135,0.139,0.144,0.277,QEngineCPU
8,0.13918,0.00946296,0.127,0.135,0.138,0.141,0.214,QEngineCPU
9,0.16158,0.0189648,0.142,0.15,0.158,0.167,0.297,QEngineCPU
10,0.19826,0.0329046,0.161,0.177,0.183,0.208,0.318,QEngineCPU
11,0.2009,0.0103194,0.17,0.195,0.2,0.206,0.227,QEngineCPU
12,0.25625,0.080764,0.224,0.236,0.244,0.252,1.039,QEngineCPU
13,0.35839,0.0279639,0.298,0.339,0.353,0.378,0.427,QEngineCPU
14,0.52662,0.0267222,0.48,0.506,0.527,0.54,0.628,QEngineCPU
15,0.73907,0.0432294,0.666,0.706,0.722,0.774,0.841,QEngineCPU
16,1.2358,0.0382139,1.178,1.202,1.237,1.256,1.39,QEngineCPU
17,2.2724,0.0980109,2.135,2.189,2.266,2.317,2.655,QEngineCPU
18,4.39896,0.111144,4.117,4.331,4.415,4.445,4.666,QEngineCPU
19,9.2996,0.195687,8.819,9.211,9.274,9.48,9.76,QEngineCPU
20,19.5557,0.435956,18.488,19.353,19.631,19.926,20.106,QEngineCPU
21,39.3929,1.14524,37.232,38.725,39.715,40.402,40.708,QEngineCPU
22,78.9886,1.92906,73.878,78.811,79.779,80.265,80.677,QEngineCPU
23,158.138,3.07277,148.08,158.296,159.441,159.925,160.527,QEngineCPU
24,337.599,25.5549,301.858,318.698,319.968,373.644,376.533,QEngineCPU
3,0.04877,0.0043974,0.044,0.047,0.048,0.05,0.087,QEngineOCL
4,0.04773,0.00278156,0.045,0.046,0.047,0.049,0.07,QEngineOCL
5,0.04755,0.0030639,0.044,0.046,0.046,0.048,0.065,QEngineOCL
6,0.04786,0.00287757,0.044,0.046,0.047,0.049,0.063,QEngineOCL
7,0.05341,0.0208217,0.046,0.048,0.053,0.054,0.258,QEngineOCL
8,0.05543,0.0214892,0.047,0.05,0.054,0.055,0.267,QEngineOCL
9,0.05793,0.021976,0.053,0.054,0.055,0.057,0.276,QEngineOCL
10,0.06611,0.0213401,0.059,0.064,0.065,0.065,0.277,QEngineOCL
11,0.07848,0.0208808,0.074,0.075,0.076,0.077,0.285,QEngineOCL
12,0.10702,0.0203071,0.1,0.105,0.106,0.106,0.308,QEngineOCL
13,0.16452,0.0190449,0.16,0.161,0.162,0.163,0.353,QEngineOCL
14,0.2764,0.0166547,0.267,0.274,0.276,0.277,0.438,QEngineOCL
15,0.49501,0.0133398,0.488,0.492,0.493,0.495,0.625,QEngineOCL
16,0.93907,0.00505224,0.931,0.937,0.938,0.94,0.978,QEngineOCL
17,1.84268,0.00522471,1.833,1.839,1.843,1.846,1.87,QEngineOCL
18,3.63618,0.00922646,3.613,3.63,3.636,3.641,3.666,QEngineOCL
19,7.2367,0.0205288,7.194,7.225,7.236,7.246,7.286,QEngineOCL
20,14.5382,0.0748317,14.378,14.485,14.554,14.586,14.738,QEngineOCL
21,28.9279,0.116344,28.714,28.861,28.935,28.975,29.191,QEngineOCL
22,57.6023,0.199489,57.066,57.454,57.517,57.788,58.189,QEngineOCL
23,115.21,0.450056,114.61,114.868,114.957,115.577,117.359,QEngineOCL
24,231.287,1.1697,229.726,230.994,231.32,231.474,236.305,QEngineOCL
3,0.01732,0.00154842,0.016,0.017,0.017,0.017,0.027,QUnit (CPU)
4,0.01699,0.00116185,0.016,0.016,0.017,0.017,0.026,QUnit (CPU)
5,0.01675,0.000668954,0.016,0.016,0.017,0.017,0.018,QUnit (CPU)
6,0.01713,0.00248054,0.016,0.016,0.017,0.017,0.037,QUnit (CPU)
7,0.0168,0.00152315,0.016,0.016,0.016,0.017,0.026,QUnit (CPU)
8,0.01712,0.00125124,0.016,0.017,0.017,0.017,0.027,QUnit (CPU)
9,0.01719,0.00180386,0.016,0.017,0.017,0.017,0.033,QUnit (CPU)
10,0.01691,0.000801187,0.016,0.016,0.017,0.017,0.019,QUnit (CPU)
11,0.01681,0.000808641,0.016,0.016,0.017,0.017,0.02,QUnit (CPU)
12,0.01672,0.000735935,0.016,0.016,0.017,0.017,0.019,QUnit (CPU)
13,0.01706,0.00389312,0.015,0.016,0.016,0.017,0.046,QUnit (CPU)
14,0.01709,0.00233279,0.016,0.016,0.017,0.017,0.031,QUnit (CPU)
15,0.01682,0.000792212,0.016,0.016,0.017,0.017,0.02,QUnit (CPU)
16,0.01669,0.00146079,0.015,0.016,0.016,0.017,0.027,QUnit (CPU)
17,0.01674,0.000855804,0.015,0.016,0.017,0.017,0.021,QUnit (CPU)
18,0.01727,0.00184854,0.016,0.016,0.017,0.017,0.028,QUnit (CPU)
19,0.01739,0.0027528,0.016,0.016,0.017,0.017,0.041,QUnit (CPU)
20,0.01704,0.00140656,0.016,0.016,0.017,0.017,0.025,QUnit (CPU)
21,0.0178,0.00654675,0.016,0.017,0.017,0.017,0.081,QUnit (CPU)
22,0.01711,0.00077324,0.016,0.017,0.017,0.017,0.02,QUnit (CPU)
23,0.01714,0.00113155,0.016,0.017,0.017,0.018,0.026,QUnit (CPU)
24,0.01712,0.00110707,0.016,0.017,0.017,0.017,0.024,QUnit (CPU)
3,0.04064,0.00308389,0.037,0.039,0.04,0.042,0.057,QUnit (OCL)
4,0.04116,0.00445358,0.037,0.039,0.039,0.042,0.067,QUnit (OCL)
5,0.04072,0.00372312,0.038,0.039,0.039,0.042,0.064,QUnit (OCL)
6,0.04143,0.00396801,0.038,0.039,0.04,0.043,0.061,QUnit (OCL)
7,0.04122,0.00342806,0.038,0.039,0.04,0.042,0.064,QUnit (OCL)
8,0.04104,0.00356348,0.038,0.039,0.04,0.042,0.059,QUnit (OCL)
9,0.04087,0.00412469,0.037,0.039,0.039,0.042,0.061,QUnit (OCL)
10,0.04055,0.00304754,0.037,0.039,0.04,0.042,0.056,QUnit (OCL)
11,0.0413,0.00441248,0.038,0.039,0.04,0.042,0.065,QUnit (OCL)
12,0.04117,0.00464555,0.038,0.039,0.039,0.042,0.067,QUnit (OCL)
13,0.04126,0.00513541,0.038,0.039,0.04,0.043,0.082,QUnit (OCL)
14,0.04108,0.00341081,0.037,0.039,0.04,0.042,0.058,QUnit (OCL)
15,0.04097,0.00293753,0.037,0.039,0.04,0.042,0.059,QUnit (OCL)
16,0.0408,0.00299333,0.037,0.039,0.04,0.042,0.057,QUnit (OCL)
17,0.0416,0.00307896,0.038,0.04,0.041,0.043,0.058,QUnit (OCL)
18,0.04232,0.0035267,0.039,0.04,0.041,0.044,0.065,QUnit (OCL)
19,0.04175,0.00327223,0.038,0.04,0.041,0.042,0.058,QUnit (OCL)
20,0.04072,0.00408186,0.037,0.039,0.04,0.042,0.063,QUnit (OCL)
21,0.04187,0.00470246,0.038,0.039,0.04,0.043,0.067,QUnit (OCL)
22,0.04122,0.0036921,0.038,0.039,0.04,0.042,0.058,QUnit (OCL)
23,0.0415,0.00306105,0.038,0.04,0.041,0.043,0.058,QUnit (OCL)
24,0.04154,0.00351403,0.038,0.04,0.04,0.042,0.061,QUnit (OCL)
