# of Qubits, Average Time (ms), Sample Std. Deviation (ms), Fastest (ms), 1st Quartile (ms), Median (ms), 3rd Quartile (ms), Slowest (ms),Type
3,0.04027,0.104915,0.029,0.029,0.029,0.03,1.084,QEngineOCL
4,0.04078,0.106425,0.028,0.029,0.029,0.03,1.099,QEngineOCL
5,0.04019,0.106014,0.029,0.029,0.03,0.03,1.095,QEngineOCL
6,0.04061,0.105907,0.029,0.029,0.03,0.03,1.094,QEngineOCL
7,0.04034,0.105809,0.029,0.029,0.029,0.03,1.093,QEngineOCL
8,0.04079,0.105983,0.029,0.029,0.03,0.03,1.095,QEngineOCL
9,0.03487,0.0521496,0.029,0.029,0.029,0.03,0.553,QEngineOCL
10,0.04001,0.099614,0.029,0.029,0.03,0.03,1.031,QEngineOCL
11,0.03989,0.10004,0.029,0.029,0.03,0.03,1.035,QEngineOCL
12,0.04034,0.0996962,0.029,0.03,0.03,0.03,1.032,QEngineOCL
13,0.04098,0.103433,0.029,0.03,0.03,0.031,1.07,QEngineOCL
14,0.04227,0.103224,0.031,0.031,0.032,0.032,1.069,QEngineOCL
15,0.04488,0.101855,0.033,0.034,0.034,0.035,1.058,QEngineOCL
16,0.04947,0.105108,0.038,0.038,0.039,0.039,1.095,QEngineOCL
17,0.05918,0.110765,0.047,0.047,0.048,0.048,1.161,QEngineOCL
18,0.07809,0.119121,0.065,0.065,0.066,0.066,1.263,QEngineOCL
19,0.11617,0.140289,0.101,0.102,0.102,0.102,1.512,QEngineOCL
20,0.28351,0.17716,0.263,0.264,0.265,0.266,2.046,QEngineOCL
21,0.52287,0.256209,0.493,0.496,0.497,0.498,3.072,QEngineOCL
22,1.00298,0.41179,0.955,0.959,0.961,0.963,5.1,QEngineOCL
23,1.96323,0.717797,1.879,1.888,1.889,1.893,9.105,QEngineOCL
24,3.8818,1.32724,3.561,3.745,3.748,3.753,17.086,QEngineOCL
25,7.7216,2.54377,7.297,7.459,7.466,7.473,33.031,QEngineOCL
26,15.3949,4.97028,14.719,14.888,14.894,14.908,64.848,QEngineOCL
27,30.7613,9.84055,29.612,29.76,29.775,29.794,128.673,QEngineOCL
